mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__l1_ratio,param_model__C,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
0.04512209892272949,0.014960903741117393,0.005561542510986328,0.005774946906833614,0.05,0.05,"{'model__l1_ratio': 0.05, 'model__C': 0.05}",0.47368421052631576,0.6578947368421053,0.5526315789473685,0.47368421052631576,0.23684210526315788,0.4789473684210527,0.13865199865599465,9,0.48462603878116345,0.6676820570397842,0.5563454089769879,0.4691838291380625,0.21851503759398497,0.4792704743059966,0.14802924732582534,8
0.05494990348815918,0.02508081254029204,0.0,0.0,0.9,0.05,"{'model__l1_ratio': 0.9, 'model__C': 0.05}",0.5,0.7105263157894737,0.5789473684210527,0.5263157894736842,0.42105263157894735,0.5473684210526316,0.09618772043419509,1,0.4331983805668016,0.655103668261563,0.5587281987961106,0.4990876594726373,0.39727175885741345,0.5086779331909052,0.0918106713536989,1
0.5273856163024903,0.26829187447326514,0.010353422164916993,0.00850110888034735,0.9,1.0,"{'model__l1_ratio': 0.9, 'model__C': 1.0}",0.4473684210526316,0.6052631578947368,0.5526315789473685,0.5263157894736842,0.3684210526315789,0.4999999999999999,0.08321783316232578,3,0.45271825809583244,0.6090043105742111,0.5631645401382244,0.5241228070175438,0.3158209519012843,0.4929661735454192,0.10233642555426062,4
0.08502869606018067,0.02955189105800938,0.00020208358764648438,0.00040416717529296876,0.95,0.1,"{'model__l1_ratio': 0.95, 'model__C': 0.1}",0.42105263157894735,0.5789473684210527,0.5526315789473685,0.47368421052631576,0.3157894736842105,0.468421052631579,0.09473684210526317,10,0.4223761157279163,0.593421052631579,0.535422133045223,0.4441378566032306,0.31172304627266895,0.46141604085612353,0.09709054418159858,10
0.18596239089965821,0.1435949088986997,0.007207155227661133,0.008831109984745114,0.9,0.2,"{'model__l1_ratio': 0.9, 'model__C': 0.2}",0.5,0.631578947368421,0.5263157894736842,0.47368421052631576,0.34210526315789475,0.4947368421052632,0.09326339550878604,4,0.5035157062617016,0.6421052631578947,0.5240059396139252,0.475927033492823,0.33052745716283116,0.4952162799378351,0.09996857681134247,3
0.8180306434631348,0.5119990625113416,0.008506393432617188,0.007532117839522227,0.1,10.0,"{'model__l1_ratio': 0.1, 'model__C': 10.0}",0.47368421052631576,0.5789473684210527,0.5,0.5789473684210527,0.34210526315789475,0.4947368421052632,0.08712076503814131,4,0.4790783858650895,0.577538543328017,0.5020911930236873,0.5762085769980506,0.2984343008551126,0.4866702000139914,0.1019827173291664,6
0.3776606559753418,0.21368413532814487,0.0003787994384765625,0.000757598876953125,0.1,2.0,"{'model__l1_ratio': 0.1, 'model__C': 2.0}",0.47368421052631576,0.631578947368421,0.5263157894736842,0.5263157894736842,0.3684210526315789,0.5052631578947367,0.0855161937330101,2,0.4711982385112579,0.6210526315789473,0.5399380804953561,0.5302834008097166,0.334850640113798,0.49946459830181505,0.09515071572114252,2
0.3689354419708252,0.22802517709698886,0.003142976760864258,0.006285953521728517,0.9,0.5,"{'model__l1_ratio': 0.9, 'model__C': 0.5}",0.5263157894736842,0.6052631578947368,0.5526315789473685,0.5,0.2631578947368421,0.4894736842105263,0.11839180925475781,7,0.5321257689678742,0.6154115460919055,0.5643796992481203,0.5105263157894736,0.2211683053788317,0.48872232709524105,0.13836084951824934,5
0.6767073631286621,0.39492317103765273,0.0,0.0,0.3,5.0,"{'model__l1_ratio': 0.3, 'model__C': 5.0}",0.47368421052631576,0.5789473684210527,0.5,0.6052631578947368,0.3157894736842105,0.4947368421052632,0.10178462950428273,4,0.4790783858650895,0.573444976076555,0.508323237761924,0.6100404858299594,0.25953789977335684,0.48608499706137687,0.12236335102384992,7
0.10108966827392578,0.05452709053193362,0.0008080005645751953,0.0016160011291503906,0.9,0.1,"{'model__l1_ratio': 0.9, 'model__C': 0.1}",0.47368421052631576,0.5789473684210527,0.5526315789473685,0.5,0.3157894736842105,0.4842105263157895,0.09206766149755741,8,0.4771314250538627,0.593421052631579,0.535422133045223,0.4814804390655784,0.30845614986232184,0.47918223993171294,0.09525787872485725,9
