mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__l1_ratio,param_model__alpha,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse
0.016655731201171874,0.005199876562608098,0.006060409545898438,0.006441804313192486,0.95,0.001,"{'model__l1_ratio': 0.95, 'model__alpha': 0.001}",-1.0078018553240398,-0.4091099153251849,-0.6582042829102195,-0.3120650751720089,0.2193544223288597,-0.4335653412805186,0.40543182617850543,10,-1.02842000954489,-0.8997449282881076,-0.884478419438081,-0.7253385962821887,-0.6606802906414502,-0.8397324488389437,0.13141714043275501,10,-1.2430780700425346,-1.1068145734341177,-1.102413486990742,-0.8647953684836099,-0.8462794018411077,-1.0326761801584223,0.15333393263345255,10
0.0024159431457519533,0.0029590412430078265,0.0074994564056396484,0.006823730860938421,0.5,1.0,"{'model__l1_ratio': 0.5, 'model__alpha': 1.0}",-2.7764991004763928e-05,-0.018505788151115032,-0.015100307962579773,-0.1439272701779244,-0.01691955778257026,-0.03889613781303884,0.05292875800380328,6,-0.7070402795398555,-0.7144636993189067,-0.6885176858672102,-0.7131990777450042,-0.7298267447069268,-0.7106094974355808,0.013354031943828804,6,-0.8772916751623839,-0.9409882146100542,-0.8625414633552656,-0.8074857630483956,-0.9658954460632967,-0.8908405124478793,0.056710592504304935,6
0.004146575927734375,0.00610929022436497,0.0035523414611816407,0.006154334004429607,0.9,1.0,"{'model__l1_ratio': 0.9, 'model__alpha': 1.0}",-2.7764991004763928e-05,-0.018505788151115032,-0.015100307962579773,-0.1439272701779244,-0.01691955778257026,-0.03889613781303884,0.05292875800380328,6,-0.7070402795398555,-0.7144636993189067,-0.6885176858672102,-0.7131990777450042,-0.7298267447069268,-0.7106094974355808,0.013354031943828804,6,-0.8772916751623839,-0.9409882146100542,-0.8625414633552656,-0.8074857630483956,-0.9658954460632967,-0.8908405124478793,0.056710592504304935,6
0.006385612487792969,0.005252848078386568,0.0016935348510742187,0.0014545429403184135,0.3,1.0,"{'model__l1_ratio': 0.3, 'model__alpha': 1.0}",-2.7764991004763928e-05,-0.018505788151115032,-0.015100307962579773,-0.1433154434302637,-0.01691955778257026,-0.0387737724635067,0.05268594665082012,5,-0.7070402795398555,-0.7144636993189067,-0.6885176858672102,-0.7129513491307309,-0.7298267447069268,-0.7105599517127261,0.013344788608845463,5,-0.8772916751623839,-0.9409882146100542,-0.8625414633552656,-0.8072697932582029,-0.9658954460632967,-0.8907973184898406,0.05677411036869815,5
0.006942939758300781,0.006016716058043435,0.0016930580139160156,0.002556436302658667,0.5,0.01,"{'model__l1_ratio': 0.5, 'model__alpha': 0.01}",-0.3880020845321712,-0.14467571782775757,-0.23641159141815438,-0.22697886120390498,0.2789544178970542,-0.14342276741698678,0.22532272016692942,9,-0.8646575991444042,-0.7775303744560151,-0.7744358497306099,-0.7102966410720365,-0.6282095218669866,-0.7510259972540104,0.07861985911143413,9,-1.033553681860989,-0.9975706624968955,-0.9519344313570802,-0.8362848083046303,-0.8133325973843905,-0.9265352362807973,0.08729728035353432,9
0.0051631927490234375,0.005821677405975074,0.0008101940155029296,0.0016203880310058593,0.95,0.05,"{'model__l1_ratio': 0.95, 'model__alpha': 0.05}",0.06645362355691309,0.27290074797804054,0.05157434162386754,-0.04218702373123451,0.2980225284344845,0.12935284357241422,0.1330317231108346,2,-0.7018740292462186,-0.5976833155296056,-0.6764277890607074,-0.6671194590739972,-0.6005029605027549,-0.6487215106826567,0.042098072502562145,2,-0.8476292365212729,-0.7950588613277122,-0.8337333018167244,-0.770741063670149,-0.8025062175075967,-0.8099337361686911,0.027567609923387297,2
0.008936309814453125,0.007157727071742316,0.0017992496490478516,0.0014690823113642389,0.9,0.05,"{'model__l1_ratio': 0.9, 'model__alpha': 0.05}",0.0701258661176869,0.2743004078333273,0.04418301141547354,-0.04852204194637122,0.2987390469738005,0.12776525807878342,0.13571299879952153,3,-0.6992225310948204,-0.5967026526412432,-0.6789629488119788,-0.6683299735582964,-0.5989262261466199,-0.6484288664505918,0.042507630397069916,1,-0.8459604564056775,-0.7942932519407162,-0.8369757480463712,-0.7730800206535897,-0.8020965481012471,-0.8104812050295204,0.027173291952271198,3
0.0007997035980224609,0.0015994071960449216,0.0022118091583251953,0.0035097302045641707,0.7,0.05,"{'model__l1_ratio': 0.7, 'model__alpha': 0.05}",0.06796285193718143,0.2742254691510756,-0.0013560395453089402,-0.07742818063124557,0.2993118687707954,0.11254319393649959,0.14971523733648426,4,-0.6942036605169799,-0.5949309860767539,-0.6975821639806115,-0.6726505525090762,-0.5957396434254818,-0.6510214013017807,0.04626583998615127,4,-0.8469437946485486,-0.7943342618528683,-0.8566822374670537,-0.7836638844549815,-0.8017688867299533,-0.8166786130306811,0.029420446826165014,4
0.0015742778778076172,0.001992990539590713,0.005412054061889648,0.0067666891620606845,0.5,0.1,"{'model__l1_ratio': 0.5, 'model__alpha': 0.1}",0.07034200451085026,0.2690830532607331,0.07339584033072066,-0.03276539102182641,0.29069330449150754,0.13414976231439704,0.1251686949748499,1,-0.7023742278925967,-0.6009340132728319,-0.6685940626006183,-0.666794861610236,-0.6054321748842328,-0.6488258680521032,0.039389682526654694,3,-0.8458621338729179,-0.7971433897941929,-0.8240861671226876,-0.7672493076722766,-0.8066847524849264,-0.8082051501894002,0.026352648092684162,1
0.007795476913452148,0.005757736724103709,0.0011368751525878905,0.0014896891066025213,0.9,0.01,"{'model__l1_ratio': 0.9, 'model__alpha': 0.01}",-0.2404442515052363,-0.043221165389003335,-0.17835216247954588,-0.20418441271269416,0.29013256683908895,-0.07521388504947815,0.19446004180546342,8,-0.8006664354277475,-0.7351129858602031,-0.7519281962616781,-0.7088972634476359,-0.6195524962709769,-0.7232314754536483,0.05985924399632784,8,-0.9770720827736055,-0.9523369352776647,-0.9293152267613299,-0.8284802654873518,-0.807003549102975,-0.8988416118805855,0.0682573750541502,8
