mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__random_strength,param_model__learning_rate,param_model__l2_leaf_reg,param_model__iterations,param_model__depth,param_model__bagging_temperature,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse
0.5879644393920899,0.10758694879838952,0.007719516754150391,0.0016857215372864127,1.0,0.05,3,600,4,0.5,"{'model__random_strength': 1.0, 'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 600, 'model__depth': 4, 'model__bagging_temperature': 0.5}",-0.026391022033553257,0.40021672929226904,-0.11400869013522952,-0.017461427084877634,0.3350456209893964,0.115480242205601,0.20964252228802105,2,-0.7556651556377383,-0.5156078567388687,-0.5894162925291536,-0.5919006688741547,-0.5796497345644004,-0.6064479416688631,0.07967125215147203,5,-0.8803875497199379,-0.6465480875652615,-0.8002943858876774,-0.7573756451750715,-0.7275124650980834,-0.7624236266892064,0.07748689363672073,2
5.803050327301025,2.132476018724145,0.006686735153198242,0.0018060314121497363,0.5,0.1,5,200,10,0.5,"{'model__random_strength': 0.5, 'model__learning_rate': 0.1, 'model__l2_leaf_reg': 5, 'model__iterations': 200, 'model__depth': 10, 'model__bagging_temperature': 0.5}",-0.014965681400280983,0.1496817518697544,0.04686569936665208,0.08064666083534211,0.2558756921666696,0.10362082456762745,0.09285996937861514,4,-0.7340202332419444,-0.5579561166113837,-0.5513452173908596,-0.5797099668459383,-0.6091143012608297,-0.6064291670701911,0.0669096165078644,4,-0.8754737904065772,-0.7698292477449684,-0.740257012868293,-0.7199354973010716,-0.7696038993393032,-0.7750198895320428,0.05364701254354229,6
1.0669246673583985,0.43884478635820184,0.004460048675537109,0.0010738270997941999,1.0,0.02,10,200,8,0.5,"{'model__random_strength': 1.0, 'model__learning_rate': 0.02, 'model__l2_leaf_reg': 10, 'model__iterations': 200, 'model__depth': 8, 'model__bagging_temperature': 0.5}",0.012862087082829432,0.11277271730438798,0.07615230174060028,0.0884613941214224,0.21560374887533895,0.10117044982491581,0.06605359536446134,5,-0.7222645920745259,-0.5710778574150334,-0.546405055664471,-0.570003218713329,-0.6131829879678768,-0.6045867423670472,0.0626513302281716,2,-0.8633887510417838,-0.7863594340297573,-0.7287954817534554,-0.7168691513368899,-0.79015495587894,-0.7771135548081652,0.05227427329566343,7
1.0638367652893066,0.42158377910860206,0.007188272476196289,0.0016296652495814544,0.0,0.03,3,200,8,0.5,"{'model__random_strength': 0.0, 'model__learning_rate': 0.03, 'model__l2_leaf_reg': 3, 'model__iterations': 200, 'model__depth': 8, 'model__bagging_temperature': 0.5}",-0.09094576099914664,0.22081851363273808,0.05030348479189972,0.03613544034193783,0.287146984434529,0.1006917324403916,0.13610835668555174,6,-0.7254102972265116,-0.5705873664257719,-0.5549249509733402,-0.5908312941505793,-0.5900264061689521,-0.606356062989031,0.06100187827637253,3,-0.9076513323558663,-0.7369244566027253,-0.7389208194189426,-0.7371576291778418,-0.7532593119835225,-0.7747827099077796,0.06671176316383108,5
0.4234801769256592,0.107288605361299,0.006286191940307617,0.004178630202173005,0.0,0.05,3,200,6,1.0,"{'model__random_strength': 0.0, 'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 200, 'model__depth': 6, 'model__bagging_temperature': 1.0}",-0.5100447676289126,0.17683634948467564,-0.04271874898406458,-0.027316564158512247,0.31920723039689647,-0.016807300177983465,0.28088028585793645,10,-0.8976099831547876,-0.5708750215243146,-0.5845641848827571,-0.6032327477740121,-0.5882457802290414,-0.6489055435129826,0.12477826913531781,10,-1.0678552356924742,-0.757437407195387,-0.774264009598083,-0.7610347782994225,-0.7361257011700468,-0.8193434263910827,0.12485809275056776,10
2.165940523147583,0.8640281663082992,0.006134033203125,0.0011919141635421654,0.5,0.1,7,400,8,0.0,"{'model__random_strength': 0.5, 'model__learning_rate': 0.1, 'model__l2_leaf_reg': 7, 'model__iterations': 400, 'model__depth': 8, 'model__bagging_temperature': 0.0}",-0.015529228006699647,0.2372891453526651,0.09585269136436014,-0.025147916706119267,0.28272671386454484,0.11503828117375023,0.1265960628429823,3,-0.7434854722455796,-0.5489425086365995,-0.5437296359760097,-0.6140110611900917,-0.5950269859249173,-0.6090391327946396,0.07235165946061073,6,-0.8757168044450153,-0.729094162302067,-0.7209830884073894,-0.7602310883214453,-0.7555911140956446,-0.7683232515143124,0.055751193929601005,3
3.1840759754180907,1.2885315634683563,0.007357025146484375,0.005171636037099985,1.0,0.02,7,600,8,0.5,"{'model__random_strength': 1.0, 'model__learning_rate': 0.02, 'model__l2_leaf_reg': 7, 'model__iterations': 600, 'model__depth': 8, 'model__bagging_temperature': 0.5}",-0.01120801084877976,0.24556804549966316,0.1096317945547245,0.07190576077626565,0.3105582037004202,0.14529115873645876,0.11706207510422091,1,-0.7374746824437907,-0.5297341891642574,-0.5385284471069901,-0.5759470306599982,-0.5902958339825344,-0.5943960366715142,0.07500802416773032,1,-0.8738516702384598,-0.7251263630691049,-0.7154681454118414,-0.7233498522596414,-0.7407869410871679,-0.755716594413243,0.05963572182343489,1
1.1647759914398192,0.3266303088930134,0.00524139404296875,0.002894970835518254,0.0,0.05,5,600,6,0.0,"{'model__random_strength': 0.0, 'model__learning_rate': 0.05, 'model__l2_leaf_reg': 5, 'model__iterations': 600, 'model__depth': 6, 'model__bagging_temperature': 0.0}",-0.04601931921520852,0.2739936321098201,-0.007818472895434692,-0.09297486893450668,0.35615078416452184,0.0966663510458384,0.18221811484481204,8,-0.7439181003438567,-0.5673378757232909,-0.5648178091359296,-0.6201277780309241,-0.5692105119183019,-0.6130824150304607,0.06857753660273394,8,-0.8887657761116639,-0.7113344994883996,-0.7611962467366162,-0.7849779303299099,-0.7158740160871035,-0.7724296937507387,0.06441878618865753,4
0.20519747734069824,0.0341571880682818,0.008181953430175781,0.0020660159604505663,0.0,0.05,7,200,4,1.0,"{'model__random_strength': 0.0, 'model__learning_rate': 0.05, 'model__l2_leaf_reg': 7, 'model__iterations': 200, 'model__depth': 4, 'model__bagging_temperature': 1.0}",-0.2892585645655483,0.2397878253806276,-0.019002866990410094,-0.06659486835798023,0.32991738335926823,0.03896978176519143,0.22235870309446262,9,-0.8404688346959838,-0.5740105670450646,-0.5665607258922729,-0.5962013663040728,-0.5822924958775677,-0.6319067979629923,0.10474412888287427,9,-0.9867053488629021,-0.7278989075634376,-0.7654083291854309,-0.7754469703510289,-0.7303124249725964,-0.7971543961870792,0.09661548590898864,9
17.254921627044677,6.6365690496766145,0.004778861999511719,0.0019930116683319907,1.0,0.1,5,600,10,1.0,"{'model__random_strength': 1.0, 'model__learning_rate': 0.1, 'model__l2_leaf_reg': 5, 'model__iterations': 600, 'model__depth': 10, 'model__bagging_temperature': 1.0}",-0.016949552665088685,0.087767152731694,0.07998135425791475,0.0840102213637548,0.2568583267482504,0.09833350048730505,0.0884012535953751,7,-0.7392683585667299,-0.5864711368619617,-0.5386307931845044,-0.5630314069043919,-0.6178416129949797,-0.6090486617025135,0.07017192318518953,7,-0.876328981595402,-0.7973637915921042,-0.7272836017548929,-0.7186173068640799,-0.7690955909687528,-0.7777378545550463,0.056957786544890775,8
