mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__weights,param_model__p,param_model__n_neighbors,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse
0.00405430793762207,0.0028920907170867237,0.009152030944824219,0.005824574433818954,uniform,1,3,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 3}",-0.12680936735870896,0.17606250607559648,-0.41521114081868604,-0.1787470440167589,0.11681802716304901,-0.08557740379110168,0.21375612747818945,10,-0.7470854718704034,-0.6476917065467824,-0.8000461689464211,-0.6796749542999047,-0.7064774848219405,-0.7161951572970904,0.05311512936827743,10,-0.931243390987151,-0.8463491581241059,-1.0184415774485658,-0.8196830897975209,-0.9001438454649244,-0.9031722123644537,0.06969000169671069,10
0.006508779525756836,0.004375563433064603,0.008481550216674804,0.0028479309484441316,distance,1,15,"{'model__weights': 'distance', 'model__p': 1, 'model__n_neighbors': 15}",-0.03028267018528985,0.18136940630942122,0.07094908983624915,-0.09775882750568177,0.10200348089076317,0.045256095869092385,0.0985561793189353,2,-0.7069227174798273,-0.6281419725087635,-0.6324632127060661,-0.6875701387629943,-0.6633735925521553,-0.6636943268019613,0.03058824418405117,2,-0.890463611112364,-0.8436191292834185,-0.825173472802228,-0.791023045531981,-0.9076619820220934,-0.8515882481504169,0.04262616205139412,2
0.0035552978515625,0.0027473668088246303,0.012175655364990235,0.004943937482301132,distance,2,11,"{'model__weights': 'distance', 'model__p': 2, 'model__n_neighbors': 11}",-0.04218078266828296,0.15509280602895592,0.06351635133860667,-0.08187494707116794,0.08821893639175848,0.03655447280397404,0.08680122589218528,4,-0.7108601822043201,-0.6262275345328211,-0.6440120950188457,-0.6850999608222307,-0.6893446031995074,-0.671108875155545,0.031167383263217597,5,-0.8955905648745262,-0.8570515356193676,-0.8284677380865124,-0.7852793898478501,-0.9146019071919455,-0.8561982271240405,0.04639382665221307,5
0.008197212219238281,0.0022716395930668662,0.008369970321655273,0.0010900177496205561,distance,1,3,"{'model__weights': 'distance', 'model__p': 1, 'model__n_neighbors': 3}",-0.12943494334684358,0.18606900283627292,-0.4218331804054678,-0.18827511643307182,0.13040818021399125,-0.0846132114270238,0.22179952464390806,9,-0.7487239136813887,-0.6423956455464486,-0.7988905905849392,-0.6817546389846573,-0.7012814187665781,-0.7146092415128024,0.05429367526225951,9,-0.9323277037878288,-0.8411941185102975,-1.0208215366479332,-0.822989261743346,-0.893191417519775,-0.902104807641836,0.07078971023266255,9
0.006335401535034179,0.007759722393648908,0.0043754100799560545,0.0062244659714003475,uniform,1,7,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 7}",-0.007035736871223497,0.2308822036592566,-0.09282645732400008,-0.1348731875904463,0.18400792037675107,0.03603094845006756,0.1466501892261495,5,-0.7072629947995257,-0.6081127489055077,-0.7055730135259439,-0.656184835601189,-0.6460613672561027,-0.6646389920176538,0.03769407590818131,4,-0.8803602409389378,-0.8177091616985429,-0.8949548004170016,-0.80428382570643,-0.8652264556186534,-0.8525068968759133,0.035428145397771615,4
0.00341181755065918,0.0017530358067052376,0.009941816329956055,0.004157034033601404,distance,1,5,"{'model__weights': 'distance', 'model__p': 1, 'model__n_neighbors': 5}",-0.03074514456850741,0.2837647957007927,-0.19443067471287478,-0.18957937397587177,0.1606020699619729,0.005922334481102331,0.19017308124315513,7,-0.7095982001642444,-0.5884541595027124,-0.7308672430564566,-0.6726437414081908,-0.6724440776844074,-0.6748014843632023,0.048621506475757845,6,-0.8906634448169592,-0.7890967691492393,-0.9356339576684186,-0.8234407967284821,-0.8775477670407481,-0.8632765470807694,0.0515341269719574,7
0.007150030136108399,0.0047714391583031646,0.008112239837646484,0.004227018543245426,distance,2,7,"{'model__weights': 'distance', 'model__p': 2, 'model__n_neighbors': 7}",-0.009644701555178159,0.19945761616119473,0.010620317568053483,-0.0023008579106673643,0.1891867753410703,0.0774638299208946,0.0956899756913466,1,-0.7076881006762217,-0.6152753760472098,-0.670009906453923,-0.6538981406435501,-0.6647434542051553,-0.6623229956052119,0.02968971762591677,1,-0.8814998941795517,-0.8342468941666911,-0.8515438079811165,-0.7558484352283587,-0.8624764199321973,-0.837123090297583,0.04343706068705167,1
0.005551004409790039,0.0027102023918380096,0.0076119422912597655,0.0038266706653218075,distance,2,3,"{'model__weights': 'distance', 'model__p': 2, 'model__n_neighbors': 3}",-0.10481069171087087,0.25393743719163075,-0.33872798936338033,-0.12185664979385469,0.02163515458021492,-0.057964547819252046,0.1942801239837792,8,-0.7414128065388569,-0.603512906509002,-0.7920074777076268,-0.6444445056250242,-0.7424471406736092,-0.7047649674108237,0.06966319522440366,8,-0.9221082623953991,-0.8053600031799591,-0.9905392138804963,-0.7996581181372111,-0.9474084156189975,-0.8930148026424126,0.07709077730959349,8
0.00684971809387207,0.006881953440318694,0.007897424697875976,0.0022194949637835497,uniform,2,15,"{'model__weights': 'uniform', 'model__p': 2, 'model__n_neighbors': 15}",-0.005845820833576321,0.14371307547172185,0.11270240698211675,-0.1323712280431224,0.025204068092677945,0.028680500333963566,0.09740019074658327,6,-0.7010075448969626,-0.6360768747756275,-0.6303112478398087,-0.6962432480270505,-0.7227155714441356,-0.677270897396717,0.03712345110164684,7,-0.8798399692333023,-0.86280388038741,-0.8064178888673859,-0.803396768050133,-0.9456788420958406,-0.8596274697268143,0.052567337223537076,6
0.003773784637451172,0.0019965155562546126,0.005265474319458008,0.003827867467412185,uniform,1,15,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 15}",-0.028746197790602057,0.174583201852622,0.07841636500149096,-0.09409176475687508,0.09174719238784601,0.04438175933889636,0.09473844969452878,3,-0.7081694552745176,-0.6282972865426072,-0.6330291068326931,-0.6867598258804005,-0.6662265433026434,-0.6644964435665723,0.03068079411996953,3,-0.8897993840656486,-0.8471085885605932,-0.821850603877016,-0.7897007342928144,-0.912830606151277,-0.8522579833894698,0.04459357308723455,3
