mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__n_estimators,param_model__min_child_weight,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
0.7731436252593994,0.4301835325178198,0.011312007904052734,0.0037713152521989695,1.0,200,5,7,0.05,1.0,"{'model__subsample': 1.0, 'model__n_estimators': 200, 'model__min_child_weight': 5, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",0.4473684210526316,0.631578947368421,0.6052631578947368,0.631578947368421,0.47368421052631576,0.5578947368421053,0.08051083442514922,2,0.4055137844611529,0.6351408825093036,0.5587044534412956,0.5996491228070177,0.46847669458275665,0.5334969875603053,0.0847942704298454,2
1.412048053741455,0.575270877179812,0.009754610061645509,0.0018324918086726598,1.0,400,1,7,0.03,0.8,"{'model__subsample': 1.0, 'model__n_estimators': 400, 'model__min_child_weight': 1, 'model__max_depth': 7, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.42105263157894735,0.7368421052631579,0.631578947368421,0.5526315789473685,0.3684210526315789,0.5421052631578946,0.13480261552490208,6,0.3997076023391813,0.7328209304693067,0.576499388004896,0.5300533943554538,0.3486757215619694,0.5175514073461615,0.13592519362957978,6
1.4714516162872315,0.667986722819847,0.008633899688720702,0.0011855977918986008,0.8,400,1,5,0.03,1.0,"{'model__subsample': 0.8, 'model__n_estimators': 400, 'model__min_child_weight': 1, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.42105263157894735,0.6578947368421053,0.631578947368421,0.6578947368421053,0.42105263157894735,0.5578947368421052,0.11214355659296063,3,0.3805668016194332,0.6650717703349283,0.5808196380278761,0.6209176788124156,0.41319380322150406,0.5321139384032314,0.11405671201430696,3
0.8009943962097168,0.3176170857832916,0.009522771835327149,0.0020451415449098034,1.0,200,1,3,0.05,1.0,"{'model__subsample': 1.0, 'model__n_estimators': 200, 'model__min_child_weight': 1, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",0.5,0.6842105263157895,0.6842105263157895,0.6052631578947368,0.5,0.5947368421052631,0.08254940600714801,1,0.47752489331436704,0.6917293233082706,0.6536967418546366,0.5765681686734317,0.485483870967742,0.5770005996236895,0.08638969040059616,1
0.7068906307220459,0.26119084421630173,0.010629653930664062,0.003079987179828392,0.8,200,1,5,0.1,0.8,"{'model__subsample': 0.8, 'model__n_estimators': 200, 'model__min_child_weight': 1, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",0.4473684210526316,0.631578947368421,0.631578947368421,0.5526315789473685,0.4473684210526316,0.5421052631578946,0.082549406007148,6,0.40886426592797787,0.6371560853600128,0.5734335839598997,0.5324180015255531,0.4292182068073409,0.5162180287161569,0.08632018515111488,7
0.5013497352600098,0.21686724539468982,0.006615924835205078,0.0007531253901859932,0.8,200,5,5,0.03,0.8,"{'model__subsample': 0.8, 'model__n_estimators': 200, 'model__min_child_weight': 5, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.42105263157894735,0.6578947368421053,0.631578947368421,0.631578947368421,0.42105263157894735,0.5526315789473684,0.10786263964168,4,0.36713735558408217,0.6600478468899521,0.576499388004896,0.5996491228070177,0.391660970608339,0.5189989367788573,0.11745845811394254,5
0.4458573341369629,0.24174812630328701,0.006243467330932617,0.0010543911829326473,0.8,200,5,5,0.1,1.0,"{'model__subsample': 0.8, 'model__n_estimators': 200, 'model__min_child_weight': 5, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.42105263157894735,0.631578947368421,0.6578947368421053,0.5526315789473685,0.34210526315789475,0.5210526315789473,0.12162336850832993,8,0.3607273998950865,0.6379015721120984,0.601905796385899,0.5290177314945117,0.3325814536340852,0.49242679070433615,0.12440476114779501,8
0.6688622951507568,0.3331749000816103,0.007828283309936523,0.0009326929621899803,1.0,200,1,7,0.1,0.8,"{'model__subsample': 1.0, 'model__n_estimators': 200, 'model__min_child_weight': 1, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",0.47368421052631576,0.6842105263157895,0.631578947368421,0.6052631578947368,0.3684210526315789,0.5526315789473684,0.11531001210635076,4,0.4503352977037188,0.6866028708133971,0.576499388004896,0.5787625804322719,0.35092731829573937,0.5286254910500047,0.11616237362647482,4
