mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__l1_ratio,param_model__C,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
0.04273900985717773,0.017245682703283312,0.0039501190185546875,0.004130266028672827,0.05,0.05,"{'model__l1_ratio': 0.05, 'model__C': 0.05}",0.47368421052631576,0.6578947368421053,0.5526315789473685,0.47368421052631576,0.23684210526315788,0.4789473684210527,0.13865199865599465,7,0.49021592442645073,0.6676820570397842,0.5563454089769879,0.4691838291380625,0.21851503759398497,0.480388451435054,0.14808657046635798,5
0.050768804550170896,0.019665603387623163,0.007358646392822266,0.006897368571706353,0.9,0.05,"{'model__l1_ratio': 0.9, 'model__C': 0.05}",0.5,0.7105263157894737,0.5789473684210527,0.5263157894736842,0.42105263157894735,0.5473684210526316,0.09618772043419509,1,0.4331983805668016,0.655103668261563,0.5587281987961106,0.4964585376484689,0.39727175885741345,0.5081521088260714,0.09187160028344177,1
0.5144949913024902,0.2781974567989421,0.006760883331298828,0.005886542410623285,0.9,1.0,"{'model__l1_ratio': 0.9, 'model__C': 1.0}",0.42105263157894735,0.6052631578947368,0.5789473684210527,0.5789473684210527,0.34210526315789475,0.5052631578947369,0.10447070126989057,2,0.42105263157894735,0.6163579680909591,0.5845408976987926,0.5833333333333334,0.28667614983404455,0.49839219610721547,0.1259822300404839,2
0.07930622100830079,0.04820657311582055,0.008205175399780273,0.00739101115649053,0.95,0.1,"{'model__l1_ratio': 0.95, 'model__C': 0.1}",0.5,0.5789473684210527,0.5263157894736842,0.47368421052631576,0.3157894736842105,0.4789473684210527,0.08869631340185641,7,0.5069559864573714,0.593421052631579,0.5186757215619695,0.4441378566032306,0.31172304627266895,0.4749827327053639,0.09440776816927304,7
0.1931905746459961,0.14285074525440444,0.006026840209960938,0.006219759297639339,0.9,0.2,"{'model__l1_ratio': 0.9, 'model__C': 0.2}",0.5263157894736842,0.6052631578947368,0.5263157894736842,0.4473684210526316,0.34210526315789475,0.4894736842105263,0.08900807644888295,4,0.5290498974709501,0.6163579680909591,0.5240059396139252,0.43480644546147973,0.33052745716283116,0.48694954156002906,0.09703497144810502,4
0.8752788543701172,0.596625512108722,0.00633091926574707,0.007754435862768671,0.1,10.0,"{'model__l1_ratio': 0.1, 'model__C': 10.0}",0.5,0.5789473684210527,0.5263157894736842,0.5526315789473685,0.2894736842105263,0.4894736842105264,0.10340464581257107,3,0.5037813832827683,0.5813788858110188,0.5129672006102212,0.5385404069614596,0.23631578947368423,0.47459673322783036,0.12214177519848893,8
0.428129243850708,0.24021810417478193,0.0049861431121826175,0.0065263945205225595,0.1,2.0,"{'model__l1_ratio': 0.1, 'model__C': 2.0}",0.47368421052631576,0.5526315789473685,0.5789473684210527,0.5,0.3157894736842105,0.48421052631578954,0.09206766149755741,6,0.4749034749034749,0.5616246634252174,0.5812865497076023,0.5080161943319839,0.27229612492770383,0.4796254014591964,0.11033823511690928,6
0.35088343620300294,0.21065546975817653,0.001842641830444336,0.002485217097766095,0.9,0.5,"{'model__l1_ratio': 0.9, 'model__C': 0.5}",0.5263157894736842,0.5789473684210527,0.5526315789473685,0.5263157894736842,0.2631578947368421,0.4894736842105263,0.1148285485751128,4,0.5336067441330599,0.5902768284347232,0.5563454089769879,0.5352410747147589,0.22336887971562894,0.48776778719503183,0.13377047433761208,3
0.6506429195404053,0.382853617687206,0.007256937026977539,0.009004729918738501,0.3,5.0,"{'model__l1_ratio': 0.3, 'model__C': 5.0}",0.5,0.5789473684210527,0.5,0.5263157894736842,0.2894736842105263,0.47894736842105257,0.09902572485382514,9,0.5037813832827683,0.5813788858110188,0.49054079576932763,0.5117845117845118,0.23631578947368423,0.4647602732242621,0.1184781366690024,10
0.09951114654541016,0.052894743682499745,0.003206205368041992,0.006412410736083984,0.9,0.1,"{'model__l1_ratio': 0.9, 'model__C': 0.1}",0.4473684210526316,0.5789473684210527,0.5,0.5,0.3157894736842105,0.46842105263157896,0.08712076503814133,10,0.447274099226561,0.593421052631579,0.5008488964346349,0.4814804390655784,0.30845614986232184,0.46629612744413496,0.09258563587163901,9
