mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__l1_ratio,param_model__alpha,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse
0.013760662078857422,0.003771391182829581,0.0024466514587402344,0.0004593757961492827,0.95,0.001,"{'model__l1_ratio': 0.95, 'model__alpha': 0.001}",-1.0363723072312716,-0.3642860907141461,-0.606711023152323,-0.3222924974962149,0.21664947844333549,-0.42260248803012396,0.40809687984694626,10,-1.0447490798339358,-0.9872161196936395,-1.0334853736241132,-0.7852274268612066,-0.7101573824320286,-0.9121670764889848,0.13773167163529973,10,-1.2941933629784195,-1.2071654397952067,-1.2310296010853712,-0.9419158785842858,-0.9226519436861291,-1.1193912452258825,0.15551660402477568,10
0.004125356674194336,0.0027326265497510474,0.0030928134918212892,0.0024330272088057044,0.5,1.0,"{'model__l1_ratio': 0.5, 'model__alpha': 1.0}",-0.00014024414097901783,-0.011661893816733881,-0.0019606574044552794,-0.17848793165612142,-0.006796618132085985,-0.039809469030075116,0.06945506497858975,6,-0.7177394820804311,-0.8064541422858825,-0.7910760302550197,-0.7757652180587212,-0.7746643377212589,-0.7731398420802627,0.030033201689227455,6,-0.9069869296192318,-1.0395174010435237,-0.9721313390274867,-0.88922347849953,-1.0459976445394363,-0.9707713585458417,0.06496979625015774,6
0.0030315399169921877,0.0025346217376508847,0.004289007186889649,0.006137523190220305,0.9,1.0,"{'model__l1_ratio': 0.9, 'model__alpha': 1.0}",-0.00014024414097901783,-0.011661893816733881,-0.0019606574044552794,-0.17848793165612142,-0.006796618132085985,-0.039809469030075116,0.06945506497858975,6,-0.7177394820804311,-0.8064541422858825,-0.7910760302550197,-0.7757652180587212,-0.7746643377212589,-0.7731398420802627,0.030033201689227455,6,-0.9069869296192318,-1.0395174010435237,-0.9721313390274867,-0.88922347849953,-1.0459976445394363,-0.9707713585458417,0.06496979625015774,6
0.0038161277770996094,0.003372755333383441,0.004453420639038086,0.005888350775922171,0.3,1.0,"{'model__l1_ratio': 0.3, 'model__alpha': 1.0}",-0.00014024414097901783,-0.011661893816733881,-0.0019606574044552794,-0.16988905688823364,-0.006385154162745321,-0.03800740128262943,0.06606074885441568,5,-0.7177394820804311,-0.8064541422858825,-0.7910760302550197,-0.7717267965474957,-0.7745126970550186,-0.7723018296447696,0.030003731223934696,5,-0.9069869296192318,-1.0395174010435237,-0.9721313390274867,-0.8859734153668141,-1.045783880250981,-0.9700785930616075,0.06574418793988433,5
0.007052707672119141,0.005125900725367649,0.001254129409790039,0.0016975605915226374,0.5,0.01,"{'model__l1_ratio': 0.5, 'model__alpha': 0.01}",-0.5719270452941314,-0.1726774319323352,-0.19250558444743482,-0.2604847557196224,0.24785712534335336,-0.1899475384100341,0.2618631575791812,9,-0.921844273816193,-0.8763668280162886,-0.8988280904957515,-0.788615231132867,-0.6949022546620088,-0.8361113356246219,0.08378534142487952,9,-1.1370688708418548,-1.1191887895863504,-1.0605467566130744,-0.9196385121225971,-0.9040865437371618,-1.0281058945802077,0.09835385699469835,9
0.005517768859863281,0.0032662776169377506,0.0015329360961914063,0.0009409825345073219,0.95,0.05,"{'model__l1_ratio': 0.95, 'model__alpha': 0.05}",0.09003858264829645,0.22655470951447088,0.07082461726640632,-0.06583958476927454,0.24521058377777105,0.11335778168753403,0.1137218159836238,2,-0.7375299541678196,-0.6895812887446873,-0.7964300117406377,-0.739281929065504,-0.6656007791386612,-0.725684792571462,0.04526284937592651,2,-0.8651313826475572,-0.9089267131432786,-0.93615649982942,-0.8456570506188759,-0.9056757374996737,-0.8923094767477611,0.03253443888456288,2
0.003267860412597656,0.0027367990022432076,0.005017995834350586,0.006133947224305045,0.9,0.05,"{'model__l1_ratio': 0.9, 'model__alpha': 0.05}",0.08282979355213538,0.2259769842075412,0.06733073651855093,-0.07251710817058665,0.24492547673637033,0.10970917656880223,0.11621230845869548,3,-0.7393876546160024,-0.6903778887138587,-0.7980187662203555,-0.7414762615852046,-0.6654618587822546,-0.7269444859835352,0.04590160725375467,3,-0.8685514434484453,-0.9092661113848929,-0.9379149139405335,-0.8483019504346376,-0.9058467720592218,-0.8939762382535463,0.03174226763473776,3
0.005061817169189453,0.002917885997645348,0.00427541732788086,0.005867099975497512,0.7,0.05,"{'model__l1_ratio': 0.7, 'model__alpha': 0.05}",0.04890045603880433,0.21788561562575282,0.044246641271011966,-0.10411600349166239,0.247654893528239,0.09091432059442914,0.1285839658643394,4,-0.7468064578996588,-0.6984305947429225,-0.8062517761191437,-0.7490656417156426,-0.6615901657192585,-0.7324289272393253,0.049208380220081796,4,-0.8844709306817496,-0.9140063319718573,-0.9494509335147728,-0.8607077305668873,-0.9042080783422646,-0.9025688010155063,0.02970293191566114,4
0.004383087158203125,0.004232385374448265,0.0022773265838623045,0.0024954236608500475,0.5,0.1,"{'model__l1_ratio': 0.5, 'model__alpha': 0.1}",0.09099249230165674,0.2287681471437797,0.08797975130877611,-0.07330878592331147,0.24259769193112157,0.11540585935240452,0.1148827156736309,1,-0.7299381074692729,-0.6902900461318292,-0.7877098708465617,-0.7446605011801305,-0.6678693552041032,-0.7240935761663795,0.0419714940527953,1,-0.8646778065103466,-0.9076252028413399,-0.9274742261289761,-0.848614979425248,-0.90724199441668,-0.8911268418645181,0.02952909182074779,1
0.004031229019165039,0.004938667746651131,0.004165458679199219,0.005497544652955536,0.9,0.01,"{'model__l1_ratio': 0.9, 'model__alpha': 0.01}",-0.4130071249013223,-0.09817457884372649,-0.13871492517898987,-0.2661326372020365,0.2591240711854179,-0.13138103898813144,0.22410798354437264,8,-0.8720128746661121,-0.8494685152058699,-0.879077466996658,-0.7993253550733478,-0.6864164434615028,-0.8172601310806981,0.07113136121016486,8,-1.0780595545333203,-1.0830531276004776,-1.0363515848417006,-0.9216965314958864,-0.8972894776213938,-1.0032900552185557,0.07866297229194956,8
