mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__l1_ratio,param_model__alpha,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse
0.01970071792602539,0.0094094989777097,0.00294346809387207,0.0016381930713940806,0.95,0.001,"{'model__l1_ratio': 0.95, 'model__alpha': 0.001}",-1.4143172636865584,-0.5693300786292326,-0.6259643165100248,-0.2291995345851714,0.1300471742011602,-0.5417528038419654,0.5134638406268304,10,-1.1084592895646341,-0.829955970201182,-0.7500903325802136,-0.6742816233487333,-0.6602923561766455,-0.8046159143742816,0.16355566087073606,10,-1.3502514111973276,-1.0458293044833706,-0.9668541955042703,-0.8324603402529102,-0.8321322719366392,-1.0055055046749035,0.1907734674190917,10
0.006246709823608398,0.0012025006539617695,0.0024473190307617186,0.0009387193213270978,0.5,1.0,"{'model__l1_ratio': 0.5, 'model__alpha': 1.0}",-0.0021828181525587187,-0.02807403604893799,-0.06336427532871869,-0.07085570671649166,-0.043928398675106006,-0.04168104698436261,0.024785619132824566,6,-0.7173731339032656,-0.62719267216939,-0.5870554454798386,-0.6379277486850262,-0.7144123862236723,-0.6567922772922385,0.051157306252827606,6,-0.8699432972497423,-0.8464783463686295,-0.7818915394431117,-0.7769943062260612,-0.9115486867968343,-0.837371235216876,0.05170985054902338,6
0.005772781372070312,0.0020118414279806946,0.003073596954345703,0.0006578891806197734,0.9,1.0,"{'model__l1_ratio': 0.9, 'model__alpha': 1.0}",-0.0021828181525587187,-0.02807403604893799,-0.06336427532871869,-0.07085570671649166,-0.043928398675106006,-0.04168104698436261,0.024785619132824566,6,-0.7173731339032656,-0.62719267216939,-0.5870554454798386,-0.6379277486850262,-0.7144123862236723,-0.6567922772922385,0.051157306252827606,6,-0.8699432972497423,-0.8464783463686295,-0.7818915394431117,-0.7769943062260612,-0.9115486867968343,-0.837371235216876,0.05170985054902338,6
0.004123497009277344,0.0023462108000466444,0.0017668247222900391,0.001466130331775319,0.3,1.0,"{'model__l1_ratio': 0.3, 'model__alpha': 1.0}",-0.0021828181525587187,-0.02807403604893799,-0.06336427532871869,-0.07085570671649166,-0.034020081498095545,-0.03969938354896052,0.0249224374076495,5,-0.7173731339032656,-0.62719267216939,-0.5870554454798386,-0.6379277486850262,-0.7112040308093787,-0.6561506062093798,0.05044571968735267,5,-0.8699432972497423,-0.8464783463686295,-0.7818915394431117,-0.7769943062260612,-0.9072124472814713,-0.8365039873138033,0.05048025991244391,5
0.00874156951904297,0.004984695647021546,0.003490114212036133,0.0012401859414671195,0.5,0.01,"{'model__l1_ratio': 0.5, 'model__alpha': 0.01}",-1.0646748630431877,-0.08592600384216476,-0.3244351153745564,-0.17394725203206995,0.2272482994334858,-0.28434698697169863,0.42983889477475606,9,-0.9890930730135371,-0.6633801223373309,-0.6714757564344696,-0.6599838337727573,-0.6096686014848419,-0.7187202774085872,0.13692206831726078,9,-1.2486574282323657,-0.8699689927242472,-0.8726112834451348,-0.8135357651253312,-0.784268005933519,-0.9178082950921198,0.1688184154331228,9
0.007092809677124024,0.001963313356467071,0.0041771411895751955,0.002590773645800631,0.95,0.05,"{'model__l1_ratio': 0.95, 'model__alpha': 0.05}",-0.0087219865002226,0.2641871079268634,-0.03518011409018462,-0.02339130291618874,0.3090449794365796,0.10118773677136941,0.15229557017404133,2,-0.7117564284792662,-0.5461279293045981,-0.5738839081040441,-0.5860718786090785,-0.5758269331931684,-0.598733415538031,0.058041464672595966,2,-0.8727768402554941,-0.7161225570907748,-0.7714600502991193,-0.7595794726104538,-0.7415994551808437,-0.7723076750873371,0.05358458922073349,2
0.006609916687011719,0.0027922203597881058,0.005311727523803711,0.0018708078261574293,0.9,0.05,"{'model__l1_ratio': 0.9, 'model__alpha': 0.05}",-0.025984351975937292,0.26638926153691767,-0.045815560936869115,-0.02534980402518472,0.3083774878610286,0.09552340649199102,0.15738689429439606,3,-0.7158207046996025,-0.5457756276938914,-0.5770800855974368,-0.5867076130648715,-0.575417603897018,-0.600160326990564,0.05943213590340225,3,-0.8802131216906952,-0.7150501420872876,-0.7754129159485864,-0.7603059426220272,-0.741957576825017,-0.7745879398347226,0.0565169444022566,3
0.005747175216674805,0.003117689264700497,0.005223798751831055,0.0036933541394681816,0.7,0.05,"{'model__l1_ratio': 0.7, 'model__alpha': 0.05}",-0.09921343071297595,0.284384067363629,-0.09025427796590502,-0.02382169928924549,0.30514021869746577,0.07524697561859366,0.18123516602486656,4,-0.7345262821854429,-0.5404464084913005,-0.5914259378079155,-0.5842702989654537,-0.5725469753701017,-0.6046431805640429,0.06724695060731106,4,-0.9110841325253718,-0.7062259280115262,-0.7917159250396901,-0.7597391797938376,-0.7436919855851902,-0.7824914301911232,0.0699437817413552,4
0.006483936309814453,0.0023235789637803014,0.0031241893768310545,0.0006501823786587301,0.5,0.1,"{'model__l1_ratio': 0.5, 'model__alpha': 0.1}",0.028310200566235677,0.264857152113647,-0.009667360744747056,0.0021720511531917452,0.29949416775179905,0.11703324216802528,0.135839472766481,1,-0.7006266199929039,-0.5512286668357604,-0.5650177719018282,-0.5776958281344715,-0.5793322879719739,-0.5947802349673876,0.0538823097883305,1,-0.8566063544660766,-0.715796425918294,-0.7618941509979692,-0.7500326870576849,-0.7467072901770127,-0.7662073817234075,0.047694270128083395,1
0.005034971237182617,0.002356880220514113,0.0037400245666503905,0.003639940997504605,0.9,0.01,"{'model__l1_ratio': 0.9, 'model__alpha': 0.01}",-0.9983768320042652,0.004191783406760519,-0.2843905205795856,-0.14147047310125105,0.27801647180527544,-0.22840591409461322,0.4275774978443313,8,-0.9656026797177946,-0.6374575869934488,-0.6517172145570016,-0.6495037792344047,-0.5899556266107295,-0.6988473774226758,0.13523354169754348,8,-1.228446261523991,-0.8330892108612155,-0.8593182330372516,-0.8022037716942358,-0.7580679895890785,-0.8962250933411546,0.1694972299621302,8
