mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse
0.051999998092651364,0.015245915344657511,0.004399585723876953,0.0007999312979262485,0.1,{'model__alpha': 0.1},-1.406546988294818,-3.276860117711635,0.29604751159714193,0.3261690191424561,0.5448641990776795,-0.7032652752378352,1.4652087754420098,6,-1.6052176741478512,-2.00068095222657,-1.227920162668554,-1.2145600305383306,-0.8438690397320308,-1.3784495718626675,0.39341857938955965,6,-1.8977585630178797,-2.662258827551911,-1.5298678941080246,-1.4652711790193622,-1.0845703315349244,-1.7279453590464204,0.5336556969935841,6
0.05039825439453125,0.012549310025533004,0.0038002490997314452,0.0011648479116256672,1.0,{'model__alpha': 1.0},-0.9062351883346516,-0.9549023557243626,0.4115848468447305,0.3773405753667791,0.5887330829404268,-0.09669580778141554,0.6847985058760346,5,-1.4265938529311004,-1.3905917108595605,-1.0834373314458332,-1.1718660522045377,-0.789562559389741,-1.1724103013661547,0.23095509713133833,5,-1.6890092495739173,-1.7999079187836247,-1.3986987300079299,-1.4085355188953965,-1.0309773133025517,-1.465425746112684,0.26769472921853765,5
0.05380105972290039,0.01621623877014901,0.0047986507415771484,0.0014718199118506,5.0,{'model__alpha': 5.0},-0.36567605818119464,0.16536374714333846,0.4000953678111868,0.39725582459336595,0.5955111703316889,0.23851001033967706,0.331406418387514,4,-1.164785501934748,-0.9019721356028131,-1.0722253546591511,-1.1249405185417565,-0.7855061711237209,-1.009885936372438,0.14360313562836316,4,-1.4296101888474644,-1.1760786741725588,-1.4122883091286458,-1.3858270406500588,-1.0224462519727995,-1.2852500929543054,0.160049070960307,4
0.06145057678222656,0.011601342904154854,0.005401754379272461,0.0014972563351286527,10.0,{'model__alpha': 10.0},-0.21363957507067433,0.3217457861367853,0.38034498188331556,0.40719403106721186,0.583833797964712,0.2958958043962701,0.2693405916170316,3,-1.0716381162516648,-0.8082420622886182,-1.0961573267352358,-1.1189785957425074,-0.8068600430489531,-0.9803752288133959,0.14190324087599587,2,-1.3476857977684322,-1.0601907310812282,-1.4353481104059205,-1.3743546113310108,-1.0370999766140503,-1.2509358454401285,0.16775583803120808,2
0.05699963569641113,0.0165508526398454,0.004199600219726563,0.0007475422316238982,25.0,{'model__alpha': 25.0},-0.10693497772839056,0.3895619944033061,0.3524662186025461,0.41917662541152645,0.5483534681796062,0.3205246657737189,0.22367223104822706,1,-0.9977441767241926,-0.7721556705144911,-1.1160305137924922,-1.1216523114430528,-0.849736360718663,-0.9714638066385783,0.1404906273457483,1,-1.287077926640761,-1.0057928293868696,-1.4672816000916709,-1.3603935460213294,-1.0804049386905312,-1.2401901681662324,0.17244782653425172,1
0.05240001678466797,0.014375741046881286,0.0046002864837646484,0.0010201610001615356,50.0,{'model__alpha': 50.0},-0.07118226723042254,0.37276776722724747,0.3250978736337492,0.4181649109749713,0.5072695758955956,0.3104235721002282,0.20004084368723854,2,-0.9682112176187956,-0.7952879683412963,-1.1427658049400984,-1.1186256947900273,-0.8873817416716313,-0.9824544854723698,0.13305286154340565,3,-1.2661217638809277,-1.0195345242508136,-1.4979684092278374,-1.361577839756064,-1.1284749173237458,-1.2547354908878776,0.16850425183494327,3
