mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse
0.007590341567993164,0.0010740348509664292,0.004923391342163086,0.0011464880737186334,0.01,{'model__alpha': 0.01},-1.6024084935844969,-0.8465929018128409,-0.7581338713184744,-0.2465117966582997,0.11094942013913867,-0.6685395286469946,0.5826751790586494,8,-1.1479870233124132,-0.9005362229612621,-0.7758728185173769,-0.6827184103043005,-0.6692264178676303,-0.8352681785925966,0.1768740231727269,8,-1.4018618070208977,-1.1344601321894356,-1.0053828007657033,-0.83830210187245,-0.841216433956247,-1.0442446551609468,0.21031970767736813,8
0.005198907852172851,0.0026166524600191123,0.0041388988494873045,0.0020629517763885662,0.1,{'model__alpha': 0.1},-1.4872178809404306,-0.6555042844016385,-0.722663568132742,-0.24455469233776772,0.11187228013232908,-0.59961362913605,0.536355368825949,7,-1.1224908496287802,-0.8511166696013667,-0.7692431817260825,-0.6815637547851136,-0.6690077350349624,-0.818684438155261,0.16552934506675548,7,-1.3704853124772882,-1.0741595943014284,-0.9951893402306643,-0.8376437490371438,-0.840779717206586,-1.023651542650622,0.19580389575619803,7
0.005443000793457031,0.002814503916001457,0.002949810028076172,0.0026351572314512917,1.0,{'model__alpha': 1.0},-1.0464551745696085,-0.1707073451675838,-0.5294608429569585,-0.22667485343862137,0.13225051129516552,-0.36820954096752134,0.39887806932045206,6,-0.9923708125955519,-0.6964764081637794,-0.7279432204257938,-0.6755123389063149,-0.6599192101912816,-0.7504443980565443,0.12309090957992837,6,-1.2431358417551317,-0.9032913032987469,-0.9377232030115543,-0.831604996121336,-0.8310778295404809,-0.94936663474545,0.1525902340425613,6
0.004589509963989258,0.0024045297097383825,0.005705833435058594,0.0025847541631660144,5.0,{'model__alpha': 5.0},-0.4769628210102663,0.1694934986600779,-0.3077916627551538,-0.17501111727558483,0.19353350609383269,-0.11934771925741887,0.2637506417307716,5,-0.8261167350539801,-0.5831240072111958,-0.6637674519694151,-0.6616634306014259,-0.6281246513906239,-0.6725592552453282,0.08215718108035211,5,-1.0560932126769245,-0.7608081839583136,-0.8671111348088374,-0.8139043065689748,-0.8011939809486739,-0.8598221637923448,0.10385079235792374,5
0.006204843521118164,0.002062766947455398,0.0026645660400390625,0.0013948747056290057,10.0,{'model__alpha': 10.0},-0.25135304045938556,0.2500139280536132,-0.23032180105725364,-0.13535891480528184,0.23009031036553618,-0.027385903580554326,0.22192210136801926,4,-0.7671687198380621,-0.5566483823535353,-0.6346889581595724,-0.6494650082081708,-0.6099596105207112,-0.6435861358160103,0.06939062208246657,4,-0.9720920615008282,-0.7229866139554428,-0.8410364936567553,-0.8000533458718324,-0.7828244947956087,-0.8237986019560936,0.08329929966425764,4
0.006074094772338867,0.0008682802642448708,0.0034588336944580077,0.0005661938112893994,25.0,{'model__alpha': 25.0},-0.03471584623770885,0.3092712307183554,-0.13418928291924992,-0.069782372897776,0.2741666715068567,0.06895008003409546,0.18500109374232415,3,-0.7169366291483517,-0.5416111356897214,-0.6008811815397016,-0.625152696001846,-0.5896152917736567,-0.6148393868306554,0.0578336830341758,3,-0.8839506510533424,-0.693836958911574,-0.8075106347241373,-0.7766048124121723,-0.7600864084099823,-0.7843978931022416,0.06212570102143119,3
0.005324888229370117,0.002579880403234878,0.003112936019897461,0.001842559990892816,50.0,{'model__alpha': 50.0},0.056368064494430214,0.3284169899096744,-0.05476588407527694,-0.017314948110133566,0.29973535343053814,0.12248791512984644,0.16072275680477235,2,-0.7016734819695575,-0.5358770714613792,-0.5746325928829649,-0.6019009445010192,-0.5782345151489979,-0.5984637211927837,0.055782257756301065,2,-0.8441483678758904,-0.6841534285428533,-0.7787239254072975,-0.7573211253681312,-0.7465787326398999,-0.7621851159668144,0.0516675308652169,2
0.005801534652709961,0.0019382033209744414,0.0029057979583740233,0.001568667531330701,100.0,{'model__alpha': 100.0},0.09405129746324026,0.3238830309821542,0.026509883554480473,0.03169715781685045,0.3159940436049775,0.15842708268434058,0.13402229740376367,1,-0.6966043142219203,-0.5335268331843233,-0.551242020800891,-0.5739026420583763,-0.5688161404416403,-0.5848183901414302,0.05767064204146276,1,-0.827121430843338,-0.6864589557134123,-0.7481199811899054,-0.73885286537218,-0.7378608290402462,-0.7476828124318163,0.045240435820072124,1
