mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__num_leaves,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
0.21879730224609376,0.12195310741910599,0.007804489135742188,0.0007473370920710197,1.0,31,400,5,0.1,1.0,"{'model__subsample': 1.0, 'model__num_leaves': 31, 'model__n_estimators': 400, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.5,0.5526315789473685,0.5789473684210527,0.5526315789473685,0.39473684210526316,0.5157894736842106,0.06573682103577262,4,0.47434210526315784,0.5637958532695374,0.5286524980527428,0.5290726817042606,0.3916597300874691,0.49750457367543355,0.06016793705100457,5
0.2590610980987549,0.13181359131633116,0.009802484512329101,0.0014706402619379807,1.0,31,400,8,0.1,1.0,"{'model__subsample': 1.0, 'model__num_leaves': 31, 'model__n_estimators': 400, 'model__max_depth': 8, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.5,0.5526315789473685,0.5789473684210527,0.5263157894736842,0.3684210526315789,0.5052631578947369,0.0733073067220217,6,0.47434210526315784,0.5637958532695374,0.5286524980527428,0.5013634564881101,0.3665993477341266,0.48695065216153494,0.06707513659305783,7
0.24900007247924805,0.1549960195518753,0.007399415969848633,0.0004907837410928454,0.8,15,400,8,0.03,1.0,"{'model__subsample': 0.8, 'model__num_leaves': 15, 'model__n_estimators': 400, 'model__max_depth': 8, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.5,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.3684210526315789,0.5368421052631578,0.09355994123490094,3,0.4714021896847382,0.6088794926004228,0.5610766045548654,0.5781692133559705,0.36174157503291693,0.5162538150457827,0.08978620802891926,2
0.2595998764038086,0.17456530674373477,0.008201265335083007,0.0011666103890142687,1.0,31,400,8,0.05,1.0,"{'model__subsample': 1.0, 'model__num_leaves': 31, 'model__n_estimators': 400, 'model__max_depth': 8, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",0.42105263157894735,0.5526315789473685,0.6052631578947368,0.5263157894736842,0.42105263157894735,0.5052631578947369,0.0733073067220217,6,0.38818998716302955,0.558640258150662,0.5536160928103879,0.5135631197559115,0.41560798548094374,0.48592348867218693,0.07089439150048396,8
0.11239714622497558,0.06078576535702093,0.006802701950073242,0.0017196590287327782,1.0,31,200,5,0.03,0.8,"{'model__subsample': 1.0, 'model__num_leaves': 31, 'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.47368421052631576,0.5789473684210527,0.631578947368421,0.6052631578947368,0.47368421052631576,0.5526315789473684,0.06657426652986062,1,0.4200629779577148,0.5681818181818181,0.5808196380278761,0.57914673046252,0.46944038863037807,0.5235303106520615,0.0663328258218821,1
0.12083554267883301,0.08118691314519631,0.008002614974975586,0.003576170292165307,1.0,31,200,-1,0.03,1.0,"{'model__subsample': 1.0, 'model__num_leaves': 31, 'model__n_estimators': 200, 'model__max_depth': -1, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.4473684210526316,0.5263157894736842,0.631578947368421,0.6052631578947368,0.47368421052631576,0.5368421052631579,0.0717799036683466,2,0.4005143056389594,0.5021929824561403,0.5839598997493735,0.5783270087444317,0.4688302907369845,0.5067648974651778,0.06903525071482758,3
0.1277979850769043,0.0670624333042783,0.00940251350402832,0.000799715950315316,0.8,31,200,-1,0.1,1.0,"{'model__subsample': 0.8, 'model__num_leaves': 31, 'model__n_estimators': 200, 'model__max_depth': -1, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.47368421052631576,0.5263157894736842,0.6052631578947368,0.5263157894736842,0.39473684210526316,0.5052631578947369,0.06942582083301536,6,0.454344997108155,0.5351917342764024,0.5536160928103879,0.5091671867415574,0.3903224485897138,0.4885284919052433,0.05941842805890717,6
0.11699705123901367,0.07290257903583379,0.006203603744506836,0.0007477071420447866,1.0,15,200,-1,0.1,0.8,"{'model__subsample': 1.0, 'model__num_leaves': 15, 'model__n_estimators': 200, 'model__max_depth': -1, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",0.5263157894736842,0.5263157894736842,0.6052631578947368,0.5263157894736842,0.39473684210526316,0.5157894736842106,0.06781104593013224,4,0.4940586784676711,0.5304884833648603,0.5719981772613352,0.5135631197559115,0.3903224485897138,0.5000861814878983,0.060599786819789066,4
