mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
0.32993345260620116,0.024506890383562966,0.016551685333251954,0.002052444045514507,200,2,4,0.6,8,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': 0.6, 'model__max_depth': 8}",0.5263157894736842,0.42105263157894735,0.5,0.5526315789473685,0.3684210526315789,0.47368421052631576,0.06862318321265948,13,0.5049695843034759,0.4398496240601504,0.4336130180523773,0.5441088516746412,0.34896063688633344,0.4543003429953957,0.0668822586641834,12
0.708912706375122,0.06762050307935406,0.02085256576538086,0.0052233414204238895,400,2,2,0.8,5,"{'model__n_estimators': 400, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 0.8, 'model__max_depth': 5}",0.5,0.5526315789473685,0.5263157894736842,0.5526315789473685,0.42105263157894735,0.5105263157894737,0.04880851839734584,1,0.4483374026912507,0.5678143792240967,0.4540253796546702,0.5312733446519524,0.40527723050942865,0.4813455473462798,0.05931603802137675,2
0.6366491317749023,0.01947043968941289,0.023724460601806642,0.006235524496012394,400,5,4,log2,12,"{'model__n_estimators': 400, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 12}",0.4473684210526316,0.5,0.5263157894736842,0.5,0.39473684210526316,0.4736842105263158,0.04707511531578504,12,0.4283208020050126,0.5294534412955466,0.46012759170653905,0.4868789621111602,0.36614562722595967,0.45418528486884363,0.05511703131654016,13
0.3128507614135742,0.010930472268590345,0.013462018966674805,0.00489007508997106,200,5,8,log2,,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 8, 'model__max_features': 'log2', 'model__max_depth': None}",0.5,0.4473684210526316,0.5,0.5526315789473685,0.3684210526315789,0.47368421052631576,0.06227452403262756,13,0.49688906836571395,0.4780072190044489,0.45802005012531327,0.5419799498746867,0.36459330143540664,0.4678979177611139,0.05865193652440728,7
0.37700514793395995,0.058105836441915304,0.01385040283203125,0.004701570788252975,200,10,1,0.8,12,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': 12}",0.5,0.5263157894736842,0.5,0.5,0.47368421052631576,0.5,0.01664356663246515,4,0.4483374026912507,0.5522978177150193,0.4336130180523773,0.47180601024091323,0.4442575737589588,0.4700623644917038,0.04297005029829218,6
0.779874849319458,0.09473464574515615,0.029164457321166994,0.0032643161774867212,400,5,1,0.8,12,"{'model__n_estimators': 400, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': 12}",0.5263157894736842,0.5263157894736842,0.47368421052631576,0.5,0.4473684210526316,0.4947368421052631,0.030689220499185783,7,0.46588672128248954,0.5247208931419457,0.38244106506868675,0.46972694895132566,0.4033240997229917,0.4492199456334879,0.05092064263462284,14
0.8296182155609131,0.12230527721309743,0.030390596389770506,0.011593565478199676,400,10,1,0.8,8,"{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': 8}",0.5,0.5526315789473685,0.5263157894736842,0.5263157894736842,0.4473684210526316,0.5105263157894736,0.035696473595396155,2,0.4483374026912507,0.574436090225564,0.4540253796546702,0.4946730462519936,0.4045219734970427,0.47519877846410424,0.057257922137327714,4
0.960515308380127,0.038393574109726956,0.02928018569946289,0.006804021619974087,600,2,8,sqrt,5,"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': 5}",0.4473684210526316,0.39473684210526316,0.5789473684210527,0.5526315789473685,0.42105263157894735,0.4789473684210527,0.0733073067220217,10,0.4461722488038277,0.4164086687306502,0.5454428754813864,0.5419799498746867,0.416044142614601,0.4732095771010304,0.05860419913198452,5
0.6976251125335693,0.06902571349018141,0.014626693725585938,0.003979175556081748,400,2,2,0.6,5,"{'model__n_estimators': 400, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 0.6, 'model__max_depth': 5}",0.5263157894736842,0.47368421052631576,0.5263157894736842,0.5526315789473685,0.39473684210526316,0.4947368421052632,0.056195148694901643,5,0.46588672128248954,0.49919028340080973,0.45112781954887216,0.5328220221606648,0.3672932330827067,0.46326401589510857,0.05566609368629877,10
1.0395780086517334,0.09294308383225826,0.036076021194458005,0.004066851885788752,600,2,4,0.6,12,"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': 0.6, 'model__max_depth': 12}",0.5526315789473685,0.42105263157894735,0.5263157894736842,0.5263157894736842,0.3684210526315789,0.47894736842105257,0.07139294719079231,11,0.5269647250256669,0.4398496240601504,0.4540253796546702,0.5070028011204482,0.34774436090225563,0.45511737815263825,0.0626376883009599,11
1.0060877799987793,0.07549667583297472,0.03399572372436523,0.002333490808628911,600,2,1,log2,,"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': None}",0.47368421052631576,0.5526315789473685,0.5,0.5263157894736842,0.47368421052631576,0.5052631578947369,0.030689220499185817,3,0.41548222159677267,0.5417933130699087,0.3957688338493292,0.44372774040364066,0.42043343653250775,0.4434411090904318,0.05149162339295497,15
0.3214879989624023,0.02582001810398707,0.012065935134887695,0.005678311242819399,200,10,2,sqrt,,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': None}",0.5,0.5,0.5526315789473685,0.5263157894736842,0.39473684210526316,0.4947368421052632,0.05367388961676616,5,0.470192549832439,0.5167919799498747,0.486651411136537,0.4940642119131821,0.3672932330827067,0.4669986771829479,0.052056743133335553,8
1.0246868133544922,0.08595792781999961,0.029482603073120117,0.006342517800834675,600,2,8,0.8,8,"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 8, 'model__max_features': 0.8, 'model__max_depth': 8}",0.5263157894736842,0.39473684210526316,0.6052631578947368,0.5263157894736842,0.39473684210526316,0.4894736842105263,0.082549406007148,8,0.5276108932618627,0.4130553656869446,0.565982028241335,0.5190585158548545,0.38337493932459604,0.4818163484739186,0.07069195824619774,1
0.9513062477111817,0.04073337195733763,0.0351862907409668,0.002588253207408384,600,5,8,log2,12,"{'model__n_estimators': 600, 'model__min_samples_split': 5, 'model__min_samples_leaf': 8, 'model__max_features': 'log2', 'model__max_depth': 12}",0.4473684210526316,0.39473684210526316,0.5526315789473685,0.5526315789473685,0.39473684210526316,0.468421052631579,0.07139294719079232,15,0.4461722488038277,0.4164086687306502,0.51840938265842,0.5419799498746867,0.39573934837092734,0.46374191968770234,0.05706697917713583,9
0.3343039512634277,0.02875345109522131,0.01470484733581543,0.004515050789168837,200,5,8,0.6,,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 8, 'model__max_features': 0.6, 'model__max_depth': None}",0.5,0.4473684210526316,0.6052631578947368,0.5,0.3684210526315789,0.4842105263157895,0.0773523076668372,9,0.49973418394471025,0.46752015173067807,0.565982028241335,0.4950838635049162,0.36379331480876104,0.47842270844608015,0.06581363261121971,3
