mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__weight_decay,param_model__patience,param_model__learning_rate,param_model__hidden_layers,param_model__epochs,param_model__dropout,param_model__batch_size,param_model__batch_norm,param_model__activation,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse
0.1633145809173584,0.05771371685416591,0.0040245532989501955,0.00021659581413485015,0.0,10,0.0005,"(256, 128, 64)",100,0.0,128,False,gelu,"{'model__weight_decay': 0.0, 'model__patience': 10, 'model__learning_rate': 0.0005, 'model__hidden_layers': (256, 128, 64), 'model__epochs': 100, 'model__dropout': 0.0, 'model__batch_size': 128, 'model__batch_norm': False, 'model__activation': 'gelu'}",-0.02601057734534562,0.2906423399289838,0.1001588784252696,0.12714613550838882,0.2371365947786308,0.14581467425918548,0.11069925838234093,3,-0.675325843605665,-0.5499587209052489,-0.6286334994987023,-0.5176645914658999,-0.5862995877634894,-0.591576448647801,0.05587491266910025,5,-0.8286698103859871,-0.7206220319057789,-0.7558073191967399,-0.6383172621322262,-0.7802232303833698,-0.7447279308008203,0.06377026431811067,3
0.3350375175476074,0.11169244229851483,0.004094743728637695,0.0017956015495857822,0.0,14,0.0005,"(128, 64, 32)",100,0.1,32,False,relu,"{'model__weight_decay': 0.0, 'model__patience': 14, 'model__learning_rate': 0.0005, 'model__hidden_layers': (128, 64, 32), 'model__epochs': 100, 'model__dropout': 0.1, 'model__batch_size': 32, 'model__batch_norm': False, 'model__activation': 'relu'}",-0.002216261637218553,0.2603998928641291,0.005539254900059576,0.036170756451192165,0.2756080150128851,0.11510033151820949,0.12559567615784223,7,-0.6631891399890805,-0.5613124638433358,-0.6192660172884642,-0.557213437157372,-0.5650945016334598,-0.5932151119823424,0.041664571370972105,6,-0.8190045617827396,-0.735823048223188,-0.7945514007371394,-0.6707580126549767,-0.7602952968939466,-0.756086464058398,0.05127865694224771,7
0.3965640068054199,0.13183295475558035,0.003744077682495117,0.0019700998130754615,0.01,10,0.0003,"(64, 32)",100,0.3,128,True,relu,"{'model__weight_decay': 0.01, 'model__patience': 10, 'model__learning_rate': 0.0003, 'model__hidden_layers': (64, 32), 'model__epochs': 100, 'model__dropout': 0.3, 'model__batch_size': 128, 'model__batch_norm': True, 'model__activation': 'relu'}",0.0055670350444612104,0.16360298629339176,0.2187486244913608,-0.04592489027475555,0.19579040154939154,0.10755683142076995,0.10700327722028428,9,-0.6436532653572223,-0.6104694479166519,-0.5343932563183564,-0.5973069348483697,-0.6065693070876509,-0.5984784423056503,0.03566032652394827,9,-0.815818133683433,-0.7824942253131165,-0.7042446765398533,-0.6987407454362833,-0.8010877891141236,-0.760477114017362,0.04933573716799124,9
0.48828678131103515,0.16880573934389934,0.005117607116699219,0.0018756565568611933,0.0,18,0.0005,"(64, 32)",80,0.1,32,True,relu,"{'model__weight_decay': 0.0, 'model__patience': 18, 'model__learning_rate': 0.0005, 'model__hidden_layers': (64, 32), 'model__epochs': 80, 'model__dropout': 0.1, 'model__batch_size': 32, 'model__batch_norm': True, 'model__activation': 'relu'}",-0.01918599287329359,0.16560102824348666,0.2393360418278454,-0.004200634102407452,0.1884504636083454,0.11400018134079529,0.10547469803516468,8,-0.6525188124167541,-0.6289990289422324,-0.5291580794352232,-0.5759893999434075,-0.6101849990225129,-0.5993700639520261,0.04311845560687055,10,-0.8259092332252314,-0.7815590288084628,-0.6949036531266531,-0.6846617493518159,-0.8047352083675269,-0.758353774575938,0.05780984987255664,8
0.17400217056274414,0.06331182778094958,0.005047607421875,0.0026975806654175607,0.0,14,0.002,"(64, 32)",80,0.3,128,False,gelu,"{'model__weight_decay': 0.0, 'model__patience': 14, 'model__learning_rate': 0.002, 'model__hidden_layers': (64, 32), 'model__epochs': 80, 'model__dropout': 0.3, 'model__batch_size': 128, 'model__batch_norm': False, 'model__activation': 'gelu'}",0.004780508230987857,0.28574755512831085,0.18113890813021782,0.01397873522680848,0.2669819283454522,0.15052552701235544,0.12055779215730664,2,-0.6459745825121795,-0.5639553688964967,-0.5746805370147207,-0.5729996936996947,-0.5779288997765011,-0.5871078163799185,0.029796177229088734,4,-0.816140697411824,-0.7231040138635455,-0.7209967272296988,-0.678436117806083,-0.7648087124975881,-0.7406972537617479,0.0465771564576409,1
0.3594481945037842,0.1451884677690423,0.0053326129913330075,0.0014021009964614746,0.0001,10,0.0003,"(128, 64, 32)",100,0.1,128,True,gelu,"{'model__weight_decay': 0.0001, 'model__patience': 10, 'model__learning_rate': 0.0003, 'model__hidden_layers': (128, 64, 32), 'model__epochs': 100, 'model__dropout': 0.1, 'model__batch_size': 128, 'model__batch_norm': True, 'model__activation': 'gelu'}",-0.005170354548787781,0.2134653819964929,-0.004322880168794896,0.13674906716673052,0.17203460152637373,0.1025511631944029,0.09091248022214161,10,-0.6650369414077034,-0.5730184078262693,-0.6138645574864001,-0.5187525717399268,-0.6004208777301243,-0.5942186712380848,0.04813364508088905,7,-0.8202107063257821,-0.7588113626316471,-0.7984814912611873,-0.6347962432634998,-0.8128334724835261,-0.7650266551931284,0.06848151194034058,10
0.2760005474090576,0.0989251076939146,0.004794645309448242,0.0014645581895301007,0.001,10,0.0003,"(256, 128, 64)",80,0.1,128,False,gelu,"{'model__weight_decay': 0.001, 'model__patience': 10, 'model__learning_rate': 0.0003, 'model__hidden_layers': (256, 128, 64), 'model__epochs': 80, 'model__dropout': 0.1, 'model__batch_size': 128, 'model__batch_norm': False, 'model__activation': 'gelu'}",-0.027484743551194013,0.27725613546934336,0.11141175108520807,0.09330693150116132,0.24579232092174808,0.14005647908525337,0.11052593893273567,5,-0.6762272728823824,-0.5574776094367779,-0.6205006446299953,-0.5383346444037281,-0.5852742004324303,-0.5955628743570628,0.04890818355736509,8,-0.8292649107564214,-0.7273896399879368,-0.7510666152556833,-0.6505728985893435,-0.7757842543802117,-0.7468156637939194,0.05881355015420148,4
0.5205388545989991,0.16710895492296218,0.003951549530029297,0.002021207618860962,0.0,14,0.0003,"(64, 32)",100,0.3,32,False,relu,"{'model__weight_decay': 0.0, 'model__patience': 14, 'model__learning_rate': 0.0003, 'model__hidden_layers': (64, 32), 'model__epochs': 100, 'model__dropout': 0.3, 'model__batch_size': 32, 'model__batch_norm': False, 'model__activation': 'relu'}",0.015400185816146772,0.17080260633379096,0.200278339122969,0.07995615636455755,0.23539370038114826,0.14036619760372251,0.0810085713323347,4,-0.6472630309223478,-0.5948245565732251,-0.5460665375817204,-0.542213008234686,-0.5905754771849648,-0.5841885220993888,0.038334166367934866,2,-0.8117746271887593,-0.7791191313268474,-0.712520895294093,-0.6553451377558411,-0.7811139998658337,-0.7479747582862749,0.056525795133219404,5
0.18979945182800292,0.032816529110116,0.00473318099975586,0.0014336739440124245,0.01,10,0.002,"(64, 32)",100,0.1,32,False,relu,"{'model__weight_decay': 0.01, 'model__patience': 10, 'model__learning_rate': 0.002, 'model__hidden_layers': (64, 32), 'model__epochs': 100, 'model__dropout': 0.1, 'model__batch_size': 32, 'model__batch_norm': False, 'model__activation': 'relu'}",0.03160748407929492,0.13034444274244616,0.25816623759104695,-0.021871223523124428,0.2699547697299962,0.13364034212393197,0.11721240202209358,6,-0.6236904895014367,-0.6438043317715225,-0.5287005088902399,-0.5667214982678349,-0.5718599877252997,-0.5869553632312667,0.041502246766880274,3,-0.8050656750333364,-0.7979001426183848,-0.6862486021778109,-0.6906593640954275,-0.7632562508084321,-0.7486260069466784,0.051143900759570225,6
0.2057346820831299,0.0691897330067494,0.0030649185180664064,0.0019522861079848122,0.001,10,0.001,"(64, 32)",80,0.1,64,False,relu,"{'model__weight_decay': 0.001, 'model__patience': 10, 'model__learning_rate': 0.001, 'model__hidden_layers': (64, 32), 'model__epochs': 80, 'model__dropout': 0.1, 'model__batch_size': 64, 'model__batch_norm': False, 'model__activation': 'relu'}",0.012588724430343423,0.23667190956888373,0.20474544876521428,0.0621085790275967,0.2513206720107217,0.15348706676055196,0.09728404289172124,1,-0.6372828345942388,-0.5958737918567404,-0.5478350222437784,-0.5500685672967026,-0.5820047153525209,-0.5826129862687962,0.032965610148250966,1,-0.812932786111027,-0.7475332708262082,-0.7105280980669225,-0.6616710012365911,-0.7729357711068229,-0.7411201854695143,0.051881513954508594,2
