mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__n_estimators,param_model__min_child_weight,param_model__max_depth,param_model__learning_rate,param_model__gamma,param_model__colsample_bytree,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
0.8718863010406495,0.5018747456873565,0.011830759048461915,0.006862092692709417,0.7,1.0,0.0,600,3,7,0.05,0.1,0.7,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 600, 'model__min_child_weight': 3, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__gamma': 0.1, 'model__colsample_bytree': 0.7}",0.4473684210526316,0.6052631578947368,0.631578947368421,0.42105263157894735,0.2894736842105263,0.47894736842105257,0.12609630053379936,5,0.4414864913479872,0.613428123123414,0.6,0.39488112094593236,0.2553733031674208,0.46103380771695085,0.1338582449023399,6
1.729546880722046,1.0149866809289143,0.007367086410522461,0.007228431542269025,1.0,2.0,1.0,600,3,4,0.02,0.0,0.7,"{'model__subsample': 1.0, 'model__reg_lambda': 2.0, 'model__reg_alpha': 1.0, 'model__n_estimators': 600, 'model__min_child_weight': 3, 'model__max_depth': 4, 'model__learning_rate': 0.02, 'model__gamma': 0.0, 'model__colsample_bytree': 0.7}",0.47368421052631576,0.5263157894736842,0.5789473684210527,0.4473684210526316,0.3157894736842105,0.46842105263157896,0.08869631340185641,8,0.47559808612440196,0.5355434039644567,0.5535016691526387,0.4204476709013914,0.2908989874934147,0.4551979635272607,0.0945906017573207,8
0.939631462097168,0.5613869413326736,0.003153371810913086,0.006306743621826172,1.0,2.0,0.01,400,3,4,0.03,0.3,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 400, 'model__min_child_weight': 3, 'model__max_depth': 4, 'model__learning_rate': 0.03, 'model__gamma': 0.3, 'model__colsample_bytree': 1.0}",0.5526315789473685,0.5526315789473685,0.5526315789473685,0.42105263157894735,0.3157894736842105,0.4789473684210527,0.09618772043419511,4,0.5483445455744624,0.5630553656869446,0.5280630726614106,0.408975336892957,0.2851359167148641,0.46671484750612774,0.10584258781126436,4
0.4576852798461914,0.27088612811817175,0.00536036491394043,0.006841200297218644,0.85,5.0,0.01,200,3,7,0.1,0.3,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 200, 'model__min_child_weight': 3, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__gamma': 0.3, 'model__colsample_bytree': 0.85}",0.5,0.6052631578947368,0.6052631578947368,0.42105263157894735,0.34210526315789475,0.4947368421052631,0.1031364102224496,2,0.49625858905637293,0.613428123123414,0.566957935378988,0.3778268251273345,0.3173672302929269,0.4743677405958072,0.11167743908228801,3
0.5494204521179199,0.3373891992819546,0.007469558715820312,0.007147125924664346,0.85,0.5,0.1,400,8,5,0.05,0.0,0.7,"{'model__subsample': 0.85, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.1, 'model__n_estimators': 400, 'model__min_child_weight': 8, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__gamma': 0.0, 'model__colsample_bytree': 0.7}",0.4473684210526316,0.5789473684210527,0.631578947368421,0.4473684210526316,0.2631578947368421,0.47368421052631576,0.12784166106832756,7,0.4473684210526316,0.5892806703700216,0.5951534241007925,0.4191426146010187,0.2285861713106295,0.45590626028701886,0.13437067320685753,7
0.5423958778381348,0.3215023294207146,0.008207178115844727,0.010098563152381715,0.7,2.0,0.01,200,1,7,0.1,0.3,1.0,"{'model__subsample': 0.7, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 200, 'model__min_child_weight': 1, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__gamma': 0.3, 'model__colsample_bytree': 1.0}",0.5,0.5263157894736842,0.5263157894736842,0.42105263157894735,0.2894736842105263,0.45263157894736833,0.09024435894464339,10,0.4944444444444445,0.538960620645862,0.4917678812415654,0.408975336892957,0.24376120972230814,0.4355818985894274,0.1047013943822203,10
0.4252602577209473,0.22885585876955586,0.012327194213867188,0.004681512902863375,0.7,2.0,1.0,200,5,3,0.02,0.1,0.85,"{'model__subsample': 0.7, 'model__reg_lambda': 2.0, 'model__reg_alpha': 1.0, 'model__n_estimators': 200, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.02, 'model__gamma': 0.1, 'model__colsample_bytree': 0.85}",0.42105263157894735,0.631578947368421,0.5789473684210527,0.47368421052631576,0.2894736842105263,0.47894736842105257,0.12047919097115364,5,0.4214285714285714,0.6451652386780906,0.5496342206868523,0.4581222276653,0.2472062509214212,0.4643113018760471,0.13341662811765292,5
0.44227919578552244,0.21994501946180073,0.0020709514617919924,0.0026554236619294,0.85,2.0,0.01,400,5,3,0.1,0.1,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 400, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__gamma': 0.1, 'model__colsample_bytree': 0.85}",0.3684210526315789,0.6052631578947368,0.631578947368421,0.5,0.3684210526315789,0.4947368421052631,0.11214355659296062,2,0.3642552326762853,0.606246677299309,0.6060139086454877,0.4754990925589837,0.349836080099238,0.4803701982558607,0.11151394427786276,2
0.76868896484375,0.41245118079059157,0.01072521209716797,0.009065742703633178,1.0,5.0,0.01,400,5,3,0.05,0.0,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 400, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__gamma': 0.0, 'model__colsample_bytree': 1.0}",0.47368421052631576,0.5789473684210527,0.631578947368421,0.5,0.3157894736842105,0.5,0.10786263964168,1,0.47218045112781953,0.585916161400926,0.6189415847310585,0.4754990925589837,0.28776196713503216,0.488059851390764,0.11596124868543663,1
0.34391155242919924,0.22841498486452083,0.0049397945404052734,0.0057451168627430755,0.7,1.0,1.0,200,8,7,0.05,0.1,0.7,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 1.0, 'model__n_estimators': 200, 'model__min_child_weight': 8, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__gamma': 0.1, 'model__colsample_bytree': 0.7}",0.42105263157894735,0.6052631578947368,0.5789473684210527,0.42105263157894735,0.23684210526315788,0.4526315789473684,0.13252292960014916,9,0.4282682512733446,0.618421052631579,0.5577910292973813,0.39488112094593236,0.20241486068111456,0.4403552629658704,0.14444944662176992,9
