mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__weight_decay,param_model__patience,param_model__learning_rate,param_model__hidden_layers,param_model__epochs,param_model__dropout,param_model__batch_size,param_model__batch_norm,param_model__activation,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
1.2273273944854737,0.49523625844872715,0.007520341873168945,0.0014858308254546717,0.0,10,0.0005,"(256, 128, 64)",100,0.0,128,False,gelu,"{'model__weight_decay': 0.0, 'model__patience': 10, 'model__learning_rate': 0.0005, 'model__hidden_layers': (256, 128, 64), 'model__epochs': 100, 'model__dropout': 0.0, 'model__batch_size': 128, 'model__batch_norm': False, 'model__activation': 'gelu'}",0.5,0.6052631578947368,0.5526315789473685,0.5526315789473685,0.39473684210526316,0.5210526315789474,0.0713929471907923,1,0.47977547886933974,0.606246677299309,0.5217391304347826,0.5169071873231467,0.371885080863409,0.4993107109579974,0.07598274458823744,1
1.8747145175933837,0.8166497112407219,0.004986286163330078,0.004412513792711333,0.0,14,0.0005,"(128, 64, 32)",100,0.1,32,False,relu,"{'model__weight_decay': 0.0, 'model__patience': 14, 'model__learning_rate': 0.0005, 'model__hidden_layers': (128, 64, 32), 'model__epochs': 100, 'model__dropout': 0.1, 'model__batch_size': 32, 'model__batch_norm': False, 'model__activation': 'relu'}",0.47368421052631576,0.5263157894736842,0.5789473684210527,0.4473684210526316,0.23684210526315788,0.4526315789473684,0.11697953037312037,8,0.45535904538674626,0.5310391363022942,0.5291399229781772,0.4317393133182607,0.20982142857142858,0.4314197693113814,0.11760294416248043,8
1.2057217597961425,0.46618797587940985,0.0030878543853759765,0.002970426390354892,0.01,10,0.0003,"(64, 32)",100,0.3,128,True,relu,"{'model__weight_decay': 0.01, 'model__patience': 10, 'model__learning_rate': 0.0003, 'model__hidden_layers': (64, 32), 'model__epochs': 100, 'model__dropout': 0.3, 'model__batch_size': 128, 'model__batch_norm': True, 'model__activation': 'relu'}",0.5263157894736842,0.5,0.47368421052631576,0.47368421052631576,0.34210526315789475,0.46315789473684205,0.06359497880839247,7,0.5439728353140917,0.5133414932680539,0.49059299833293646,0.43612287423539686,0.29726700117433547,0.4562594404649628,0.08696536165065845,6
1.597172737121582,0.7311708857064639,0.006596565246582031,0.0012641453544209248,0.0,18,0.0005,"(64, 32)",80,0.1,32,True,relu,"{'model__weight_decay': 0.0, 'model__patience': 18, 'model__learning_rate': 0.0005, 'model__hidden_layers': (64, 32), 'model__epochs': 80, 'model__dropout': 0.1, 'model__batch_size': 32, 'model__batch_norm': True, 'model__activation': 'relu'}",0.5789473684210527,0.5526315789473685,0.6052631578947368,0.5,0.3157894736842105,0.5105263157894737,0.10340464581257107,2,0.5863522442469811,0.5574162679425837,0.5817923186344239,0.4752854358117516,0.26026604973973394,0.4922224632750948,0.1226572847420083,2
0.9871068000793457,0.46297651574287857,0.007040500640869141,0.003768028952364009,0.0,14,0.002,"(64, 32)",80,0.3,128,False,gelu,"{'model__weight_decay': 0.0, 'model__patience': 14, 'model__learning_rate': 0.002, 'model__hidden_layers': (64, 32), 'model__epochs': 80, 'model__dropout': 0.3, 'model__batch_size': 128, 'model__batch_norm': False, 'model__activation': 'gelu'}",0.5263157894736842,0.5263157894736842,0.631578947368421,0.5,0.2631578947368421,0.4894736842105263,0.12185091476621289,3,0.5263157894736842,0.5263157894736842,0.5813666436259504,0.47196969696969704,0.22576804000952608,0.46634719191050833,0.1251653950202257,4
1.5112120151519775,0.5579033853258464,0.008104610443115234,0.00348270175360215,0.0001,10,0.0003,"(128, 64, 32)",100,0.1,128,True,gelu,"{'model__weight_decay': 0.0001, 'model__patience': 10, 'model__learning_rate': 0.0003, 'model__hidden_layers': (128, 64, 32), 'model__epochs': 100, 'model__dropout': 0.1, 'model__batch_size': 128, 'model__batch_norm': True, 'model__activation': 'gelu'}",0.6052631578947368,0.5263157894736842,0.6052631578947368,0.4473684210526316,0.2631578947368421,0.4894736842105263,0.12740756249379162,3,0.5731078053814593,0.5374446850579042,0.5853725222146275,0.4320513766885657,0.2481203007518797,0.47521933801888727,0.12571818918374375,3
1.0646838665008544,0.5705762686905574,0.010990524291992187,0.004170261015803437,0.001,10,0.0003,"(256, 128, 64)",80,0.1,128,False,gelu,"{'model__weight_decay': 0.001, 'model__patience': 10, 'model__learning_rate': 0.0003, 'model__hidden_layers': (256, 128, 64), 'model__epochs': 80, 'model__dropout': 0.1, 'model__batch_size': 128, 'model__batch_norm': False, 'model__activation': 'gelu'}",0.5263157894736842,0.6052631578947368,0.42105263157894735,0.5263157894736842,0.2631578947368421,0.46842105263157896,0.11815760168759815,6,0.5316670053512159,0.6095336380166102,0.30372807017543857,0.5034360093782845,0.21876914508493456,0.4334267736012968,0.1472859226628034,7
0.826238489151001,0.2955201846745969,0.006020116806030274,0.00015533459151418968,0.0,14,0.0003,"(64, 32)",100,0.3,32,False,relu,"{'model__weight_decay': 0.0, 'model__patience': 14, 'model__learning_rate': 0.0003, 'model__hidden_layers': (64, 32), 'model__epochs': 100, 'model__dropout': 0.3, 'model__batch_size': 32, 'model__batch_norm': False, 'model__activation': 'relu'}",0.47368421052631576,0.5789473684210527,0.3684210526315789,0.3157894736842105,0.23684210526315788,0.39473684210526316,0.12001846579990927,10,0.48101040076472007,0.5789473684210527,0.3591671486408329,0.3062068965517241,0.19706371191135733,0.3844791052579374,0.13343759579420258,10
1.1358829498291017,0.5956602059357494,0.006573963165283203,0.0013327089770846297,0.01,10,0.002,"(64, 32)",100,0.1,32,False,relu,"{'model__weight_decay': 0.01, 'model__patience': 10, 'model__learning_rate': 0.002, 'model__hidden_layers': (64, 32), 'model__epochs': 100, 'model__dropout': 0.1, 'model__batch_size': 32, 'model__batch_norm': False, 'model__activation': 'relu'}",0.42105263157894735,0.47368421052631576,0.6052631578947368,0.5789473684210527,0.3157894736842105,0.4789473684210527,0.1057881644328515,5,0.4246657834517644,0.48702570379436966,0.5734072022160666,0.5556046856954298,0.260233918128655,0.4601874586572571,0.11303685835031364,5
0.8130098819732666,0.5465142646315178,0.005408859252929688,0.004448349556921912,0.001,10,0.001,"(64, 32)",80,0.1,64,False,relu,"{'model__weight_decay': 0.001, 'model__patience': 10, 'model__learning_rate': 0.001, 'model__hidden_layers': (64, 32), 'model__epochs': 80, 'model__dropout': 0.1, 'model__batch_size': 64, 'model__batch_norm': False, 'model__activation': 'relu'}",0.5,0.5526315789473685,0.42105263157894735,0.3684210526315789,0.2894736842105263,0.42631578947368426,0.09326339550878607,9,0.5021929824561403,0.5532269587997142,0.438693314252113,0.3482356459330143,0.24122807017543857,0.416715394323284,0.11127455337980593,9
