mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__n_estimators,param_model__min_child_weight,param_model__max_depth,param_model__learning_rate,param_model__gamma,param_model__colsample_bytree,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
0.19384803771972656,0.06313514920848466,0.00443115234375,0.004171832732981378,0.7,1.0,0.0,600,3,7,0.05,0.1,0.7,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 600, 'model__min_child_weight': 3, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__gamma': 0.1, 'model__colsample_bytree': 0.7}",0.5263157894736842,0.47368421052631576,0.5526315789473685,0.5,0.42105263157894735,0.4947368421052632,0.04527539614232963,11,0.5020807833537331,0.49044063647490826,0.5000780112336176,0.4827639273622653,0.4161000587593385,0.47829268343677256,0.03186208265133174,9
0.24669294357299804,0.07742545778474584,0.005908393859863281,0.005465795712467858,1.0,2.0,1.0,600,3,4,0.02,0.0,0.7,"{'model__subsample': 1.0, 'model__reg_lambda': 2.0, 'model__reg_alpha': 1.0, 'model__n_estimators': 600, 'model__min_child_weight': 3, 'model__max_depth': 4, 'model__learning_rate': 0.02, 'model__gamma': 0.0, 'model__colsample_bytree': 0.7}",0.5526315789473685,0.39473684210526316,0.5526315789473685,0.5789473684210527,0.4473684210526316,0.5052631578947369,0.07139294719079231,6,0.5269371998870164,0.4152008004095118,0.5068468272129599,0.5571714373653431,0.4033240997229917,0.4818960729195646,0.061545817238778215,6
0.12307915687561036,0.041972108303551456,0.004997444152832031,0.0037991005804003195,1.0,2.0,0.01,400,3,4,0.03,0.3,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 400, 'model__min_child_weight': 3, 'model__max_depth': 4, 'model__learning_rate': 0.03, 'model__gamma': 0.3, 'model__colsample_bytree': 1.0}",0.5,0.42105263157894735,0.5789473684210527,0.5263157894736842,0.42105263157894735,0.4894736842105263,0.0613784409983716,14,0.470192549832439,0.4375573079039061,0.541581225791752,0.5153074072741662,0.39058537942977306,0.4710447740464073,0.0539081117864645,12
0.07649831771850586,0.024998255926230062,0.006338691711425782,0.005782673386617558,0.85,5.0,0.01,200,3,7,0.1,0.3,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 200, 'model__min_child_weight': 3, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__gamma': 0.3, 'model__colsample_bytree': 0.85}",0.5789473684210527,0.47368421052631576,0.5263157894736842,0.5526315789473685,0.42105263157894735,0.5105263157894737,0.056685945338257965,4,0.5694113332110764,0.49044063647490826,0.46904939654099786,0.5318979266347688,0.39058537942977306,0.49027693445830484,0.06063596517596409,3
0.10626034736633301,0.04203849362241413,0.00561833381652832,0.003139304808375525,0.85,0.5,0.1,400,8,5,0.05,0.0,0.7,"{'model__subsample': 0.85, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.1, 'model__n_estimators': 400, 'model__min_child_weight': 8, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__gamma': 0.0, 'model__colsample_bytree': 0.7}",0.4473684210526316,0.5,0.5526315789473685,0.5526315789473685,0.4473684210526316,0.5,0.047075115315785065,8,0.3625367767244198,0.5113636363636364,0.5000780112336176,0.5458126403638657,0.42665487247530587,0.469289187432169,0.0660118349636031,13
0.0797027587890625,0.026730744445354532,0.003937768936157227,0.007875537872314452,0.7,2.0,0.01,200,1,7,0.1,0.3,1.0,"{'model__subsample': 0.7, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 200, 'model__min_child_weight': 1, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__gamma': 0.3, 'model__colsample_bytree': 1.0}",0.5526315789473685,0.4473684210526316,0.5526315789473685,0.5,0.47368421052631576,0.5052631578947369,0.042105263157894764,6,0.5236639416255658,0.4688162714478505,0.5047619047619047,0.47360814233879245,0.4401153193722854,0.48219311590927977,0.029162861026397525,5
0.06815176010131836,0.02199681920334675,0.0016875267028808594,0.002074001183219951,0.7,2.0,1.0,200,5,3,0.02,0.1,0.85,"{'model__subsample': 0.7, 'model__reg_lambda': 2.0, 'model__reg_alpha': 1.0, 'model__n_estimators': 200, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.02, 'model__gamma': 0.1, 'model__colsample_bytree': 0.85}",0.47368421052631576,0.5789473684210527,0.5263157894736842,0.6052631578947368,0.39473684210526316,0.5157894736842106,0.07554052681267014,1,0.33025940920677765,0.5644736842105263,0.4651855703087506,0.5806885635140483,0.35409846386300675,0.4589411382206219,0.10348866653816964,14
0.11662616729736328,0.03782311230430436,0.006525182723999023,0.004249254548963741,0.85,2.0,0.01,400,5,3,0.1,0.1,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 400, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__gamma': 0.1, 'model__colsample_bytree': 0.85}",0.5263157894736842,0.5,0.5526315789473685,0.5,0.39473684210526316,0.4947368421052632,0.05367388961676616,11,0.49145591250854403,0.5113636363636364,0.5068468272129599,0.47936602870813394,0.38223604508646764,0.4742536899759483,0.04738936622118484,11
0.13276023864746095,0.04487031959075024,0.0070343017578125,0.004171756904600332,1.0,5.0,0.01,400,5,3,0.05,0.0,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 400, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__gamma': 0.0, 'model__colsample_bytree': 1.0}",0.6052631578947368,0.47368421052631576,0.5263157894736842,0.47368421052631576,0.42105263157894735,0.5,0.062274524032627544,8,0.5804198378443047,0.48703489492963176,0.4667048054919909,0.43980240456212993,0.39944272445820433,0.4746809334572523,0.06045536329164814,10
0.0573613166809082,0.015794838326380883,0.005830192565917968,0.0036408569669035174,0.7,1.0,1.0,200,8,7,0.05,0.1,0.7,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 1.0, 'model__n_estimators': 200, 'model__min_child_weight': 8, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__gamma': 0.1, 'model__colsample_bytree': 0.7}",0.4473684210526316,0.5263157894736842,0.5,0.5526315789473685,0.34210526315789475,0.47368421052631576,0.0744322927564787,15,0.27655502392344494,0.5192369220924651,0.44588620761389636,0.5373471557682085,0.317614154738936,0.41932789282739014,0.10520977259653452,15
