mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__random_strength,param_model__learning_rate,param_model__l2_leaf_reg,param_model__iterations,param_model__depth,param_model__bagging_temperature,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse
0.5906633377075196,0.09875446408410164,0.005776357650756836,0.0014993347154960359,1.0,0.05,3,600,4,0.5,"{'model__random_strength': 1.0, 'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 600, 'model__depth': 4, 'model__bagging_temperature': 0.5}",0.07075847848372818,0.22974760552213058,-0.005337932826247949,-0.07806033938299706,0.17941323012499233,0.07930420838432121,0.11371539424237617,2,-0.6001099102641033,-0.6441005070393919,-0.729342351538692,-0.6287055849952906,-0.6327815828346205,-0.6470079873344197,0.043644470714756814,3,-0.7435527520232478,-0.8186116438996465,-0.8715204749327847,-0.7654649587331284,-0.849060298232772,-0.8096420255643156,0.04854400494496874,2
5.949007272720337,2.235903234907249,0.008764266967773438,0.0029529065131926116,0.5,0.1,5,200,10,0.5,"{'model__random_strength': 0.5, 'model__learning_rate': 0.1, 'model__l2_leaf_reg': 5, 'model__iterations': 200, 'model__depth': 10, 'model__bagging_temperature': 0.5}",0.021210944218295835,0.13096699629361197,0.10660364901121133,-0.08120526957534246,0.12417931803104432,0.0603511275957642,0.08095690468189405,6,-0.608459383227157,-0.6719893264590907,-0.6914992450061,-0.6396505659059243,-0.6763891056262427,-0.657597525244903,0.029820209216754046,7,-0.7631185913151546,-0.8695198969830555,-0.8215682494279092,-0.766580657294981,-0.877170215818012,-0.8195915221678225,0.04860329153148048,6
1.1560802459716797,0.483310159764729,0.008571100234985352,0.002176200899977968,1.0,0.02,10,200,8,0.5,"{'model__random_strength': 1.0, 'model__learning_rate': 0.02, 'model__l2_leaf_reg': 10, 'model__iterations': 200, 'model__depth': 8, 'model__bagging_temperature': 0.5}",0.027237106989005833,0.08852805062645364,0.0853893775272273,-0.07903009423155383,0.14439955253941406,0.0533047986901094,0.07584246869690316,7,-0.6002514839089433,-0.6802208798665611,-0.7013725447056224,-0.63661619130702,-0.6605697357313912,-0.6558061671039076,0.035070336608226775,6,-0.7607657978706355,-0.8904981941185004,-0.8312653546500047,-0.7658091632588547,-0.8669853920986055,-0.8230647803993202,0.05235055635644655,7
1.1195123195648193,0.4339799351625063,0.007862091064453125,0.0027964029259964092,0.0,0.03,3,200,8,0.5,"{'model__random_strength': 0.0, 'model__learning_rate': 0.03, 'model__l2_leaf_reg': 3, 'model__iterations': 200, 'model__depth': 8, 'model__bagging_temperature': 0.5}",0.06345731964853951,0.18417813495642588,0.04345962479420851,-0.0733368521090767,0.15225214127312436,0.0740020737126443,0.09057000566514227,3,-0.5856369735152871,-0.6556690183921742,-0.7000874509075604,-0.6243401353473476,-0.6596195153993262,-0.6450706187123391,0.038243847655105384,1,-0.7464681268938426,-0.8424789521286347,-0.8501062575107876,-0.7637861875927209,-0.862997682206959,-0.8131674412665889,0.04815392087652094,3
0.4213266372680664,0.09561172270112359,0.0075686931610107425,0.0009632530958615238,0.0,0.05,3,200,6,1.0,"{'model__random_strength': 0.0, 'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 200, 'model__depth': 6, 'model__bagging_temperature': 1.0}",-0.07664986894462933,0.21163011438979507,0.02708320518914331,-0.037269368303576966,0.09610856191707584,0.044180528849561584,0.10223724719451828,9,-0.6362897975310519,-0.6863845594136029,-0.6943880918685068,-0.6118919912322186,-0.6736524551061506,-0.6605213790303062,0.031433327525050514,9,-0.8003588060427648,-0.8281831734453354,-0.8573524832470544,-0.7508437262825445,-0.8911163557721756,-0.8255709089579749,0.04802686738093942,9
2.151034927368164,0.8895971550392501,0.00772247314453125,0.003228243874519328,0.5,0.1,7,400,8,0.0,"{'model__random_strength': 0.5, 'model__learning_rate': 0.1, 'model__l2_leaf_reg': 7, 'model__iterations': 400, 'model__depth': 8, 'model__bagging_temperature': 0.0}",0.04749246740274382,0.1593296912330162,0.0738992040369073,-0.09429731613145265,0.16463033601126376,0.07021087651049569,0.09428666161087026,4,-0.592740429468515,-0.6867817506954161,-0.6905133017845844,-0.6476044820301838,-0.6545459589535609,-0.654437184586452,0.035216031681717316,5,-0.7528036067420325,-0.8552129011684556,-0.8364706144487937,-0.771207859595863,-0.8566740834248667,-0.8144738130760022,0.04381678323787801,4
3.4490610122680665,1.2830701907392954,0.0064678192138671875,0.0016872223498495581,1.0,0.02,7,600,8,0.5,"{'model__random_strength': 1.0, 'model__learning_rate': 0.02, 'model__l2_leaf_reg': 7, 'model__iterations': 600, 'model__depth': 8, 'model__bagging_temperature': 0.5}",0.03261109551012298,0.14127783272114935,0.10586110930763015,-0.06441277144947999,0.19422576146381465,0.08191260551064743,0.09005971448642759,1,-0.5982179314293625,-0.6725617583690289,-0.6819342837489867,-0.6311563585652401,-0.643032182423814,-0.6453805029072864,0.03002381915102175,2,-0.7586614778862762,-0.8643461984248542,-0.8219095986719294,-0.760604373538849,-0.8413621443285954,-0.8093767585701007,0.04278448676228064,1
1.2806243896484375,0.2719085791911508,0.006740951538085937,0.0013143060489614652,0.0,0.05,5,600,6,0.0,"{'model__random_strength': 0.0, 'model__learning_rate': 0.05, 'model__l2_leaf_reg': 5, 'model__iterations': 600, 'model__depth': 6, 'model__bagging_temperature': 0.0}",-0.09463790372895997,0.1953541682976624,-0.04063519881614752,-0.10720332918301567,0.15150091306048952,0.020875729926005747,0.12730821122196123,10,-0.644229113666024,-0.703560921690913,-0.7132130509987992,-0.6277970782542904,-0.6525478036293143,-0.6682695936478682,0.03384829701809264,10,-0.8070170734816934,-0.8366884466968499,-0.8866879687317758,-0.7757422962499679,-0.8633799684252847,-0.8339031507171143,0.03941680811581266,10
0.21219453811645508,0.037238647144316045,0.0052945613861083984,0.00262453222942516,0.0,0.05,7,200,4,1.0,"{'model__random_strength': 0.0, 'model__learning_rate': 0.05, 'model__l2_leaf_reg': 7, 'model__iterations': 200, 'model__depth': 4, 'model__bagging_temperature': 1.0}",-0.015281866167543567,0.20872500161990748,0.0229202552199812,0.000389937742239832,0.1090048468992848,0.06515163506277395,0.08364631584996095,5,-0.6341690382445829,-0.6842508365703637,-0.7004753107633869,-0.595276908916803,-0.6506029690816618,-0.6529550127153596,0.03720971894869767,4,-0.7772143247408453,-0.8297076819017345,-0.8591847600385512,-0.7370875734206391,-0.8847365097321674,-0.8175861699667875,0.053845058846658654,5
17.159048748016357,6.631764638111915,0.005933094024658203,0.00048405809811981484,1.0,0.1,5,600,10,1.0,"{'model__random_strength': 1.0, 'model__learning_rate': 0.1, 'model__l2_leaf_reg': 5, 'model__iterations': 600, 'model__depth': 10, 'model__bagging_temperature': 1.0}",-0.006897097384366724,0.09763016782231893,0.09369006545485903,-0.07705655329802785,0.13581153603713503,0.04863562372638368,0.0786287660299274,8,-0.6193289349887288,-0.6806764469592487,-0.6985528023001916,-0.627171699601116,-0.6756293827673394,-0.6602718533233248,0.03127163233612116,8,-0.7739983345587181,-0.886040703060071,-0.8274846193070199,-0.7651085120734225,-0.8713256739466605,-0.8247915685891785,0.04912464109865764,8
