mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__num_leaves,param_model__n_estimators,param_model__min_child_samples,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse
0.09954557418823243,0.04911803086274549,0.003725004196166992,0.0025676790477007338,0.7,0.1,0.0,31,400,10,10,0.03,0.7,"{'model__subsample': 0.7, 'model__reg_lambda': 0.1, 'model__reg_alpha': 0.0, 'model__num_leaves': 31, 'model__n_estimators': 400, 'model__min_child_samples': 10, 'model__max_depth': 10, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.7}",-0.22071614085351232,0.26401271918053193,0.08326633020745677,-0.09779232595323384,0.3431236785440862,0.07437885222506575,0.21212625578648261,6,-0.7031413331400304,-0.5706815643314794,-0.601533188008769,-0.5701714224533587,-0.5728730587656643,-0.6036801133398604,0.05110372735063097,6,-0.9038845054004662,-0.7340236601047166,-0.7628686474019594,-0.7158564049235622,-0.7239978713370564,-0.7681262178335522,0.06971425025022185,5
0.05575032234191894,0.02986276758628984,0.003873729705810547,0.0005419130760258187,1.0,1.0,1.0,31,400,20,-1,0.02,0.7,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 1.0, 'model__num_leaves': 31, 'model__n_estimators': 400, 'model__min_child_samples': 20, 'model__max_depth': -1, 'model__learning_rate': 0.02, 'model__colsample_bytree': 0.7}",-2.775726797343836e-05,0.11043381409226605,0.2210304932971936,-0.09379646711559309,0.29460707252036633,0.10644943110525189,0.14140990385532404,2,-0.6629804725551406,-0.6520449286254617,-0.5387400851836054,-0.5593039340795534,-0.576873347722387,-0.5979885536332296,0.05019715913624821,3,-0.8181098573672081,-0.8069823526542028,-0.703215450129498,-0.7145523928743105,-0.7502586931872323,-0.7586237492424902,0.04681770991684758,2
0.0634317398071289,0.039445474352848314,0.002464914321899414,0.0020136307319497037,1.0,1.0,0.01,15,400,20,10,0.02,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 15, 'model__n_estimators': 400, 'model__min_child_samples': 20, 'model__max_depth': 10, 'model__learning_rate': 0.02, 'model__colsample_bytree': 1.0}",-2.775726797343836e-05,0.0664926803664535,0.20425675352999528,-0.11939280605340752,0.239472596012979,0.07816029331760936,0.13205961365718355,5,-0.6629804725551406,-0.6729369893339044,-0.5550417065455192,-0.5694651188345307,-0.5926112780704358,-0.6106071130679062,0.04843967470590022,7,-0.8181098573672081,-0.8266730283414452,-0.7107463793500384,-0.722864797159589,-0.7790277346844922,-0.7714843593805545,0.047601665525273354,6
0.02534928321838379,0.017377326364708772,0.0051349163055419925,0.0010009861959634945,0.85,5.0,0.01,127,200,40,4,0.05,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 127, 'model__n_estimators': 200, 'model__min_child_samples': 40, 'model__max_depth': 4, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.85}",-2.775726797343836e-05,-0.012359914644656245,0.17515684661170872,0.04904668950965918,0.2846224411266618,0.09928766106708001,0.1139807025064743,4,-0.6629804725551406,-0.6497628906544426,-0.5579614204729982,-0.5242611160073691,-0.5742231725915485,-0.5938378144562998,0.05370491244666959,2,-0.8181098573672081,-0.8608795169490723,-0.7236254993067469,-0.6662625721335022,-0.7555498817901233,-0.7648854655093305,0.06864940907639829,4
0.08564167022705078,0.049704445720820487,0.005409431457519531,0.002814972744328999,0.85,0.0,0.1,63,600,20,8,0.02,0.7,"{'model__subsample': 0.85, 'model__reg_lambda': 0.0, 'model__reg_alpha': 0.1, 'model__num_leaves': 63, 'model__n_estimators': 600, 'model__min_child_samples': 20, 'model__max_depth': 8, 'model__learning_rate': 0.02, 'model__colsample_bytree': 0.7}",-2.775726797343836e-05,0.027333430028136263,0.1511254452527767,-0.20065684858004262,0.2867987466818628,0.05291460322295194,0.1625441067400281,7,-0.6629804725551406,-0.6780959018420759,-0.5668284439765616,-0.5769288056523866,-0.5845567493607018,-0.6138780746773733,0.046847905293602755,8,-0.8181098573672081,-0.8438337651966922,-0.7340910566380033,-0.7486438667459077,-0.7543997479487815,-0.7798156587793186,0.043065419950713335,7
0.021560525894165038,0.012338977991811568,0.003695821762084961,0.0019095574618731332,0.7,1.0,0.01,15,200,40,6,0.03,1.0,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 15, 'model__n_estimators': 200, 'model__min_child_samples': 40, 'model__max_depth': 6, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",-2.775726797343836e-05,-0.012359914644656245,0.24792935304672026,0.10209439251778163,0.26542949435198104,0.12061311360077065,0.11811875207249316,1,-0.6629804725551406,-0.6497628906544426,-0.5331051909473435,-0.5154159953190831,-0.5730716705477448,-0.586867244004751,0.059891640589556414,1,-0.8181098573672081,-0.8608795169490723,-0.6909672995707099,-0.6474126212040505,-0.7656181653003,-0.7565974920782681,0.07870011758107151,1
0.06373786926269531,0.035184088850920434,0.0032301425933837892,0.0011823596271909101,0.7,1.0,1.0,63,400,20,4,0.02,0.85,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 1.0, 'model__num_leaves': 63, 'model__n_estimators': 400, 'model__min_child_samples': 20, 'model__max_depth': 4, 'model__learning_rate': 0.02, 'model__colsample_bytree': 0.85}",-2.775726797343836e-05,0.09454067511798392,0.19720447585149226,-0.04558875719584221,0.26109171731571634,0.10144407076427538,0.11542986397417848,3,-0.6629804725551406,-0.6584033344311516,-0.5504505955970471,-0.5454449345664847,-0.5733556212279677,-0.5981269916755584,0.05196396858654783,4,-0.8181098573672081,-0.8141592796881577,-0.713888928298929,-0.6986284578554008,-0.7678753975140098,-0.7625323841447411,0.04946238420643706,3
0.0672574520111084,0.03644435431316262,0.002569723129272461,0.0014869886950425247,0.7,1.0,1.0,63,600,20,-1,0.05,1.0,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 1.0, 'model__num_leaves': 63, 'model__n_estimators': 600, 'model__min_child_samples': 20, 'model__max_depth': -1, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",-2.775726797343836e-05,0.018774148715526184,0.16248947543837045,-0.25889418102182593,0.22298453851681987,0.02906524487618343,0.16690096353505812,10,-0.6629804725551406,-0.6795707013178142,-0.5573320602422173,-0.5975157639250493,-0.5922977818098684,-0.6179393559700179,0.04598909141411857,9,-0.8181098573672081,-0.8475384215140921,-0.7291607986455916,-0.7665852043877818,-0.7874270252983819,-0.7897642614426111,0.04088236158056501,10
0.06045265197753906,0.03946488018338655,0.004449081420898437,0.002836764242500119,0.85,1.0,0.01,127,400,20,-1,0.03,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 127, 'model__n_estimators': 400, 'model__min_child_samples': 20, 'model__max_depth': -1, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.85}",-2.775726797343836e-05,0.03183008910812868,0.13047313434688013,-0.21825739931215593,0.23848095221584653,0.036499803818145195,0.15223972718043324,9,-0.6629804725551406,-0.6781027759812908,-0.5738291257437608,-0.5879130722815024,-0.6001773417814499,-0.6206005576686289,0.04189441153441711,10,-0.8181098573672081,-0.8418809745474691,-0.7429672624167262,-0.7541111266146397,-0.7795354523297241,-0.7873209346551534,0.0375646350733802,9
0.03433084487915039,0.024332025941743777,0.004844284057617188,0.003079680871787445,1.0,5.0,0.01,127,400,40,10,0.05,0.85,"{'model__subsample': 1.0, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 127, 'model__n_estimators': 400, 'model__min_child_samples': 40, 'model__max_depth': 10, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.85}",-2.775726797343836e-05,-0.012359914644656245,0.03241404076291754,-0.032936314870701144,0.2741949711348828,0.0522570050228939,0.11297534993278541,8,-0.6629804725551406,-0.6497628906544426,-0.6079769625661623,-0.5295953870120405,-0.5623274259953955,-0.6025286277566363,0.050696310934416886,5,-0.8181098573672081,-0.8608795169490723,-0.7837416991430449,-0.6943886168962734,-0.7610364751740838,-0.7836312331059364,0.05591216812885942,8
