mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__l1_ratio,param_model__C,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
0.049289703369140625,0.018020301550209627,0.0010905265808105469,0.0017672665846539925,0.05,0.05,"{'model__l1_ratio': 0.05, 'model__C': 0.05}",0.47368421052631576,0.6578947368421053,0.5526315789473685,0.47368421052631576,0.23684210526315788,0.4789473684210527,0.13865199865599465,7,0.49021592442645073,0.6676820570397842,0.5563454089769879,0.4691838291380625,0.21851503759398497,0.480388451435054,0.14808657046635798,6
0.055002021789550784,0.02266101944307996,0.003542041778564453,0.0030414788938782668,0.9,0.05,"{'model__l1_ratio': 0.9, 'model__C': 0.05}",0.5,0.7105263157894737,0.5789473684210527,0.5263157894736842,0.42105263157894735,0.5473684210526316,0.09618772043419509,1,0.4331983805668016,0.655103668261563,0.5587281987961106,0.4990876594726373,0.39727175885741345,0.5086779331909052,0.0918106713536989,1
0.5148632049560546,0.28207208326772476,0.004082727432250977,0.006203720879660782,0.9,1.0,"{'model__l1_ratio': 0.9, 'model__C': 1.0}",0.42105263157894735,0.6052631578947368,0.5789473684210527,0.6052631578947368,0.34210526315789475,0.5105263157894736,0.1086303549502647,2,0.42105263157894735,0.6163579680909591,0.5845408976987926,0.612027290448343,0.28667614983404455,0.5041309875302173,0.13030033051956097,2
0.10028033256530762,0.04996388250825965,0.004646825790405274,0.006281803334182294,0.95,0.1,"{'model__l1_ratio': 0.95, 'model__C': 0.1}",0.5,0.5789473684210527,0.5263157894736842,0.47368421052631576,0.3157894736842105,0.4789473684210527,0.08869631340185641,7,0.5069559864573714,0.593421052631579,0.5186757215619695,0.4441378566032306,0.31172304627266895,0.4749827327053639,0.09440776816927304,7
0.21580309867858888,0.15364911978684673,0.007226991653442383,0.008983484141741004,0.9,0.2,"{'model__l1_ratio': 0.9, 'model__C': 0.2}",0.5263157894736842,0.6052631578947368,0.5263157894736842,0.4473684210526316,0.34210526315789475,0.4894736842105263,0.08900807644888295,5,0.5290498974709501,0.6163579680909591,0.5240059396139252,0.43480644546147973,0.33052745716283116,0.48694954156002906,0.09703497144810502,5
0.8120248794555665,0.5066043705192774,0.003962850570678711,0.007925701141357423,0.1,10.0,"{'model__l1_ratio': 0.1, 'model__C': 10.0}",0.5,0.5789473684210527,0.5263157894736842,0.5263157894736842,0.2894736842105263,0.48421052631578937,0.10069013931425784,6,0.5037813832827683,0.5813788858110188,0.5129672006102212,0.5182349221250823,0.23631578947368423,0.47053563626055495,0.12027144450781523,8
0.37459540367126465,0.23300110161659562,0.010977792739868163,0.00636528263858592,0.1,2.0,"{'model__l1_ratio': 0.1, 'model__C': 2.0}",0.47368421052631576,0.5526315789473685,0.6052631578947368,0.5263157894736842,0.3157894736842105,0.4947368421052632,0.09902572485382516,3,0.4749034749034749,0.5616246634252174,0.6036887089518669,0.5310721247563353,0.27229612492770383,0.48871701939291956,0.11606617636608108,4
0.3339683532714844,0.2307781458490758,0.0019159793853759765,0.002356925668180407,0.9,0.5,"{'model__l1_ratio': 0.9, 'model__C': 0.5}",0.5263157894736842,0.5789473684210527,0.5526315789473685,0.5526315789473685,0.2631578947368421,0.4947368421052632,0.11697953037312038,3,0.5336067441330599,0.5902768284347232,0.5563454089769879,0.5626439836966153,0.22336887971562894,0.4932483689914031,0.13614348821227415,3
0.6502186775207519,0.39099490114893587,0.0064159870147705075,0.007858005933367386,0.3,5.0,"{'model__l1_ratio': 0.3, 'model__C': 5.0}",0.5,0.5789473684210527,0.5,0.47368421052631576,0.2894736842105263,0.46842105263157896,0.09618772043419509,9,0.5037813832827683,0.5813788858110188,0.49054079576932763,0.466480210187304,0.23631578947368423,0.45569941290482063,0.11624674409645844,10
0.11051220893859863,0.050453290062504645,0.001998710632324219,0.0024694837010321834,0.9,0.1,"{'model__l1_ratio': 0.9, 'model__C': 0.1}",0.4473684210526316,0.5789473684210527,0.5,0.5,0.3157894736842105,0.46842105263157896,0.08712076503814133,9,0.447274099226561,0.593421052631579,0.5008488964346349,0.4814804390655784,0.30845614986232184,0.46629612744413496,0.09258563587163901,9
