mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__weights,param_model__p,param_model__n_neighbors,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse
0.009101581573486329,0.002417387882538149,0.011001491546630859,0.002672384348664437,uniform,1,3,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 3}",-0.29906135903043074,0.20176653140871714,-0.403053107829505,-0.4114556936529701,0.03801333688785569,-0.17475805844326658,0.24925414502445134,9,-0.8142803780428906,-0.6740538953720945,-0.9373478977084699,-0.7675510171856043,-0.8349151515501791,-0.8056296679718477,0.08607477442203634,10,-1.0336783243662044,-0.9233769608217582,-1.1503676611420701,-0.9731549056632247,-1.022455364909507,-1.0206066433805527,0.07578586534237784,10
0.009499311447143555,0.0008614719235498101,0.013105535507202148,0.0008851858207481639,distance,1,15,"{'model__weights': 'distance', 'model__p': 1, 'model__n_neighbors': 15}",-0.05709570164217648,0.15715221851412553,0.04998389677578807,-0.2089391320602254,0.05057526985375704,-0.0016646897117462479,0.1238181664655839,3,-0.7218925181341225,-0.7132646256651017,-0.7614831631629729,-0.7788544685712558,-0.7292869986427092,-0.7409563548352325,0.024996209684745398,2,-0.9324546746814567,-0.9488305113035274,-0.9465969325663082,-0.9006386265040291,-1.0157576514164115,-0.9488556792943464,0.0376160964910689,3
0.009796905517578124,0.0008890724066533258,0.015581512451171875,0.005629390553105792,distance,2,11,"{'model__weights': 'distance', 'model__p': 2, 'model__n_neighbors': 11}",-0.07461218638652456,0.13158018309568975,0.037499295681240996,-0.2176788596373922,0.03883437199490758,-0.016875439050415685,0.11979550265599685,5,-0.7281952410417528,-0.7071629534165937,-0.7683687969413001,-0.7812262163082544,-0.7632102426735791,-0.7496326900762961,0.027556434050186464,6,-0.940148500568721,-0.9631167376583365,-0.9527964654089993,-0.9038882365347126,-1.0220189498444812,-0.95639377800305,0.038433170432440024,5
0.0054493904113769535,0.0030717299520686527,0.012904167175292969,0.0037826940625531355,distance,1,3,"{'model__weights': 'distance', 'model__p': 1, 'model__n_neighbors': 3}",-0.30479599351089903,0.21023745872106836,-0.4125564084065072,-0.42095675459713955,0.053910927671018904,-0.1748321540244917,0.25868233174538763,10,-0.8155697128491588,-0.6725637188190977,-0.9344037463641732,-0.7699453716554491,-0.8274062489422698,-0.8039777597260297,0.08499654000013517,9,-1.0359573698358584,-0.9184644121482931,-1.15425697940985,-0.976424755591759,-1.0139717272248767,-1.0198150488421274,0.07813324610684264,9
0.007418298721313476,0.005474747098787019,0.004317426681518554,0.005989871180171678,uniform,1,7,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 7}",-0.02776417634307249,0.22895791912082264,-0.04686751111970877,-0.26543015378149004,0.11360810667074284,0.000500836909458835,0.16658202547959933,2,-0.7265298058613011,-0.6809054069210956,-0.8163187460305931,-0.743101354553164,-0.7474683716492408,-0.7428647370030789,0.04364064491193793,4,-0.9194271310284895,-0.9075135292729906,-0.993677532561028,-0.9214408053787068,-0.9814602619172919,-0.9447038520317014,0.03553211821272911,2
0.0034220218658447266,0.0029540641885195677,0.011820793151855469,0.0028375801679289708,distance,1,5,"{'model__weights': 'distance', 'model__p': 1, 'model__n_neighbors': 5}",-0.12614362303632887,0.28663094509814413,-0.16824877054700482,-0.3677544460777835,0.0890789453786277,-0.057287389836869075,0.2250094784933756,7,-0.7530287443035709,-0.6455960651907352,-0.8533133675759909,-0.7714865803183016,-0.7850519236793645,-0.7616953362135928,0.06721519598611521,7,-0.9624262682933039,-0.8729134814022352,-1.0497050238123415,-0.9579711250581087,-0.9949475860342241,-0.9675926969200426,0.05757455109166529,7
0.005558538436889649,0.006531693873743875,0.010357666015625,0.005581451770367546,distance,2,7,"{'model__weights': 'distance', 'model__p': 2, 'model__n_neighbors': 7}",-0.012563962340603974,0.2059970042866469,0.032415291648682176,-0.14705890118708353,0.15168374693629127,0.04609463586878657,0.12462268836856567,1,-0.7195641706787116,-0.6929683596659844,-0.7820056453954617,-0.7582618735872328,-0.7453464976704186,-0.7396293093995618,0.030839800791496393,1,-0.9126028282829043,-0.9209268564489853,-0.9553095239783217,-0.8772860245715622,-0.9601492044946711,-0.925254887555289,0.03033385171133845,1
0.006341552734375,0.006224524856276018,0.010770606994628906,0.0050631451347583145,distance,2,3,"{'model__weights': 'distance', 'model__p': 2, 'model__n_neighbors': 3}",-0.2578631799014097,0.2660756366255578,-0.32045071582569595,-0.34121172841512704,-0.030537519236375932,-0.13679750135061017,0.22968174809421105,8,-0.7999247509310546,-0.6547447014976439,-0.9143952029941682,-0.7413675798430722,-0.840861728941671,-0.790258792841522,0.08811169715145328,8,-1.0171553305621641,-0.8854004128118834,-1.1159910394321293,-0.9486303661738444,-1.0582584294718709,-1.0050871156903785,0.0809750358229688,8
0.0044171810150146484,0.002249496803053823,0.00817112922668457,0.001964910089888415,uniform,2,15,"{'model__weights': 'uniform', 'model__p': 2, 'model__n_neighbors': 15}",-0.05124738656347172,0.1222427343838578,0.08141267158738197,-0.24137680064343314,-0.012128554038432382,-0.020219467054819494,0.12693567765308647,6,-0.7195364345221106,-0.7143526602399928,-0.7525911904203763,-0.7883542176311567,-0.7661125791440383,-0.7481894163915348,0.027999093103672167,5,-0.9298717239817299,-0.968280719536503,-0.930807415366223,-0.912641395784472,-1.0487637582042855,-0.9580730025746427,0.04885031401717032,6
0.005652046203613282,0.0026104286914363025,0.003728818893432617,0.002864946089170259,uniform,1,15,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 15}",-0.05348790836735051,0.14992976985204254,0.057511003194148036,-0.20391838064746914,0.03917078245711869,-0.002158946702302078,0.11978410464470648,4,-0.7221999982416141,-0.7147454858093983,-0.7590990061219651,-0.7789395524506357,-0.7297990585240782,-0.7409566202295383,0.02422880486190719,3,-0.9308621135868747,-0.9528871521444957,-0.9428394671052996,-0.8987664944914282,-1.0218400795505176,-0.9494390613757231,0.04052200249499959,4
