mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
1.2830426216125488,0.49240139177581566,0.021475505828857423,0.0037499343726406197,200,2,4,0.6,8,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': 0.6, 'model__max_depth': 8}",0.5,0.6842105263157895,0.5263157894736842,0.4473684210526316,0.3157894736842105,0.4947368421052631,0.11932404261846985,3,0.5027098639046127,0.6842105263157895,0.500553184763711,0.41081871345029236,0.293237639553429,0.4783059855975669,0.12829028930120817,3
2.158518600463867,0.7325771725438556,0.03047499656677246,0.007930644310305037,400,2,2,0.8,5,"{'model__n_estimators': 400, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 0.8, 'model__max_depth': 5}",0.5,0.631578947368421,0.5526315789473685,0.42105263157894735,0.3157894736842105,0.4842105263157895,0.10863035495026471,5,0.49934619156587123,0.6377196210991225,0.5220067713142506,0.38947368421052636,0.2970360110803324,0.46911645585402056,0.1166986720317984,5
1.2606073379516602,0.3510990573399183,0.028380298614501955,0.006956354194267594,400,5,4,log2,12,"{'model__n_estimators': 400, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 12}",0.5,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.2631578947368421,0.43684210526315786,0.08743814592545343,10,0.5078826097501818,0.48571428571428565,0.4554016620498615,0.40152046783625733,0.22911725955204218,0.4159272569805257,0.09998977512799394,10
0.7972281455993653,0.34088351305087855,0.017322349548339843,0.0034291908334979776,200,5,8,log2,,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 8, 'model__max_features': 'log2', 'model__max_depth': None}",0.47368421052631576,0.5,0.47368421052631576,0.47368421052631576,0.34210526315789475,0.4526315789473684,0.05619514869490164,9,0.48040100250626566,0.5132339031146543,0.4771241830065359,0.40643274853801176,0.3430622009569378,0.44405080762448107,0.0613437895386213,9
1.3920579910278321,0.5756501733643336,0.015348148345947266,0.004362627110607512,200,10,1,0.8,12,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': 12}",0.5,0.6842105263157895,0.5526315789473685,0.4473684210526316,0.3157894736842105,0.5,0.12116699403390883,1,0.49934619156587123,0.6842105263157895,0.5214387319650478,0.41387811634349037,0.28951791242812913,0.4816782957236655,0.1299498584027614,2
2.384677219390869,0.8827679564946976,0.027814531326293947,0.006639268770238933,400,5,1,0.8,12,"{'model__n_estimators': 400, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': 12}",0.5,0.6578947368421053,0.5526315789473685,0.42105263157894735,0.2631578947368421,0.4789473684210527,0.1325229296001492,7,0.49934619156587123,0.6617633828160144,0.5214387319650478,0.36988304093567254,0.2195992373277692,0.45440611692207505,0.14952487323954983,8
2.2990771293640138,0.8478350791779714,0.029425430297851562,0.00508151899732059,400,10,1,0.8,8,"{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': 8}",0.5,0.631578947368421,0.5526315789473685,0.4473684210526316,0.3157894736842105,0.4894736842105263,0.10604969305057833,4,0.49934619156587123,0.6377196210991225,0.5214387319650478,0.41387811634349037,0.293237639553429,0.4731240601053922,0.11487629219757559,4
1.5873610973358154,0.4486365368600542,0.034714460372924805,0.004640144865997811,600,2,8,sqrt,5,"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': 5}",0.5,0.5263157894736842,0.5526315789473685,0.5,0.39473684210526316,0.4947368421052632,0.05367388961676616,2,0.5060780984719864,0.5427589352070806,0.5424812030075188,0.4557440062218633,0.38761684908433264,0.48693581839855626,0.059000209864865996,1
1.8759798049926757,0.5770009699979852,0.03213653564453125,0.005182297875076462,400,2,2,0.6,5,"{'model__n_estimators': 400, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 0.6, 'model__max_depth': 5}",0.5263157894736842,0.6052631578947368,0.5,0.4473684210526316,0.3157894736842105,0.4789473684210527,0.09618772043419509,7,0.5249101013403072,0.6145995343315449,0.47756232686980615,0.41387811634349037,0.2864641841758547,0.4634828526122007,0.11009453102748214,6
2.748765563964844,0.9734202820164654,0.03812265396118164,0.0031509357524813963,600,2,4,0.6,12,"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': 0.6, 'model__max_depth': 12}",0.5,0.631578947368421,0.5263157894736842,0.42105263157894735,0.34210526315789475,0.4842105263157895,0.09790039598809618,5,0.5027098639046127,0.6377196210991225,0.500553184763711,0.36546840958605664,0.3036842105263158,0.4620270579759637,0.1169643191726665,7
