mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
0.5828773975372314,0.19892498882472232,0.010322332382202148,0.0053955901403660795,200,2,4,0.6,8,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': 0.6, 'model__max_depth': 8}",0.47368421052631576,0.5,0.47368421052631576,0.5526315789473685,0.42105263157894735,0.4842105263157895,0.04275809686650508,5,0.42771701982228305,0.5074352548036759,0.39983357603494907,0.5300438596491229,0.3853185595567867,0.4500696539733635,0.05814240060465744,5
1.4606432914733887,0.3515947815849577,0.027398300170898438,0.005673849943024756,400,2,2,0.8,5,"{'model__n_estimators': 400, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 0.8, 'model__max_depth': 5}",0.5,0.5263157894736842,0.47368421052631576,0.5,0.4473684210526316,0.4894736842105263,0.02683694480838307,4,0.4326457240525727,0.5289473684210526,0.40552897395002657,0.4519693842449261,0.4242701347964506,0.4486723170930057,0.04282200546540446,6
0.6732249736785889,0.06395200628933055,0.017855215072631835,0.006197784534466323,400,5,4,log2,12,"{'model__n_estimators': 400, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 12}",0.5,0.5,0.47368421052631576,0.47368421052631576,0.2894736842105263,0.4473684210526315,0.0798197415163321,14,0.47092731829573936,0.5125896135688057,0.43227634303149176,0.40725563909774437,0.27808704453441296,0.4202271917056389,0.07952180137707175,14
0.3370081424713135,0.024065679792822522,0.016157007217407225,0.002566804991259567,200,5,8,log2,,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 8, 'model__max_features': 'log2', 'model__max_depth': None}",0.4473684210526316,0.5263157894736842,0.47368421052631576,0.47368421052631576,0.3684210526315789,0.45789473684210524,0.0515682051112248,12,0.4448621553884712,0.5428243130425416,0.45467836257309946,0.437719298245614,0.36307614915424763,0.44863205568079473,0.057204637466852136,7
0.724922513961792,0.26658759708763496,0.014364814758300782,0.005184576306707553,200,10,1,0.8,12,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': 12}",0.5526315789473685,0.47368421052631576,0.5,0.4473684210526316,0.39473684210526316,0.4736842105263158,0.05263157894736843,8,0.5106858054226475,0.4711779448621554,0.41353383458646614,0.4229873101726648,0.3560837077213157,0.43489372055304987,0.05266879630632066,12
1.489013671875,0.5346213906230791,0.025450658798217774,0.006430924943742917,400,5,1,0.8,12,"{'model__n_estimators': 400, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': 12}",0.5,0.5526315789473685,0.5,0.5,0.47368421052631576,0.5052631578947369,0.025784102555612427,1,0.4326457240525727,0.5342444457007179,0.41353383458646614,0.44430503503340396,0.44205327560387037,0.45335646299540616,0.04187441362084733,3
1.4162316799163819,0.5093766638487403,0.020646095275878906,0.0065790044640200215,400,10,1,0.8,8,"{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': 8}",0.5526315789473685,0.47368421052631576,0.47368421052631576,0.5263157894736842,0.39473684210526316,0.4842105263157895,0.054187527057826326,5,0.5106858054226475,0.4711779448621554,0.39983357603494907,0.49253966255351295,0.3560837077213157,0.4460641393189162,0.05865216154730985,8
0.9961127758026123,0.07202883130940953,0.03355979919433594,0.0017448046706845831,600,2,8,sqrt,5,"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': 5}",0.4473684210526316,0.5,0.4473684210526316,0.4473684210526316,0.2631578947368421,0.42105263157894746,0.08153649149910351,15,0.4464114832535884,0.5188368588491377,0.43254185359448516,0.4101991297952338,0.26020050125313277,0.4136379653491156,0.08491542691222823,15
1.1283485412597656,0.27834439345559747,0.02462000846862793,0.0069111575759962665,400,2,2,0.6,5,"{'model__n_estimators': 400, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 0.6, 'model__max_depth': 5}",0.5263157894736842,0.5263157894736842,0.47368421052631576,0.5526315789473685,0.42105263157894735,0.5,0.047075115315785065,2,0.465446224256293,0.5289473684210526,0.40552897395002657,0.513907092404588,0.3860297971101295,0.459971891228418,0.056794463156799486,1
1.7029934406280518,0.519302474180439,0.03644828796386719,0.007252347047874328,600,2,4,0.6,12,"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': 0.6, 'model__max_depth': 12}",0.47368421052631576,0.5263157894736842,0.47368421052631576,0.5263157894736842,0.39473684210526316,0.4789473684210527,0.04823763889427199,7,0.42771701982228305,0.5289473684210526,0.40552897395002657,0.4940642119131821,0.3560837077213157,0.442468256365572,0.06194381205605399,9
