mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__l1_ratio,param_model__alpha,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse
0.07419581413269043,0.015197807326968604,0.004203033447265625,0.000746304223658028,0.1,0.001,"{'model__l1_ratio': 0.1, 'model__alpha': 0.001}",-1.6496937538336232,-3.4053969751249404,0.3070646060967661,0.3366169565473147,0.5590934309721933,-0.770463147068458,1.5408008208060768,6,-1.7107983545021967,-2.0290123856241875,-1.2201610725527698,-1.21047497889021,-0.831316791437413,-1.4003527166013554,0.4204554534164055,6,-1.9913226235049382,-2.7019684731376175,-1.5178492095993332,-1.4538670811187684,-1.067481864757946,-1.746497850423721,0.5606851089993496,6
0.05000042915344238,0.01191594794828969,0.0044001579284667965,0.0010193561475966791,0.5,1.0,"{'model__l1_ratio': 0.5, 'model__alpha': 1.0}",0.19917754246522723,0.07938021400853801,0.03624210034103148,0.13565385021937015,0.14599300243715618,0.11928934189426461,0.05630735303275961,3,-0.8397649206649856,-0.9959155537258995,-1.3221217515475205,-1.3291801709600188,-1.1997323419630248,-1.1373429477722898,0.1915158233861104,3,-1.094742323725093,-1.2351733277154673,-1.7900544096913968,-1.6595348268446086,-1.4856548857943357,-1.4530319547541803,0.2581184487871052,3
0.056797122955322264,0.011365193579935326,0.004599571228027344,0.0018545689330283796,0.1,1.0,"{'model__l1_ratio': 0.1, 'model__alpha': 1.0}",0.163714477915183,0.33386512401428636,0.2705355317002872,0.37209889163918786,0.3740833334891529,0.3028594717516195,0.07903727301671253,2,-0.8414417238424898,-0.8085097662806927,-1.1631990269228407,-1.0981681558380223,-1.0066286120028676,-0.9835894569773826,0.13912408464584067,1,-1.1187191594118882,-1.0506760645806563,-1.5573431883521154,-1.414451774510386,-1.2718780689641471,-1.2826136511638386,0.18634876473593906,2
0.07979702949523926,0.01564975847487447,0.004603719711303711,0.0007997046997711433,0.3,0.001,"{'model__l1_ratio': 0.3, 'model__alpha': 0.001}",-1.8673027028185798,-3.4172745923373453,0.30519971554079517,0.33417336209914994,0.558043007061731,-0.8174322420908497,1.5709766625493138,7,-1.78007348018638,-2.031500336593556,-1.2211868452012922,-1.2097413572891256,-0.831582408097135,-1.4148168854734977,0.43206987379890077,7,-2.0714791142488873,-2.7056084793250506,-1.5198903239172514,-1.45654230472186,-1.0687527024947188,-1.7644545849415536,0.5689740721386408,7
0.05539989471435547,0.013152702283115792,0.004002571105957031,0.0006319060521349517,0.7,0.01,"{'model__l1_ratio': 0.7, 'model__alpha': 0.01}",-1.3028989831138151,-0.8095048523481538,0.3749931662227207,0.39253887183255354,0.5854294154224,-0.15188847639685893,0.7582779913618161,4,-1.6054057626453648,-1.3338970019159888,-1.0901415440202797,-1.1342683456881244,-0.820548941362259,-1.196852319126403,0.26176529054245395,4,-1.8564413396929302,-1.7316799505954938,-1.441533167583828,-1.3912390725512875,-1.0351099014420821,-1.4912006863731242,0.2869526100658351,4
0.05959610939025879,0.01289456655691608,0.004003143310546875,0.0008927130337452416,0.1,0.01,"{'model__l1_ratio': 0.1, 'model__alpha': 0.01}",-1.2214891363356073,-1.1483071866575267,0.4118248685892232,0.3855034644745934,0.5965097674902008,-0.19519164448782333,0.811687471992464,5,-1.572677330623766,-1.451750359756963,-1.0717706792454222,-1.152217132064658,-0.7828399782166554,-1.206251095981493,0.28100523138808436,5,-1.8233325444374489,-1.8868437748050055,-1.3984134277428013,-1.3992723079003544,-1.0211833705387776,-1.5058090850848775,0.317412847035988,5
0.04939765930175781,0.011565652429679144,0.00420074462890625,0.0007474903672225069,0.3,0.1,"{'model__l1_ratio': 0.3, 'model__alpha': 0.1}",-0.09395068557531783,0.4085215786136672,0.3662409147102269,0.45363786403069917,0.5012258975910888,0.32713511387407285,0.2153029575143701,1,-1.0618222358291696,-0.7877335265843781,-1.1064151929014663,-1.1035837982670436,-0.8972317572644993,-0.9913573021693114,0.12737399397748825,2,-1.2795069794560072,-0.9900501758380406,-1.4515912961948019,-1.3194192532793907,-1.1353745858834972,-1.2351884581303474,0.1587102599357816,1
0.0745959758758545,0.01584438339224522,0.004203939437866211,0.0003990419557553191,0.7,0.001,"{'model__l1_ratio': 0.7, 'model__alpha': 0.001}",-2.042861111477732,-3.421260626528796,0.29713430605402913,0.32732983310594366,0.5549397074928295,-0.8569435782707451,1.5943610637590533,8,-1.8273845208316426,-2.0340006123602645,-1.2252370020464998,-1.2067342446603977,-0.8335714710161449,-1.42538557018299,0.44048319044876205,8,-2.1339530089792103,-2.706828939569511,-1.5286864975009409,-1.4640085178576665,-1.0724983814168676,-1.7811950690648395,0.57408276554191,8
