mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__n_estimators,param_model__min_child_weight,param_model__max_depth,param_model__learning_rate,param_model__gamma,param_model__colsample_bytree,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse
0.21148314476013183,0.07365758172939461,0.004058933258056641,0.0014410563644196767,0.7,1.0,0.0,600,3,7,0.05,0.1,0.7,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 600, 'model__min_child_weight': 3, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__gamma': 0.1, 'model__colsample_bytree': 0.7}",-0.0012164807305121705,0.2773514582274952,0.05765272543754241,0.023214473036358374,0.2850014365578283,0.12840072250574242,0.12615874987892092,5,-0.6881089713025998,-0.5776022066237229,-0.5739737682277071,-0.5538721147352265,-0.5859655253780477,-0.5959045172534607,0.04729291721742741,5,-0.8185959526504109,-0.7273416706612519,-0.7734525305700827,-0.6752512981627832,-0.7553497162372591,-0.7499982336563575,0.04771753068453926,5
0.379913330078125,0.1902392589639485,0.0046844959259033205,0.0013658752271023555,1.0,2.0,1.0,600,3,4,0.02,0.0,0.7,"{'model__subsample': 1.0, 'model__reg_lambda': 2.0, 'model__reg_alpha': 1.0, 'model__n_estimators': 600, 'model__min_child_weight': 3, 'model__max_depth': 4, 'model__learning_rate': 0.02, 'model__gamma': 0.0, 'model__colsample_bytree': 0.7}",-0.04043904000419585,0.2148540944214331,0.0874828317166465,-0.12996593587249294,0.3077265484158477,0.0879316997354477,0.16023588717050713,8,-0.7152622007783074,-0.614935179333653,-0.5597480922054219,-0.5865461439653089,-0.5756529807930938,-0.610428919415157,0.05542314025154998,7,-0.8344761294378381,-0.7581411846819747,-0.7611122244860651,-0.7262706527009147,-0.7432489840420258,-0.7646498350697636,0.037044693729877544,9
0.14414482116699218,0.06868656471154579,0.0036827564239501954,0.002109271534293778,1.0,2.0,0.01,400,3,4,0.03,0.3,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 400, 'model__min_child_weight': 3, 'model__max_depth': 4, 'model__learning_rate': 0.03, 'model__gamma': 0.3, 'model__colsample_bytree': 1.0}",-0.07963680656265626,0.2909622803448606,0.1601453844785352,0.030640148447968585,0.3566227927366745,0.15174675988907654,0.16101605697868177,2,-0.7062656862988969,-0.5820622444490403,-0.55960647665106,-0.5462525777705994,-0.5464805624749862,-0.5881335095289165,0.060489409810512526,3,-0.8500499362455552,-0.7204595030939699,-0.7301805022089631,-0.6726797187858379,-0.7165200068600854,-0.7379779334388823,0.05941738566879206,2
0.07658028602600098,0.037979680444184295,0.0039288997650146484,0.003408583206490517,0.85,5.0,0.01,200,3,7,0.1,0.3,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 200, 'model__min_child_weight': 3, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__gamma': 0.3, 'model__colsample_bytree': 0.85}",0.00038019515303944207,0.2661093907918648,0.05012116293815849,-0.047567320711260797,0.24571981380598518,0.10295264839555743,0.1288185710434989,6,-0.7074520661538333,-0.5882356577187242,-0.592391533398164,-0.5749562246111634,-0.6153740997674115,-0.6156819163298592,0.047699425918078554,9,-0.8179429700288013,-0.732977375576334,-0.7765372282461013,-0.6992891513952297,-0.7758215441933783,-0.760513653887969,0.04073303112206594,7
0.24743404388427734,0.144487330448818,0.004208660125732422,0.0004398525067724268,0.85,0.5,0.1,400,8,5,0.05,0.0,0.7,"{'model__subsample': 0.85, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.1, 'model__n_estimators': 400, 'model__min_child_weight': 8, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__gamma': 0.0, 'model__colsample_bytree': 0.7}",-0.011969795277883444,0.19698634124837955,0.1045885018954088,-0.09952476455072023,0.32280012448932904,0.10257608156090274,0.1492524612550166,7,-0.6928763728908818,-0.6076664987911071,-0.5684863966573064,-0.5803368426458421,-0.5725445211405639,-0.6043821264251402,0.04630838143841038,6,-0.8229801744609885,-0.7667192560586102,-0.7539447280471586,-0.7164210328308894,-0.7351126911653763,-0.7590355765126047,0.036227533873510465,6
0.08873529434204101,0.04473991566016872,0.005335092544555664,0.002235283711610666,0.7,2.0,0.01,200,1,7,0.1,0.3,1.0,"{'model__subsample': 0.7, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 200, 'model__min_child_weight': 1, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__gamma': 0.3, 'model__colsample_bytree': 1.0}",-0.028496940496620438,0.3184454036060703,0.09563084898629504,0.0005320346995117964,0.28675398354478565,0.13457306606800848,0.14355722869876134,4,-0.7126269046412933,-0.5486872514987994,-0.5674419727962604,-0.5558141866650546,-0.5791250355991906,-0.5927390702401196,0.060831550493378045,4,-0.8296732734080539,-0.7063585883376278,-0.7577065562979091,-0.6830464824586411,-0.7544234220304775,-0.746241664506542,0.050484669084041374,4
0.09032645225524902,0.03627079528666934,0.005904340744018554,0.0018118823777404814,0.7,2.0,1.0,200,5,3,0.02,0.1,0.85,"{'model__subsample': 0.7, 'model__reg_lambda': 2.0, 'model__reg_alpha': 1.0, 'model__n_estimators': 200, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.02, 'model__gamma': 0.1, 'model__colsample_bytree': 0.85}",0.0759529007520966,0.26213643426259703,0.19927888541493932,0.08125665727257081,0.3032015839654638,0.18436529233353352,0.09249591045761871,1,-0.6673487481559186,-0.5712731595354154,-0.5354040245386112,-0.5247509389642111,-0.5778314351977147,-0.5753216612783743,0.0502841719210328,1,-0.7864165637693666,-0.7349587040332486,-0.7129659934623817,-0.6548818020444991,-0.7456741076406749,-0.7269794341900341,0.04322123787516411,1
0.09171605110168457,0.03400594675595705,0.003692340850830078,0.0013857128399823353,0.85,2.0,0.01,400,5,3,0.1,0.1,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 400, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__gamma': 0.1, 'model__colsample_bytree': 0.85}",-0.04184074551809047,0.2883773652653042,0.13823464800514762,-0.18578914083448828,0.23975508770203646,0.08774744292398191,0.1774953570798496,9,-0.7291855992546955,-0.5599885333224153,-0.5835028371335262,-0.6026408078262802,-0.6132429796667911,-0.6177121514407415,0.05861013860461477,10,-0.835038053804956,-0.7217715858743892,-0.7396439168199543,-0.7439942073575115,-0.7788830395039299,-0.7638661606721482,0.04011112034120862,8
0.21181750297546387,0.09178847432463977,0.0033590316772460936,0.002737491806339464,1.0,5.0,0.01,400,5,3,0.05,0.0,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 400, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__gamma': 0.0, 'model__colsample_bytree': 1.0}",-0.1544608404525576,0.13016195048010237,0.06307669531432625,-0.00038710172804301557,0.38893595937551273,0.08546533259786815,0.17862176185484718,10,-0.745496968894958,-0.6484796117395754,-0.5772644741183219,-0.5611964621816662,-0.5251220126557734,-0.6115119059180589,0.07808502096531268,8,-0.8790128040559176,-0.7979838556257062,-0.7712233962354175,-0.6833604838341941,-0.6982948667803807,-0.7659750813063232,0.07104282702876885,10
0.08645949363708497,0.04580502009543679,0.0047513008117675785,0.002299670987334502,0.7,1.0,1.0,200,8,7,0.05,0.1,0.7,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 1.0, 'model__n_estimators': 200, 'model__min_child_weight': 8, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__gamma': 0.1, 'model__colsample_bytree': 0.7}",0.12265796485270342,0.264630214310866,0.13635165235167745,-0.01614119809172143,0.24534839147108434,0.15056940497892196,0.10076362703059692,3,-0.6414316771287432,-0.5654375968485034,-0.5698590895439756,-0.546565176683886,-0.5974572056857378,-0.5841501491781691,0.03294017411855193,2,-0.7662845459851555,-0.7337156716665238,-0.740451553321104,-0.6887202454280635,-0.7760125355450159,-0.7410369103891726,0.03050152150373384,3
