mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__num_leaves,param_model__n_estimators,param_model__min_child_samples,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
0.14255180358886718,0.05992727048086511,0.005915307998657226,0.0040040542997260955,0.7,0.1,0.0,31,400,10,10,0.03,0.7,"{'model__subsample': 0.7, 'model__reg_lambda': 0.1, 'model__reg_alpha': 0.0, 'model__num_leaves': 31, 'model__n_estimators': 400, 'model__min_child_samples': 10, 'model__max_depth': 10, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.7}",0.5526315789473685,0.39473684210526316,0.47368421052631576,0.34210526315789475,0.4473684210526316,0.44210526315789467,0.07139294719079231,15,0.5125288629797985,0.425438596491228,0.3815789473684211,0.32141274238227147,0.4048938134810711,0.4091705925405581,0.0623355596871693,13
0.07938766479492188,0.03187252933408525,0.004239225387573242,0.00468529576638077,1.0,1.0,1.0,31,400,20,-1,0.02,0.7,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 1.0, 'model__num_leaves': 31, 'model__n_estimators': 400, 'model__min_child_samples': 20, 'model__max_depth': -1, 'model__learning_rate': 0.02, 'model__colsample_bytree': 0.7}",0.5,0.47368421052631576,0.5263157894736842,0.42105263157894735,0.4473684210526316,0.47368421052631576,0.03721614637823934,9,0.3868958109559613,0.4963636363636363,0.44622425629290613,0.3359055533570769,0.4028895768833849,0.4136557667705931,0.05436616589041504,11
0.08962039947509766,0.04860695672058804,0.008337688446044923,0.005995947361853831,1.0,1.0,0.01,15,400,20,10,0.02,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 15, 'model__n_estimators': 400, 'model__min_child_samples': 20, 'model__max_depth': 10, 'model__learning_rate': 0.02, 'model__colsample_bytree': 1.0}",0.5526315789473685,0.42105263157894735,0.5263157894736842,0.4473684210526316,0.42105263157894735,0.47368421052631576,0.05520046569316589,9,0.49169627365116086,0.4431848852901485,0.46591115469834005,0.3544436885397984,0.3841698841698841,0.42788117726986635,0.0511010588617997,6
0.026211309432983398,0.010145375039944523,0.008286046981811523,0.005752083535198698,0.85,5.0,0.01,127,200,40,4,0.05,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 127, 'model__n_estimators': 200, 'model__min_child_samples': 40, 'model__max_depth': 4, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.85}",0.4473684210526316,0.5526315789473685,0.5789473684210527,0.42105263157894735,0.42105263157894735,0.4842105263157895,0.06781104593013226,5,0.27655502392344494,0.49803524648725883,0.5249782257061092,0.3635190918472652,0.38427590715920235,0.4094726990246561,0.09121246865890836,12
0.14910545349121093,0.06190016642490731,0.007750606536865235,0.005776478393934076,0.85,0.0,0.1,63,600,20,8,0.02,0.7,"{'model__subsample': 0.85, 'model__reg_lambda': 0.0, 'model__reg_alpha': 0.1, 'model__num_leaves': 63, 'model__n_estimators': 600, 'model__min_child_samples': 20, 'model__max_depth': 8, 'model__learning_rate': 0.02, 'model__colsample_bytree': 0.7}",0.5263157894736842,0.4473684210526316,0.4473684210526316,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.028827503026587677,9,0.4713345864661654,0.4616688061617458,0.38610359891824425,0.42571310923111483,0.42897785003048167,0.4347595901615504,0.030147998542073746,4
0.024265527725219727,0.011687368372562243,0.004703998565673828,0.003155273621265994,0.7,1.0,0.01,15,200,40,6,0.03,1.0,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 15, 'model__n_estimators': 200, 'model__min_child_samples': 40, 'model__max_depth': 6, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.4473684210526316,0.5526315789473685,0.5526315789473685,0.5,0.4473684210526316,0.5,0.047075115315785065,2,0.27655502392344494,0.49803524648725883,0.5035051396607461,0.4597755650387229,0.4208891794704151,0.4317520309161176,0.08310403632400146,5
0.07432742118835449,0.03139509299133283,0.004697465896606445,0.006355493194103564,0.7,1.0,1.0,63,400,20,4,0.02,0.85,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 1.0, 'model__num_leaves': 63, 'model__n_estimators': 400, 'model__min_child_samples': 20, 'model__max_depth': 4, 'model__learning_rate': 0.02, 'model__colsample_bytree': 0.85}",0.5,0.42105263157894735,0.5,0.42105263157894735,0.4473684210526316,0.45789473684210524,0.035696473595396155,14,0.3868958109559613,0.44615126332577854,0.41353383458646614,0.3308270676691729,0.401953024977304,0.39587220030293657,0.03791658945051059,15
0.08612551689147949,0.023058647499356,0.004359149932861328,0.006260141244340492,0.7,1.0,1.0,63,600,20,-1,0.05,1.0,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 1.0, 'model__num_leaves': 63, 'model__n_estimators': 600, 'model__min_child_samples': 20, 'model__max_depth': -1, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",0.5,0.4473684210526316,0.5,0.42105263157894735,0.4473684210526316,0.4631578947368421,0.03157894736842106,12,0.3868958109559613,0.4611046847888953,0.4249754821837201,0.35462530199372305,0.401953024977304,0.4059108609799208,0.0358253070386411,14
0.09814248085021973,0.038497000554710205,0.004808282852172852,0.006367723073631578,0.85,1.0,0.01,127,400,20,-1,0.03,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 127, 'model__n_estimators': 400, 'model__min_child_samples': 20, 'model__max_depth': -1, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.85}",0.5526315789473685,0.4473684210526316,0.47368421052631576,0.47368421052631576,0.4473684210526316,0.47894736842105257,0.038676153833418624,7,0.49169627365116086,0.4676555023923445,0.4052423548991055,0.42447126588400824,0.3886480908152735,0.4355426975283785,0.03853374585604769,3
0.046352720260620116,0.028544105635873954,0.004666376113891602,0.005719020557126273,1.0,5.0,0.01,127,400,40,10,0.05,0.85,"{'model__subsample': 1.0, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 127, 'model__n_estimators': 400, 'model__min_child_samples': 40, 'model__max_depth': 10, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.85}",0.4473684210526316,0.5526315789473685,0.5789473684210527,0.47368421052631576,0.42105263157894735,0.4947368421052632,0.06092545738310647,3,0.27655502392344494,0.49803524648725883,0.5249782257061092,0.4279778393351801,0.383489627735152,0.422207192637429,0.08838402959247289,9
0.09402027130126953,0.015196972698481446,0.0025196075439453125,0.0027812095792431038,0.7,0.1,1.0,31,600,10,10,0.03,0.7,"{'model__subsample': 0.7, 'model__reg_lambda': 0.1, 'model__reg_alpha': 1.0, 'model__num_leaves': 31, 'model__n_estimators': 600, 'model__min_child_samples': 10, 'model__max_depth': 10, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.7}",0.5,0.47368421052631576,0.5526315789473685,0.47368421052631576,0.39473684210526316,0.47894736842105257,0.051028209025435055,7,0.456640815100904,0.4838516746411483,0.5035051396607461,0.43582391255521447,0.343213296398892,0.44460696767138097,0.055698785990497046,1
0.049713945388793944,0.0229674018867425,0.003040504455566406,0.0027439950201875022,1.0,0.0,0.0,15,400,40,8,0.02,0.85,"{'model__subsample': 1.0, 'model__reg_lambda': 0.0, 'model__reg_alpha': 0.0, 'model__num_leaves': 15, 'model__n_estimators': 400, 'model__min_child_samples': 40, 'model__max_depth': 8, 'model__learning_rate': 0.02, 'model__colsample_bytree': 0.85}",0.4473684210526316,0.5526315789473685,0.5789473684210527,0.5,0.4473684210526316,0.5052631578947369,0.05367388961676617,1,0.27655502392344494,0.49803524648725883,0.5249782257061092,0.43438705121937976,0.4028442317916002,0.4273599558255586,0.08708254888916842,7
0.05931487083435059,0.031214433549221054,0.012074518203735351,0.005567257899359401,0.7,5.0,0.01,15,600,40,8,0.1,0.85,"{'model__subsample': 0.7, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 15, 'model__n_estimators': 600, 'model__min_child_samples': 40, 'model__max_depth': 8, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.85}",0.4473684210526316,0.5526315789473685,0.5,0.5,0.39473684210526316,0.4789473684210527,0.05367388961676617,6,0.27655502392344494,0.49803524648725883,0.47779788196477035,0.48484848484848486,0.36556462927654065,0.4205602533000999,0.08622473214767036,10
0.0889312744140625,0.047522226724818865,0.005472612380981445,0.0044553120468845755,1.0,1.0,0.01,63,400,20,6,0.1,0.85,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 63, 'model__n_estimators': 400, 'model__min_child_samples': 20, 'model__max_depth': 6, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.85}",0.5526315789473685,0.42105263157894735,0.47368421052631576,0.4473684210526316,0.39473684210526316,0.4578947368421053,0.05418752705782633,13,0.5230994152046784,0.4300655484866011,0.43148267008985886,0.39853801169590647,0.35,0.42663712909540896,0.056573873692888944,8
0.08644757270812989,0.03267503843280254,0.005615663528442383,0.003205712005843755,0.85,0.0,0.0,15,400,20,-1,0.02,0.7,"{'model__subsample': 0.85, 'model__reg_lambda': 0.0, 'model__reg_alpha': 0.0, 'model__num_leaves': 15, 'model__n_estimators': 400, 'model__min_child_samples': 20, 'model__max_depth': -1, 'model__learning_rate': 0.02, 'model__colsample_bytree': 0.7}",0.5526315789473685,0.47368421052631576,0.5,0.47368421052631576,0.4473684210526316,0.4894736842105263,0.03569647359539617,4,0.49169627365116086,0.491193838254172,0.41814021219055547,0.4070030147833351,0.4100822231016137,0.4436231123961674,0.03921582282303428,2
