mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__random_strength,param_model__learning_rate,param_model__l2_leaf_reg,param_model__iterations,param_model__depth,param_model__bagging_temperature,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
1.1295906543731689,0.32161601765134185,0.005120563507080078,0.0031125025374129406,1.0,0.05,3,600,4,0.5,"{'model__random_strength': 1.0, 'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 600, 'model__depth': 4, 'model__bagging_temperature': 0.5}",0.5,0.6052631578947368,0.4473684210526316,0.5789473684210527,0.4473684210526316,0.5157894736842106,0.06573682103577262,3,0.41263157894736846,0.5740454076367388,0.3408898185312907,0.5361476027110702,0.37108013937282225,0.44695890943985805,0.09196978465036086,6
22.39770851135254,8.401690077980048,0.005936861038208008,0.0033753778455841623,0.5,0.1,5,200,10,0.5,"{'model__random_strength': 0.5, 'model__learning_rate': 0.1, 'model__l2_leaf_reg': 5, 'model__iterations': 200, 'model__depth': 10, 'model__bagging_temperature': 0.5}",0.5,0.5,0.42105263157894735,0.5263157894736842,0.4473684210526316,0.47894736842105257,0.0386761538334186,13,0.4326457240525727,0.4924785367674505,0.28935460824005715,0.44372774040364066,0.36455722639933164,0.40455276717261046,0.07060466389120916,14
8.039247846603393,2.066718731939671,0.008285093307495116,0.0044916747776625205,1.0,0.02,10,200,8,0.5,"{'model__random_strength': 1.0, 'model__learning_rate': 0.02, 'model__l2_leaf_reg': 10, 'model__iterations': 200, 'model__depth': 8, 'model__bagging_temperature': 0.5}",0.47368421052631576,0.5789473684210527,0.5,0.5263157894736842,0.3684210526315789,0.4894736842105263,0.06982367979695579,9,0.37916219119226635,0.521255060728745,0.3957688338493292,0.41578947368421054,0.2583609215593541,0.394067296202781,0.0840117348282322,15
8.13798384666443,1.9521313253259065,0.008965826034545899,0.0023485654100335843,0.0,0.03,3,200,8,0.5,"{'model__random_strength': 0.0, 'model__learning_rate': 0.03, 'model__l2_leaf_reg': 3, 'model__iterations': 200, 'model__depth': 8, 'model__bagging_temperature': 0.5}",0.5263157894736842,0.5263157894736842,0.4473684210526316,0.6052631578947368,0.4473684210526316,0.5105263157894736,0.05907880084379907,5,0.45087719298245615,0.5140350877192982,0.33539731682146545,0.5850218564105145,0.391610605461021,0.45538841187895107,0.08801145960470182,3
1.100823211669922,0.3925163231077431,0.009458065032958984,0.002026192772449541,0.0,0.05,3,200,6,1.0,"{'model__random_strength': 0.0, 'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 200, 'model__depth': 6, 'model__bagging_temperature': 1.0}",0.5,0.631578947368421,0.5,0.5263157894736842,0.47368421052631576,0.5263157894736843,0.05520046569316586,2,0.41383079547608514,0.59429115775865,0.41568206229860366,0.475187487331937,0.4218184780837542,0.464161996189806,0.06889363893207161,2
16.232629108428956,3.9991421280422994,0.012488603591918945,0.0042070083178848946,0.5,0.1,7,400,8,0.0,"{'model__random_strength': 0.5, 'model__learning_rate': 0.1, 'model__l2_leaf_reg': 7, 'model__iterations': 400, 'model__depth': 8, 'model__bagging_temperature': 0.0}",0.42105263157894735,0.47368421052631576,0.42105263157894735,0.5789473684210527,0.47368421052631576,0.47368421052631576,0.057655006053175396,14,0.343421052631579,0.4724880382775119,0.31889196675900283,0.5600712307083499,0.40748750701723707,0.4204719590787362,0.08788351626337557,11
24.274834299087523,6.000538514060691,0.006717252731323242,0.0053554279641947105,1.0,0.02,7,600,8,0.5,"{'model__random_strength': 1.0, 'model__learning_rate': 0.02, 'model__l2_leaf_reg': 7, 'model__iterations': 600, 'model__depth': 8, 'model__bagging_temperature': 0.5}",0.5,0.5789473684210527,0.5,0.5263157894736842,0.4473684210526316,0.5105263157894736,0.04275809686650506,5,0.4322368421052632,0.5556944994064107,0.3957688338493292,0.4473684210526316,0.3635794913640691,0.43892961755554083,0.0652541784846657,8
3.3268009185791017,1.2139525375820177,0.011022233963012695,0.002697745423194388,0.0,0.05,5,600,6,0.0,"{'model__random_strength': 0.0, 'model__learning_rate': 0.05, 'model__l2_leaf_reg': 5, 'model__iterations': 600, 'model__depth': 6, 'model__bagging_temperature': 0.0}",0.5263157894736842,0.4473684210526316,0.39473684210526316,0.5263157894736842,0.4473684210526316,0.46842105263157885,0.05102820902543503,15,0.465446224256293,0.45096618357487916,0.3226544622425629,0.5109264389042782,0.39243125464495643,0.42848491272459394,0.06506627673100068,9
0.3978900909423828,0.1104705766580442,0.005714225769042969,0.0033302859180775316,0.0,0.05,7,200,4,1.0,"{'model__random_strength': 0.0, 'model__learning_rate': 0.05, 'model__l2_leaf_reg': 7, 'model__iterations': 200, 'model__depth': 4, 'model__bagging_temperature': 1.0}",0.5263157894736842,0.5789473684210527,0.47368421052631576,0.5,0.47368421052631576,0.5105263157894736,0.0393858672291994,5,0.45087719298245615,0.5542105263157895,0.37620837808807733,0.44471657320451324,0.4220365178028512,0.4496098376787375,0.058506267235302806,5
67.27783799171448,25.5614554139967,0.006667041778564453,0.005508311774049934,1.0,0.1,5,600,10,1.0,"{'model__random_strength': 1.0, 'model__learning_rate': 0.1, 'model__l2_leaf_reg': 5, 'model__iterations': 600, 'model__depth': 10, 'model__bagging_temperature': 1.0}",0.5,0.5789473684210527,0.4473684210526316,0.47368421052631576,0.4473684210526316,0.4894736842105263,0.04880851839734582,9,0.4322368421052632,0.5452786377708978,0.33573407202216066,0.38749882728210905,0.37777777777777777,0.41570523139164167,0.07168269120901023,12
