mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
0.4763184547424316,0.412610389168693,0.005199337005615234,0.0023243740410123217,0.01,{'model__alpha': 0.01},0.39473684210526316,0.47368421052631576,0.631578947368421,0.5263157894736842,0.3157894736842105,0.46842105263157896,0.10837505411565262,5,0.3977732793522268,0.48869770580296895,0.6238975817923186,0.5064073226544622,0.28590615294216404,0.4605364085088281,0.11315388540143936,7
0.48969078063964844,0.3574252920155122,0.006303310394287109,0.001193687516839192,0.1,{'model__alpha': 0.1},0.42105263157894735,0.5789473684210527,0.5526315789473685,0.5526315789473685,0.34210526315789475,0.4894736842105264,0.09206766149755741,1,0.4286873309756605,0.5846087550893043,0.5405642484589853,0.5635661734982618,0.3219667590027701,0.4878786534049964,0.09888524111411874,1
0.4234148979187012,0.30201597674117825,0.006269979476928711,0.0014181029531639255,1.0,{'model__alpha': 1.0},0.42105263157894735,0.5263157894736842,0.5526315789473685,0.5789473684210527,0.2631578947368421,0.46842105263157896,0.11578947368421054,5,0.4203988231448185,0.5349190283400811,0.5405642484589853,0.5809529445803414,0.23803286496784948,0.4629735818984152,0.1245202995788249,5
0.42789497375488283,0.31184350905900304,0.004784774780273437,0.0021831113753593362,5.0,{'model__alpha': 5.0},0.4473684210526316,0.5,0.5263157894736842,0.5526315789473685,0.2894736842105263,0.4631578947368421,0.09355994123490094,7,0.4426945742735216,0.5081516500280803,0.5252819548872181,0.5598398169336385,0.24510340299813985,0.4562142798241197,0.11221111429441395,8
0.4263260841369629,0.305027477998266,0.004003334045410156,0.0008348370867027401,10.0,{'model__alpha': 10.0},0.4473684210526316,0.5263157894736842,0.6052631578947368,0.5263157894736842,0.2894736842105263,0.47894736842105257,0.10708942078618844,3,0.4608734755549159,0.5406015037593984,0.5948814343551185,0.5309687261632342,0.249212775528565,0.4753075830722464,0.12081934472388942,3
0.4324516296386719,0.3286981460226648,0.004729032516479492,0.0021222706203093186,25.0,{'model__alpha': 25.0},0.47368421052631576,0.5789473684210527,0.6052631578947368,0.5263157894736842,0.23684210526315788,0.4842105263157895,0.1316841684547032,2,0.4824045760333849,0.5902768284347232,0.59533057953043,0.5256379585326953,0.20564420100023814,0.47985882870629426,0.14340274161082517,2
0.4171422004699707,0.31991230314658226,0.002901029586791992,0.002763831418391483,50.0,{'model__alpha': 50.0},0.47368421052631576,0.5526315789473685,0.5789473684210527,0.5,0.21052631578947367,0.4631578947368421,0.1316841684547032,7,0.48018575851393186,0.5670185078079815,0.573861123396727,0.492572156196944,0.19066764132553607,0.46086103744822404,0.14030106139472107,6
0.42086234092712405,0.3197621961079164,0.005290555953979492,0.0015574338102679632,100.0,{'model__alpha': 100.0},0.5,0.5789473684210527,0.5789473684210527,0.47368421052631576,0.23684210526315788,0.4736842105263158,0.12565617248750865,4,0.5109649122807017,0.5947368421052632,0.573861123396727,0.4507300509337861,0.21851503759398497,0.4697615932620926,0.13538114332084433,4
