id,match_id,minute,second,period,event_type,outcome,team_name,player_name,x,y,is_shot,is_goal,qualifier_text,body_part,shot_zone,shot_distance,shot_angle,is_big_chance,is_header,is_right_foot,is_left_foot,is_penalty,is_volley,first_touch,from_corner,is_counter
286550,216,3,43.0,FirstHalf,MissedShots,Successful,Tottenham,Mathys Tel,89.8,61.2,1,0,goalmouthy 53.4 volley goalmouthz 56.9 relatedeventid 28 assisted zone center rightfoot regularplay firsttouch boxcentre,Right foot,Box,15.148597294799282,0.8320931674407788,0,0,1,0,0,1,1,0,0
286745,216,13,3.0,FirstHalf,MissedShots,Successful,West Ham,Valentín Castellanos,88.2,53.0,1,0,goalmouthz 61.1 goalmouthy 41.2 volley zone center intentionalassist rightfoot highright boxcentre assisted regularplay firsttouch relatedeventid 137,Right foot,Box,12.175385004179535,0.24896270579271712,0,0,1,0,0,1,1,0,0
286764,216,14,23.0,FirstHalf,Goal,Successful,West Ham,Crysencio Summerville,86.4,57.9,1,1,lowleft regularplay rightfoot goalmouthz 3.8 goalmouthy 53.7 assisted individualplay relatedeventid 149 zone center boxcentre,Right foot,Box,15.728000508646984,0.5262437868558472,0,0,1,0,0,0,0,0,0
286825,216,21,13.0,FirstHalf,MissedShots,Successful,Tottenham,Xavi Simons,77.7,72.4,1,0,rightfoot goalmouthy 30.9 individualplay goalmouthz 98.6 regularplay zone center outofboxcentre assisted relatedeventid 164 highright,Right foot,Box,31.607752213657967,0.7876352961306592,0,0,1,0,0,0,0,0,0
286867,216,23,41.0,FirstHalf,SavedShot,Successful,Tottenham,Wilson Odobert,95.5,50.5,1,0,regularplay head bigchance smallboxcentre lowcentre oppositerelatedevent 197 goalmouthz 13.3 blockedx 97.7 firsttouch goalmouthy 51.1 blockedy 50.2 zone center,Head,SmallBox,4.527692569068709,0.11065722117389565,1,1,0,0,0,0,1,0,0
286869,216,23,43.0,FirstHalf,SavedShot,Successful,Tottenham,Djed Spence,97.6,58.7,1,0,oppositerelatedevent 198 goalmouthz 0.6 blockedx 98.4 firsttouch zone center goalmouthy 53.2 regularplay rightfoot lowleft bigchance smallboxleft blockedy 56.9,Right foot,SmallBox,9.0249653738948,1.3016288340091957,1,0,1,0,0,0,1,0,0
286896,216,24,54.0,FirstHalf,SavedShot,Successful,West Ham,Konstantinos Mavropanos,96.8,53.4,1,0,oppositerelatedevent 303 head goalmouthy 51.6 blockedy 52.9 blocked assisted fromcorner intentionalassist firsttouch lowcentre blockedx 97.7 goalmouthz 19 zone center smallboxcentre sixyardblock relatedeventid 213,Head,SmallBox,4.669047011971502,0.8156919233162228,0,1,0,0,0,0,1,1,0
286898,216,24,56.0,FirstHalf,MissedShots,Successful,West Ham,Valentín Castellanos,97.9,45.2,1,0,head firsttouch goalmouthy 43.2 goalmouthz 41.7 bigchance smallboxcentre fromcorner zone center,Head,SmallBox,5.23927475897189,1.1583858851975102,1,1,0,0,0,0,1,1,0
286941,216,27,28.0,FirstHalf,MissedShots,Successful,Tottenham,Mathys Tel,86.6,74.5,1,0,goalmouthz 41.7 regularplay rightfoot highright boxleft individualplay goalmouthy 37.3 zone center relatedeventid 236 assisted,Right foot,Box,27.925078334715558,1.0703064218459726,0,0,1,0,0,0,0,0,0
286945,216,28,6.0,FirstHalf,MissedShots,Successful,West Ham,Crysencio Summerville,86.7,34.5,1,0,zone center goalmouthy 38.5 boxright relatedeventid 237 rightfoot assisted individualplay highright regularplay goalmouthz 69.4,Right foot,Box,20.424005483743876,0.8616389872715869,0,0,1,0,0,0,0,0,0
