id,date,time,home_team,away_team,fthg,ftag,ftr,hthg,htag,htr,referee,hs,as_,hst,ast,hf,af,hc,ac,hy,ay,hr,ar,b365h,b365d,b365a,bwh,bwd,bwa,maxh,maxd,maxa,avgh,avgd,avga,total_goals,goal_diff,implied_prob_h,implied_prob_d,implied_prob_a,kickoff,home_win,home_goals_for_last5,home_goals_against_last5,home_points_last5,home_pass_accuracy_last5,home_progressive_passes_last5,home_progressive_pass_rate_last5,home_shots_last5,home_shots_on_target_last5,home_shot_accuracy_last5,home_conversion_rate_last5,home_big_chances_last5,home_big_chance_rate_last5,home_assisted_shot_rate_last5,home_touches_last5,home_touches_per_shot_last5,home_avg_shot_distance_last5,home_avg_shot_angle_last5,home_avg_score_diff_before_shot_last5,away_goals_for_last5,away_goals_against_last5,away_points_last5,away_pass_accuracy_last5,away_progressive_passes_last5,away_progressive_pass_rate_last5,away_shots_last5,away_shots_on_target_last5,away_shot_accuracy_last5,away_conversion_rate_last5,away_big_chances_last5,away_big_chance_rate_last5,away_assisted_shot_rate_last5,away_touches_last5,away_touches_per_shot_last5,away_avg_shot_distance_last5,away_avg_shot_angle_last5,away_avg_score_diff_before_shot_last5,ref_avg_yellows_last10,ref_avg_fouls_last10,ref_avg_goals_last10,ref_home_win_rate_last10,b365_home_prob,b365_draw_prob,b365_away_prob,bw_home_prob,bw_draw_prob,bw_away_prob,max_home_prob,max_draw_prob,max_away_prob,avg_home_prob,avg_draw_prob,avg_away_prob,odds_gap_home_away,implied_prob_sum_b365,market_favorite_strength,market_entropy_b365,home_odds_dispersion,away_odds_dispersion,goals_for_diff_last5,goals_against_diff_last5,points_diff_last5,pass_accuracy_diff_last5,progressive_pass_rate_diff_last5,shots_diff_last5,shots_on_target_diff_last5,shot_accuracy_diff_last5,conversion_rate_diff_last5,big_chances_diff_last5,big_chance_rate_diff_last5,assisted_shot_rate_diff_last5,touches_per_shot_diff_last5,avg_shot_distance_diff_last5,avg_shot_angle_diff_last5,avg_score_diff_before_shot_diff_last5,result_code
11,22/08/2025,20:00,West Ham,Chelsea,1,5,A,1,3,A,M Oliver,12,12,4,7,7,10,7,5,0,1,0,0,4.75,3.8,1.73,4.6,3.9,1.72,5.0,4.0,1.76,4.68,3.88,1.71,6.0,-4,0.211,0.263,0.578,2025-08-22 20:00:00,0,0.0,3.0,0.0,0.8266666666666667,92.0,0.15333333333333332,12.0,10.0,0.8333333333333334,0.0,0.0,0.0,0.5833333333333334,734.0,61.166666666666664,17.723715200754764,0.41504343607561633,-1.0833333333333333,0.0,0.0,1.0,0.867741935483871,75.0,0.12096774193548387,19.0,12.0,0.631578947368421,0.0,2.0,0.10526315789473684,0.5263157894736842,768.0,40.421052631578945,16.973176139413955,0.48425007860140257,-0.21052631578947367,0.0,22.0,3.0,1.0,0.21052631578947367,0.2631578947368421,0.5780346820809249,0.2173913043478261,0.25641025641025644,0.5813953488372093,0.2,0.25,0.5681818181818182,0.2136752136752137,0.2577319587628866,0.5847953216374269,-3.02,1.0517188926072407,0.5496094879953717,0.997617846176437,0.17289206652321187,0.021602468994692887,0.0,3.0,-1.0,-0.04107526881720436,0.03236559139784945,-7.0,-2.0,0.20175438596491235,0.0,-2.0,-0.10526315789473684,0.05701754385964919,20.74561403508772,0.7505390613408096,-0.06920664252578623,-0.8728070175438596,2
12,23/08/2025,12:30,Man City,Tottenham,0,2,A,0,2,A,P Bankes,10,12,4,5,7,12,7,2,1,4,0,0,1.48,4.5,6.25,1.47,4.6,6.25,1.5,5.0,6.5,1.48,4.7,6.08,2.0,-2,0.676,0.222,0.16,2025-08-23 12:30:00,0,4.0,0.0,3.0,0.8872305140961857,58.0,0.09618573797678276,15.0,8.0,0.5333333333333333,0.26666666666666666,3.0,0.2,0.6,768.0,51.2,16.756423551685316,0.5519144284241758,1.4,3.0,0.0,3.0,0.853309481216458,93.0,0.16636851520572452,16.0,7.0,0.4375,0.1875,2.0,0.125,0.75,679.0,42.4375,13.937839108770019,0.589584560945093,1.625,3.0,22.0,4.0,1.0,0.6756756756756757,0.2222222222222222,0.16,0.6802721088435374,0.2173913043478261,0.16,0.6666666666666666,0.2,0.15384615384615385,0.6756756756756757,0.2127659574468085,0.16447368421052633,4.77,1.057897897897898,0.6386964914272737,0.8997922192661132,0.012583057392117928,0.1730125236314797,1.0,0.0,0.0,0.0339210328797277,-0.07018277722894176,-1.0,1.0,0.09583333333333333,0.07916666666666666,1.0,0.07500000000000001,-0.15000000000000002,8.762500000000003,2.818584442915297,-0.03767013252091722,-0.2250000000000001,2
13,23/08/2025,15:00,Bournemouth,Wolves,1,0,H,1,0,H,T Bramall,14,6,4,1,13,16,8,3,2,4,0,1,1.8,3.8,4.2,1.78,3.9,4.2,1.82,4.0,4.5,1.79,3.88,4.24,1.0,1,0.556,0.263,0.238,2025-08-23 15:00:00,1,2.0,4.0,0.0,0.6715542521994134,87.0,0.25513196480938416,10.0,6.0,0.6,0.2,3.0,0.3,0.8,523.0,52.3,14.83296007278401,0.482753633730616,-0.8,0.0,4.0,0.0,0.8027210884353742,83.0,0.18820861678004536,9.0,6.0,0.6666666666666666,0.0,0.0,0.0,0.7777777777777778,578.0,64.22222222222223,18.029342113656746,0.38371192938872145,-2.3333333333333335,,,,,0.5555555555555556,0.2631578947368421,0.23809523809523808,0.5617977528089888,0.25641025641025644,0.23809523809523808,0.5494505494505494,0.25,0.2222222222222222,0.5586592178770949,0.2577319587628866,0.23584905660377356,2.4000000000000004,1.0568086883876358,0.5256916996047432,1.0199988006534917,0.017078251276599347,0.1445683229480095,2.0,0.0,0.0,-0.1311668362359607,0.0669233480293388,1.0,0.0,-0.06666666666666665,0.2,3.0,0.3,0.022222222222222254,-11.922222222222231,-3.196382040872736,0.09904170434189458,1.5333333333333334,0
14,23/08/2025,15:00,Brentford,Aston Villa,1,0,H,1,0,H,T Harrington,9,17,2,2,11,9,2,9,1,2,0,0,3.1,3.6,2.2,3.1,3.5,2.2,3.2,3.66,2.3,3.11,3.53,2.21,1.0,1,0.323,0.278,0.455,2025-08-23 15:00:00,1,1.0,3.0,0.0,0.7576530612244898,100.0,0.25510204081632654,10.0,6.0,0.6,0.1,1.0,0.1,0.7,537.0,53.7,14.345634691518706,0.526035539820253,-2.2,0.0,0.0,1.0,0.7084548104956269,90.0,0.26239067055393583,3.0,3.0,1.0,0.0,1.0,0.3333333333333333,1.0,475.0,158.33333333333334,14.639565332837725,0.43826559997710596,0.0,,,,,0.3225806451612903,0.2777777777777778,0.45454545454545453,0.3225806451612903,0.2857142857142857,0.45454545454545453,0.3125,0.27322404371584696,0.4347826086956522,0.3215434083601286,0.28328611898017,0.45248868778280543,-0.8999999999999999,1.0549038774845227,0.43088803088803085,1.0764557398330783,0.04856267428111162,0.0485626742811114,1.0,3.0,-1.0,0.04919825072886297,-0.007288629737609298,7.0,3.0,-0.4,0.1,0.0,-0.2333333333333333,-0.30000000000000004,-104.63333333333334,-0.2939306413190188,0.08776993984314702,-2.2,0
15,23/08/2025,15:00,Burnley,Sunderland,2,0,H,0,0,D,M Salisbury,7,9,2,1,9,5,4,3,0,1,0,0,2.2,3.2,3.5,2.3,3.2,3.25,2.3,3.25,3.6,2.25,3.16,3.42,2.0,2,0.455,0.312,0.286,2025-08-23 15:00:00,1,0.0,3.0,0.0,0.7086330935251799,67.0,0.24100719424460432,14.0,7.0,0.5,0.0,0.0,0.0,0.8571428571428571,412.0,29.428571428571427,19.65695355440614,0.41937190857187473,-1.2857142857142858,3.0,0.0,3.0,0.7444444444444445,74.0,0.20555555555555555,10.0,6.0,0.6,0.3,2.0,0.2,0.7,497.0,49.7,13.078709137528875,0.44491424000878704,0.3,,,,,0.45454545454545453,0.3125,0.2857142857142857,0.4347826086956522,0.3125,0.3076923076923077,0.4347826086956522,0.3076923076923077,0.2777777777777778,0.4444444444444444,0.3164556962025316,0.29239766081871343,1.2999999999999998,1.0527597402597402,0.4317656129529684,1.0771064422966472,0.04787135538781674,0.14795832746644128,-3.0,3.0,-3.0,-0.03581135091926457,0.03545163868904877,4.0,1.0,-0.09999999999999998,-0.3,-2.0,-0.2,0.15714285714285714,-20.271428571428576,6.578244416877265,-0.025542331436912313,-1.5857142857142859,0
16,23/08/2025,17:30,Arsenal,Leeds,5,0,H,2,0,H,J Gillett,18,3,5,1,8,11,2,2,0,2,0,0,1.27,6.25,9.5,1.27,6.0,10.5,1.29,6.25,12.0,1.27,5.93,10.61,5.0,5,0.787,0.16,0.105,2025-08-23 17:30:00,1,1.0,0.0,3.0,0.7264437689969605,80.0,0.24316109422492402,9.0,6.0,0.6666666666666666,0.1111111111111111,1.0,0.1111111111111111,0.5555555555555556,502.0,55.77777777777778,18.666033984367406,0.6075517921080861,0.8888888888888888,1.0,0.0,3.0,0.801125703564728,76.0,0.1425891181988743,21.0,14.0,0.6666666666666666,0.047619047619047616,3.0,0.14285714285714285,0.5714285714285714,682.0,32.476190476190474,17.18312792575602,0.46763090244455374,0.09523809523809523,3.0,20.0,4.0,0.0,0.7874015748031495,0.16,0.10526315789473684,0.7874015748031495,0.16666666666666666,0.09523809523809523,0.7751937984496123,0.16,0.08333333333333333,0.7874015748031495,0.16863406408094436,0.09425070688030161,8.23,1.0526647326978864,0.7480079367578973,0.7337770273895728,0.010000000000000009,1.0277929428310613,0.0,0.0,0.0,-0.0746819345677675,0.10057197602604973,-12.0,-8.0,0.0,0.06349206349206349,-2.0,-0.031746031746031744,-0.015873015873015817,23.301587301587304,1.4829060586113876,0.13992088966353233,0.7936507936507936,0
17,24/08/2025,14:00,Crystal Palace,Nottingham Forest,1,1,D,1,0,H,A Taylor,8,9,4,1,11,11,1,3,3,3,0,0,2.35,3.3,3.1,2.35,3.3,3.0,2.4,3.3,3.2,2.35,3.26,3.07,2.0,0,0.426,0.303,0.323,2025-08-24 14:00:00,0,0.0,0.0,1.0,0.7159533073929961,64.0,0.2490272373540856,11.0,8.0,0.7272727272727273,0.0,1.0,0.09090909090909091,0.45454545454545453,413.0,37.54545454545455,26.4483276052541,0.3239635306155915,0.0,3.0,1.0,3.0,0.7844827586206896,84.0,0.1810344827586207,11.0,7.0,0.6363636363636364,0.2727272727272727,4.0,0.36363636363636365,0.8181818181818182,615.0,55.90909090909091,18.653535791057525,0.4346566737246331,1.7272727272727273,3.0,17.0,6.0,1.0,0.425531914893617,0.30303030303030304,0.3225806451612903,0.425531914893617,0.30303030303030304,0.3333333333333333,0.4166666666666667,0.30303030303030304,0.3125,0.425531914893617,0.3067484662576687,0.32573289902280134,0.75,1.0511428630852104,0.4048278591214879,1.0871719335207748,0.02499999999999991,0.08301606270274857,-3.0,-1.0,-2.0,-0.0685294512276935,0.06799275459546492,0.0,1.0,0.09090909090909094,-0.2727272727272727,-3.0,-0.2727272727272727,-0.3636363636363637,-18.36363636363636,7.794791814196575,-0.1106931431090416,-1.7272727272727273,1
18,24/08/2025,14:00,Everton,Brighton,2,0,H,1,0,H,S Attwell,11,13,3,4,7,15,2,2,4,3,0,0,3.1,3.3,2.3,2.95,3.3,2.4,3.25,3.4,2.4,3.08,3.3,2.32,2.0,2,0.323,0.303,0.435,2025-08-24 14:00:00,1,0.0,1.0,0.0,0.7790178571428571,87.0,0.19419642857142858,7.0,4.0,0.5714285714285714,0.0,1.0,0.14285714285714285,0.42857142857142855,608.0,86.85714285714286,14.568699013833495,0.5953471142391746,-0.42857142857142855,1.0,1.0,1.0,0.8603104212860311,80.0,0.17738359201773837,10.0,5.0,0.5,0.1,2.0,0.2,0.7,605.0,60.5,17.02998584902632,0.4350339052344764,0.4,,,,,0.3225806451612903,0.30303030303030304,0.4347826086956522,0.3389830508474576,0.30303030303030304,0.4166666666666667,0.3076923076923077,0.29411764705882354,0.4166666666666667,0.3246753246753247,0.30303030303030304,0.4310344827586207,-0.8000000000000003,1.0603935568872456,0.41002004008016035,1.0855206625474667,0.122882057274445,0.052599112793531716,-1.0,0.0,-1.0,-0.08129256414317398,0.016812836553690202,-3.0,-1.0,0.0714285714285714,-0.1,-1.0,-0.05714285714285716,-0.2714285714285714,26.35714285714286,-2.4612868351928263,0.16031320900469825,-0.8285714285714285,0
19,24/08/2025,16:30,Fulham,Man United,1,1,D,0,0,D,C Kavanagh,13,10,4,3,12,10,9,6,1,1,0,0,3.25,3.5,2.15,3.3,3.6,2.1,3.35,3.65,2.2,3.27,3.53,2.13,2.0,0,0.308,0.286,0.465,2025-08-24 16:30:00,0,1.0,1.0,1.0,0.8103448275862069,86.0,0.1853448275862069,7.0,3.0,0.42857142857142855,0.14285714285714285,1.0,0.14285714285714285,0.7142857142857143,588.0,84.0,14.195174398526722,0.4407796835682135,-0.42857142857142855,0.0,1.0,0.0,0.8148148148148148,92.0,0.1793372319688109,22.0,15.0,0.6818181818181818,0.0,0.0,0.0,0.7727272727272727,673.0,30.59090909090909,17.46068257338542,0.42658035535595606,-0.8181818181818182,2.0,14.0,1.0,1.0,0.3076923076923077,0.2857142857142857,0.46511627906976744,0.30303030303030304,0.2777777777777778,0.47619047619047616,0.29850746268656714,0.273972602739726,0.45454545454545453,0.3058103975535168,0.28328611898017,0.4694835680751174,-1.1,1.058522872476361,0.43940125543215836,1.0739775310602264,0.04349329450233299,0.042031734043061694,1.0,0.0,1.0,-0.004469987228607919,0.006007595617396,-15.0,-12.0,-0.2532467532467532,0.14285714285714285,1.0,0.14285714285714285,-0.058441558441558406,53.40909090909091,-3.265508174858697,0.014199328212257445,0.3896103896103897,1
20,25/08/2025,20:00,Newcastle,Liverpool,2,3,A,0,1,A,S Hooper,10,5,3,4,17,15,7,1,2,3,1,0,3.25,3.8,2.05,3.4,3.9,1.98,3.45,4.0,2.1,3.3,3.83,2.02,5.0,-1,0.308,0.263,0.488,2025-08-25 20:00:00,0,0.0,0.0,1.0,0.8092369477911646,79.0,0.15863453815261044,16.0,10.0,0.625,0.0,2.0,0.125,0.875,638.0,39.875,21.72189366700995,0.349078972680606,-0.125,4.0,2.0,3.0,0.8007448789571695,90.0,0.16759776536312848,19.0,12.0,0.631578947368421,0.21052631578947367,3.0,0.15789473684210525,0.7894736842105263,717.0,37.73684210526316,16.62017987332913,0.5078349022668919,0.7368421052631579,5.0,29.0,1.0,0.0,0.3076923076923077,0.2631578947368421,0.48780487804878053,0.29411764705882354,0.25641025641025644,0.5050505050505051,0.2898550724637681,0.25,0.47619047619047616,0.30303030303030304,0.2610966057441253,0.49504950495049505,-1.2000000000000002,1.0586550804779302,0.46077791250816164,1.0621849638776362,0.09128709291752776,0.050579969684978424,-4.0,-2.0,-2.0,0.008492068833995114,-0.008963227210518038,-3.0,-2.0,-0.006578947368421018,-0.21052631578947367,-1.0,-0.032894736842105254,0.08552631578947367,2.1381578947368425,5.101713793680823,-0.15875592958628587,-0.8618421052631579,2
