id,date,time,home_team,away_team,fthg,ftag,ftr,hthg,htag,htr,referee,hs,as_,hst,ast,hf,af,hc,ac,hy,ay,hr,ar,b365h,b365d,b365a,bwh,bwd,bwa,maxh,maxd,maxa,avgh,avgd,avga,total_goals,goal_diff,implied_prob_h,implied_prob_d,implied_prob_a,kickoff,home_win,home_goals_for_last5,home_goals_against_last5,home_points_last5,home_pass_accuracy_last5,home_progressive_passes_last5,home_progressive_pass_rate_last5,home_shots_last5,home_shots_on_target_last5,home_shot_accuracy_last5,home_conversion_rate_last5,home_big_chances_last5,home_big_chance_rate_last5,home_assisted_shot_rate_last5,home_touches_last5,home_touches_per_shot_last5,home_avg_shot_distance_last5,home_avg_shot_angle_last5,home_avg_score_diff_before_shot_last5,away_goals_for_last5,away_goals_against_last5,away_points_last5,away_pass_accuracy_last5,away_progressive_passes_last5,away_progressive_pass_rate_last5,away_shots_last5,away_shots_on_target_last5,away_shot_accuracy_last5,away_conversion_rate_last5,away_big_chances_last5,away_big_chance_rate_last5,away_assisted_shot_rate_last5,away_touches_last5,away_touches_per_shot_last5,away_avg_shot_distance_last5,away_avg_shot_angle_last5,away_avg_score_diff_before_shot_last5,ref_avg_yellows_last10,ref_avg_fouls_last10,ref_avg_goals_last10,ref_home_win_rate_last10,b365_home_prob,b365_draw_prob,b365_away_prob,bw_home_prob,bw_draw_prob,bw_away_prob,max_home_prob,max_draw_prob,max_away_prob,avg_home_prob,avg_draw_prob,avg_away_prob,odds_gap_home_away,implied_prob_sum_b365,market_favorite_strength,market_entropy_b365,home_odds_dispersion,away_odds_dispersion,goals_for_diff_last5,goals_against_diff_last5,points_diff_last5,pass_accuracy_diff_last5,progressive_pass_rate_diff_last5,shots_diff_last5,shots_on_target_diff_last5,shot_accuracy_diff_last5,conversion_rate_diff_last5,big_chances_diff_last5,big_chance_rate_diff_last5,assisted_shot_rate_diff_last5,touches_per_shot_diff_last5,avg_shot_distance_diff_last5,avg_shot_angle_diff_last5,avg_score_diff_before_shot_diff_last5,result_code
72,18/10/2025,15:00,Brighton,Newcastle,2,1,H,1,0,H,C Pawson,13,16,5,3,9,9,8,4,0,1,0,0,2.63,3.4,2.6,2.6,3.4,2.65,2.75,3.66,2.65,2.61,3.48,2.62,3.0,1,0.38,0.294,0.385,2025-10-18 15:00:00,1,1.8,1.4,1.6,0.7847184853412431,83.2,0.21298088124516443,12.2,7.4,0.6089743589743589,0.18504273504273505,2.4,0.22094017094017096,0.6829059829059829,566.4,52.40897435897436,17.557363472320986,0.46163309218440646,0.09615384615384617,0.8,0.4,1.6,0.7608305829293179,95.4,0.20460311624618263,10.8,7.4,0.6680555555555555,0.05972222222222222,1.8,0.11527777777777777,0.8416666666666666,626.6,76.05555555555556,18.592426753350686,0.4235579193281779,0.25972222222222224,2.25,25.75,2.0,0.5,0.3802281368821293,0.29411764705882354,0.3846153846153846,0.3846153846153846,0.29411764705882354,0.37735849056603776,0.36363636363636365,0.27322404371584696,0.37735849056603776,0.3831417624521073,0.28735632183908044,0.38167938931297707,-0.029999999999999805,1.0589611685563374,0.3632006498781478,1.0914271852113175,0.06946221994724903,0.02449489742783168,1.0,0.9999999999999999,0.0,0.023887902411925177,0.008377764998981796,1.3999999999999986,0.0,-0.05908119658119659,0.12532051282051282,0.5999999999999999,0.10566239316239319,-0.15876068376068364,-23.646581196581195,-1.0350632810297,0.03807517285622858,-0.16356837606837607,0
73,18/10/2025,15:00,Burnley,Leeds,2,0,H,1,0,H,T Robinson,4,19,3,4,10,7,1,5,2,1,0,0,3.25,3.25,2.25,3.2,3.25,2.3,3.45,3.33,2.3,3.3,3.25,2.26,2.0,2,0.308,0.308,0.444,2025-10-18 15:00:00,1,1.0,2.4,0.2,0.699354529480128,75.0,0.24794245326017342,7.6,5.4,0.6283982683982684,0.1969264069264069,1.0,0.13047619047619047,0.6444155844155844,490.0,78.24623376623376,15.817965734595196,0.54662571988488,0.11415584415584412,1.2,1.2,1.0,0.7977014113035045,88.4,0.1997621981754502,12.4,7.2,0.5811562998405104,0.15173444976076556,2.2,0.16164673046251993,0.6187360446570972,610.2,58.19667464114832,17.58244081133263,0.4398153891297941,-0.06736842105263159,,,,,0.3076923076923077,0.3076923076923077,0.4444444444444444,0.3125,0.3076923076923077,0.4347826086956522,0.2898550724637681,0.3003003003003003,0.4347826086956522,0.30303030303030304,0.3076923076923077,0.4424778761061947,-1.0,1.0598290598290598,0.4193548387096774,1.0825554612899229,0.10801234497346436,0.02629955639676578,-0.19999999999999996,1.2,-0.8,-0.09834688182337648,0.048180255084723206,-4.800000000000001,-1.7999999999999998,0.047241968557757974,0.04519195716564134,-1.2000000000000002,-0.03117053998632946,0.025679539758487246,20.049559125085437,-1.764475076737435,0.10681033075508584,0.1815242652084757,0
74,18/10/2025,15:00,Crystal Palace,Bournemouth,3,3,D,0,2,A,J Gillett,20,8,7,5,8,16,6,5,1,4,0,0,2.2,3.4,3.25,2.25,3.4,3.1,2.3,3.4,3.35,2.25,3.35,3.22,6.0,0,0.455,0.294,0.308,2025-10-18 15:00:00,0,1.6,0.8,2.0,0.7762365683345439,88.0,0.21674864400743074,13.8,8.8,0.6686904761904762,0.16055555555555556,4.6,0.3748015873015873,0.6487301587301587,578.6,48.94206349206349,14.834942111796504,0.6088045363393073,0.5998412698412698,1.6,0.8,2.2,0.7752064613641494,93.8,0.19757254431897428,13.4,9.0,0.6908857808857809,0.12864801864801864,1.2,0.08023310023310024,0.6381585081585082,661.2,53.018531468531464,18.883794160686403,0.38443403418346656,0.29666666666666663,3.0,18.6,3.4,0.2,0.45454545454545453,0.29411764705882354,0.3076923076923077,0.4444444444444444,0.29411764705882354,0.3225806451612903,0.4347826086956522,0.29411764705882354,0.29850746268656714,0.4444444444444444,0.29850746268656714,0.3105590062111801,1.0499999999999998,1.056355409296586,0.43029595015576316,1.0781419623301312,0.04082482904638616,0.10295630140987,0.0,0.0,-0.20000000000000018,0.0010301069703945176,0.01917609968845646,0.40000000000000036,-0.1999999999999993,-0.02219530469530473,0.03190753690753692,3.3999999999999995,0.29456848706848704,0.010571650571650548,-4.076467976467974,-4.0488520488898985,0.22437050215584076,0.3031746031746032,1
75,18/10/2025,15:00,Man City,Everton,2,0,H,0,0,D,T Harrington,19,5,7,1,8,14,11,3,0,2,0,0,1.4,5.0,7.0,1.41,4.8,7.25,1.41,5.25,9.0,1.38,4.92,7.91,2.0,2,0.714,0.2,0.143,2025-10-18 15:00:00,1,2.2,0.8,2.0,0.8414633515665603,69.0,0.13813594832040266,12.2,7.0,0.5723076923076923,0.1513919413919414,3.2,0.2791575091575092,0.8205128205128205,726.2,68.97289377289378,15.751589780096122,0.4580602863231059,0.40227106227106224,1.4,1.2,1.6,0.7701988685948605,85.6,0.19949545453588496,13.0,8.4,0.6596825396825398,0.12746031746031744,2.0,0.14714285714285713,0.8063492063492064,602.4,49.80777777777778,16.873066912197807,0.48287545256545406,-0.10015873015873011,5.0,19.0,1.6666666666666667,0.3333333333333333,0.7142857142857143,0.2,0.14285714285714285,0.7092198581560284,0.20833333333333334,0.13793103448275862,0.7092198581560284,0.19047619047619047,0.1111111111111111,0.7246376811594204,0.2032520325203252,0.1264222503160556,5.6,1.0571428571428572,0.6756756756756757,0.850365041637124,0.014142135623730965,0.8933457710576945,0.8000000000000003,-0.3999999999999999,0.3999999999999999,0.07126448297169974,-0.06135950621548231,-0.8000000000000007,-1.4000000000000004,-0.08737484737484746,0.023931623931623958,1.2000000000000002,0.13201465201465207,0.014163614163614113,19.165115995116004,-1.1214771321016848,-0.02481516624234814,0.5024297924297924,0
76,18/10/2025,15:00,Sunderland,Wolves,2,0,H,1,0,H,R Jones,8,16,2,3,5,12,3,2,0,0,0,0,2.5,3.0,3.1,2.45,3.1,3.1,2.5,3.15,3.25,2.46,3.07,3.13,2.0,2,0.4,0.333,0.323,2025-10-18 15:00:00,1,0.8,0.8,1.6,0.752603941523118,85.6,0.2217543794128997,10.2,5.2,0.49004329004329,0.06580086580086579,1.6,0.15216450216450217,0.6670995670995671,543.6,60.040800865800875,16.229372390877682,0.4586982799169304,-0.345021645021645,1.0,1.8,0.4,0.7822410031317693,96.4,0.2085074956298428,10.2,6.2,0.5888888888888889,0.06805555555555556,1.0,0.10138888888888889,0.6944444444444444,633.4,67.08333333333333,16.708092107724724,0.4580764258583372,-0.7583333333333333,3.0,18.75,2.75,0.75,0.4,0.3333333333333333,0.3225806451612903,0.4081632653061224,0.3225806451612903,0.3225806451612903,0.4,0.31746031746031744,0.3076923076923077,0.4065040650406504,0.32573289902280134,0.3194888178913738,0.6000000000000001,1.0559139784946237,0.3788187372708758,1.0939694464348932,0.02629955639676578,0.07141428428542847,-0.19999999999999996,-1.0,1.2000000000000002,-0.029637061608651205,0.013246883783056884,0.0,-1.0,-0.0988455988455989,-0.002254689754689773,0.6000000000000001,0.05077561327561328,-0.02734487734487734,-7.042532467532453,-0.47871971684704206,0.0006218540585932186,0.4133116883116883,0
77,18/10/2025,17:30,Fulham,Arsenal,0,1,A,0,0,D,A Taylor,9,16,0,5,11,4,6,10,0,0,0,0,5.75,4.1,1.55,6.0,4.1,1.55,6.5,4.4,1.57,6.14,4.13,1.54,1.0,-1,0.174,0.244,0.645,2025-10-18 17:30:00,0,1.2,1.8,1.2,0.8103575848704734,80.2,0.16494751387068632,10.6,6.4,0.6000865800865801,0.06341991341991342,1.8,0.19406926406926409,0.7580519480519481,639.4,68.79748917748918,16.720371484625552,0.49349437292834314,-0.36558441558441557,1.6,0.6,2.0,0.8264111911626397,76.0,0.142610772519487,16.0,10.2,0.6337878787878788,0.09321428571428572,2.6,0.1519047619047619,0.6194805194805195,685.4,45.20696969696969,15.201438203779134,0.49697010652894413,-0.1266017316017316,3.0,19.166666666666668,3.5,0.6666666666666666,0.17391304347826086,0.24390243902439027,0.6451612903225806,0.16666666666666666,0.24390243902439027,0.6451612903225806,0.15384615384615385,0.22727272727272727,0.6369426751592356,0.16286644951140067,0.24213075060532688,0.6493506493506493,-4.2,1.0629767728252317,0.6069382763725301,0.9370067357498592,0.31308944408906536,0.012583057392117928,-0.40000000000000013,1.2000000000000002,-0.8,-0.016053606292166345,0.022336741351199313,-5.4,-3.799999999999999,-0.033701298701298676,-0.029794372294372304,-0.8,0.04216450216450218,0.13857142857142857,23.59051948051949,1.5189332808464187,-0.0034757336006009942,-0.23898268398268396,2
78,19/10/2025,14:00,Tottenham,Aston Villa,1,2,A,1,1,D,S Hooper,9,8,3,2,11,7,6,6,2,0,0,0,2.05,3.5,3.5,2.05,3.6,3.4,2.15,3.7,3.5,2.06,3.56,3.42,3.0,-1,0.488,0.286,0.286,2025-10-19 14:00:00,0,1.6,1.0,1.6,0.8081678806773264,94.8,0.1884576347255145,9.8,5.4,0.5248773448773448,0.12548340548340547,1.2,0.10715728715728716,0.71007215007215,674.0,77.50271284271284,16.799862963828218,0.4505953344543306,-0.2607503607503608,1.2,1.2,1.6,0.844382484589423,75.6,0.1504465391138366,11.2,7.0,0.6483516483516483,0.10999999999999999,1.6,0.14076923076923076,0.6914652014652015,652.8,61.112930402930395,18.782837440139097,0.4111888319370049,-0.10803418803418804,5.166666666666667,27.666666666666668,2.5,0.16666666666666666,0.48780487804878053,0.2857142857142857,0.2857142857142857,0.48780487804878053,0.2777777777777778,0.29411764705882354,0.46511627906976744,0.27027027027027023,0.2857142857142857,0.4854368932038835,0.2808988764044944,0.29239766081871343,1.4500000000000002,1.059233449477352,0.4605263157894737,1.0639622549699055,0.04856267428111157,0.052599112793531716,0.40000000000000013,-0.19999999999999996,0.0,-0.03621460391209663,0.0380110956116779,-1.3999999999999986,-1.5999999999999996,-0.12347430347430344,0.015483405483405488,-0.40000000000000013,-0.0336119436119436,0.018606948606948448,16.389782439782444,-1.9829744763108792,0.03940650251732569,-0.15271617271617274,2
79,19/10/2025,16:30,Liverpool,Man United,1,2,A,0,1,A,M Oliver,19,12,6,4,8,14,9,4,0,2,0,0,1.6,4.5,5.0,1.61,4.4,4.8,1.62,4.7,5.1,1.6,4.4,4.89,3.0,-1,0.625,0.222,0.2,2025-10-19 16:30:00,0,1.2,1.0,1.8,0.8407248510467362,89.4,0.15578015680050972,15.8,9.4,0.6261952861952862,0.09265993265993266,3.0,0.17707070707070707,0.7250505050505051,750.4,52.5840404040404,17.872561540730636,0.42957008582446765,-0.07171717171717173,1.6,1.8,1.8,0.7859695121267628,86.8,0.1752649421623993,15.6,8.6,0.5616450216450216,0.0927006327006327,3.2,0.2191242091242091,0.6804828504828505,645.8,44.69710622710623,15.295927745079243,0.5511050542484012,-0.5911555111555111,2.1666666666666665,21.833333333333332,3.8333333333333335,0.3333333333333333,0.625,0.2222222222222222,0.2,0.6211180124223602,0.22727272727272727,0.20833333333333334,0.6172839506172839,0.2127659574468085,0.19607843137254904,0.625,0.22727272727272727,0.20449897750511248,3.4,1.0472222222222223,0.5968169761273209,0.953187675938565,0.00957427107756339,0.13047988350699888,-0.40000000000000013,-0.8,0.0,0.05475533891997342,-0.01948478536188958,0.20000000000000107,0.8000000000000007,0.06455026455026458,-4.0700040700031304e-05,-0.20000000000000018,-0.04205350205350203,0.04456765456765455,7.886934176934169,2.576633795651393,-0.12153496842393352,0.5194383394383394,2
80,20/10/2025,20:00,West Ham,Brentford,0,2,A,0,1,A,A Madley,7,22,1,7,10,10,6,10,1,1,0,0,2.5,3.25,2.88,2.5,3.3,2.8,2.5,3.55,2.95,2.46,3.37,2.82,2.0,-2,0.4,0.308,0.347,2025-10-20 20:00:00,0,1.0,1.6,0.8,0.7887936833221343,70.4,0.17845787835065235,9.0,5.2,0.5261904761904763,0.08928571428571427,1.8,0.2345238095238095,0.8976190476190476,559.8,72.2702380952381,13.87637296650369,0.5599485646245772,-0.33452380952380956,1.4,1.8,0.8,0.7564721680601708,82.8,0.21849844013614614,7.8,5.8,0.7212698412698413,0.19015873015873014,2.2,0.2612698412698412,0.6965079365079365,528.4,69.2095238095238,13.964292414186593,0.5736544909515761,-0.1015873015873016,5.0,23.0,4.0,1.0,0.4,0.3076923076923077,0.3472222222222222,0.4,0.30303030303030304,0.35714285714285715,0.4,0.28169014084507044,0.3389830508474576,0.4065040650406504,0.29673590504451036,0.3546099290780142,0.3799999999999999,1.05491452991453,0.3791776382418473,1.092849798524941,0.020000000000000018,0.06751543033509713,-0.3999999999999999,-0.19999999999999996,0.0,0.032321515261963474,-0.04004056178549378,1.2000000000000002,-0.5999999999999996,-0.19507936507936496,-0.10087301587301586,-0.40000000000000013,-0.026746031746031712,0.20111111111111113,3.0607142857142975,-0.0879194476829035,-0.013705926326998852,-0.23293650793650794,2
81,24/10/2025,20:00,Leeds,West Ham,2,1,H,2,0,H,S Attwell,13,9,5,3,12,11,3,4,3,3,0,0,1.8,3.5,4.75,1.8,3.6,4.5,1.83,3.65,5.0,1.81,3.57,4.59,3.0,1,0.556,0.286,0.211,2025-10-24 20:00:00,1,1.2,1.6,0.8,0.8079654892718203,85.0,0.18137407271920494,14.2,7.8,0.5748405103668262,0.15173444976076556,3.0,0.19427830940988836,0.6071570972886763,655.4,54.92930622009569,15.896073668845862,0.49284093499575315,-0.35263157894736846,0.4,2.0,0.2,0.7726399735970382,73.2,0.18734466522620657,8.0,4.4,0.5071428571428571,0.039285714285714285,1.0,0.16785714285714287,0.8285714285714285,553.2,78.30357142857143,15.717542952499628,0.5226676915459147,-0.5892857142857143,5.0,21.6,2.6,0.4,0.5555555555555556,0.2857142857142857,0.21052631578947367,0.5555555555555556,0.2777777777777778,0.2222222222222222,0.5464480874316939,0.273972602739726,0.2,0.5524861878453039,0.2801120448179272,0.2178649237472767,2.95,1.0517961570593148,0.5281969817315331,1.0131486621901513,0.014142135623730965,0.21924111536540467,0.7999999999999999,-0.3999999999999999,0.6000000000000001,0.03532551567478215,-0.005970592507001632,6.199999999999999,3.3999999999999995,0.06769765322396903,0.11244873547505127,2.0,0.026421166552745484,-0.22141433128275223,-23.37426520847574,0.1785307163462342,-0.029826756550161593,0.23665413533834584,0
82,25/10/2025,15:00,Chelsea,Sunderland,1,2,A,1,1,D,A Madley,16,10,7,4,15,13,9,1,1,1,0,0,1.36,4.75,9.0,1.38,5.0,8.0,1.42,5.25,9.5,1.37,4.99,8.31,3.0,-1,0.735,0.211,0.111,2025-10-25 15:00:00,0,1.8,1.6,1.4,0.8418631935219952,77.8,0.1424928123272509,12.6,8.8,0.6837066365007541,0.14901206636500755,2.2,0.17616138763197586,0.7521380090497738,707.0,68.88824660633483,17.637714802911383,0.4481587000205942,0.015067873303167367,0.8,0.6,1.6,0.7355416618521428,83.6,0.2263959775327587,9.4,5.0,0.51504329004329,0.057467532467532466,1.6,0.16883116883116883,0.7587662337662338,526.0,62.86580086580087,16.275613376324408,0.4502875749197101,-0.18668831168831165,3.5,21.5,3.0,0.5,0.7352941176470588,0.21052631578947367,0.1111111111111111,0.7246376811594204,0.2,0.125,0.7042253521126761,0.19047619047619047,0.10526315789473684,0.7299270072992701,0.2004008016032064,0.12033694344163658,7.64,1.0569315445476435,0.6956875508543532,0.8106300191352939,0.02629955639676576,0.6762827318018206,1.0,1.0,-0.20000000000000018,0.10632153166985248,-0.08390316520550781,3.1999999999999993,3.8000000000000007,0.16866334645746417,0.09154453389747508,0.6000000000000001,0.007330218800807031,-0.006628224716459963,6.022445740533961,1.3621014265869746,-0.0021288748991158957,0.20175618499147902,2
83,25/10/2025,15:00,Newcastle,Fulham,2,1,H,1,0,H,P Bankes,18,12,7,5,11,18,4,3,0,2,0,0,1.62,3.9,5.5,1.63,4.0,5.25,1.64,4.1,6.0,1.62,3.97,5.44,3.0,1,0.617,0.256,0.182,2025-10-25 15:00:00,1,1.0,0.8,1.4,0.7618996477684615,87.8,0.1941592677331519,12.4,8.0,0.6430555555555555,0.07222222222222222,2.0,0.12777777777777777,0.8041666666666666,622.4,66.73055555555557,17.775587348257098,0.46052300338939123,0.13472222222222224,1.2,1.6,1.2,0.7995046995671403,82.8,0.18229880787803837,10.2,6.0,0.5758441558441558,0.06341991341991342,1.4,0.1577056277056277,0.7721933621933622,618.0,68.88839826839828,17.56239569542611,0.4443725403222317,-0.205988455988456,4.5,25.0,2.3333333333333335,0.6666666666666666,0.6172839506172839,0.25641025641025644,0.18181818181818182,0.6134969325153374,0.25,0.19047619047619047,0.6097560975609756,0.24390243902439027,0.16666666666666666,0.6172839506172839,0.2518891687657431,0.1838235294117647,3.88,1.0555123888457223,0.5848192376901684,0.9604263593683768,0.009574271077563274,0.31993488920924723,-0.19999999999999996,-0.8,0.19999999999999996,-0.03760505179867879,0.011860459855113525,2.200000000000001,2.0,0.06721139971139967,0.008802308802308798,0.6000000000000001,-0.029927849927849942,0.031973304473304376,-2.157842712842708,0.2131916528309894,0.016150463067159504,0.34071067821067824,0
84,25/10/2025,17:30,Man United,Brighton,4,2,H,2,0,H,A Taylor,13,17,9,5,4,13,1,6,2,2,0,0,1.95,3.8,3.5,2.0,3.75,3.4,2.05,4.0,3.6,2.0,3.83,3.45,6.0,2,0.513,0.263,0.286,2025-10-25 17:30:00,1,1.4,1.6,1.8,0.7593165875085479,91.2,0.2097608084655666,12.8,7.4,0.5783116883116883,0.11064935064935064,3.4,0.27168831168831165,0.6843290043290043,603.0,47.48428571428572,15.51772416745823,0.5450946019783249,-0.23346320346320343,1.8,1.4,1.6,0.793747486845216,84.2,0.20343936707360824,12.4,7.4,0.5961538461538461,0.18247863247863244,2.0,0.18632478632478633,0.6867521367521368,593.8,53.90512820512821,18.320429526065688,0.4393110998418024,0.2230769230769231,2.5714285714285716,18.571428571428573,3.142857142857143,0.5714285714285714,0.5128205128205129,0.2631578947368421,0.2857142857142857,0.5,0.26666666666666666,0.29411764705882354,0.48780487804878053,0.25,0.2777777777777778,0.5,0.2610966057441253,0.2898550724637681,1.55,1.0616926932716408,0.483021608861449,1.0504759742266838,0.04082482904638625,0.0853912563829967,-0.40000000000000013,0.20000000000000018,0.19999999999999996,-0.0344308993366681,0.006321441391958366,0.40000000000000036,0.0,-0.017842157842157813,-0.0718292818292818,1.4,0.08536352536352532,-0.0024231324231324125,-6.420842490842489,-2.802705358607458,0.10578350213652254,-0.45654012654012655,0
85,25/10/2025,20:00,Brentford,Liverpool,3,2,H,2,1,H,S Hooper,17,18,8,5,7,10,5,4,3,2,0,0,4.1,4.2,1.75,4.33,4.2,1.71,4.5,4.2,1.78,4.28,4.13,1.73,5.0,1,0.244,0.238,0.571,2025-10-25 20:00:00,1,1.6,1.4,1.4,0.7636620186473693,84.4,0.21166213835917908,10.8,7.2,0.6875036075036075,0.17976911976911975,3.0,0.25867243867243866,0.7640404040404041,550.2,59.58354978354979,13.818984764689228,0.5715900478735441,-0.028860028860028874,1.2,1.4,1.2,0.8339915584010236,92.0,0.15352428252525793,17.8,9.6,0.55485025695552,0.08096402622718413,4.2,0.24022860180754915,0.7589686337054757,771.6,46.53023923444976,16.45326911627568,0.4643563564790589,-0.2272727272727273,4.714285714285714,26.285714285714285,2.5714285714285716,0.14285714285714285,0.24390243902439027,0.23809523809523808,0.5714285714285714,0.23094688221709006,0.23809523809523808,0.5847953216374269,0.2222222222222222,0.23809523809523808,0.5617977528089888,0.2336448598130841,0.24213075060532688,0.5780346820809249,-2.3499999999999996,1.0534262485481998,0.5424476295479603,1.0066571626969913,0.1645954636879969,0.02986078811194822,0.40000000000000013,0.0,0.19999999999999996,-0.0703295397536543,0.05813785583392114,-7.0,-2.3999999999999995,0.13265335054808747,0.09880509354193562,-1.2000000000000002,0.018443836864889512,0.005071770334928338,13.053310549100033,-2.6342843515864534,0.10723369139448519,0.19841269841269843,0
86,26/10/2025,14:00,Arsenal,Crystal Palace,1,0,H,1,0,H,T Bramall,10,7,3,1,6,11,4,3,0,0,0,0,1.4,4.75,7.5,1.41,4.75,7.5,1.44,4.75,8.7,1.41,4.6,7.76,1.0,1,0.714,0.211,0.133,2025-10-26 14:00:00,1,1.8,0.4,2.6,0.8354226967917379,80.6,0.14022057086168666,17.0,10.4,0.6008333333333333,0.10571428571428572,3.2,0.1894047619047619,0.6910714285714284,725.0,44.630833333333335,14.40546597829678,0.5317159359832925,-0.02773809523809524,1.6,1.4,1.6,0.7585164705867069,91.4,0.22193654441031035,16.6,10.6,0.6420238095238096,0.09055555555555556,5.2,0.31146825396825395,0.6353968253968254,589.0,36.232063492063496,15.079112803704245,0.5543418292713307,0.0765079365079365,3.75,23.0,1.5,0.25,0.7142857142857143,0.21052631578947367,0.13333333333333333,0.7092198581560284,0.21052631578947367,0.13333333333333333,0.6944444444444444,0.21052631578947367,0.1149425287356322,0.7092198581560284,0.2173913043478261,0.1288659793814433,6.1,1.0581453634085214,0.6750355281856939,0.8475446632088768,0.017320508075688787,0.5699999999999996,0.19999999999999996,-0.9999999999999999,1.0,0.07690622620503096,-0.0817159735486237,0.3999999999999986,-0.1999999999999993,-0.04119047619047622,0.015158730158730163,-2.0,-0.12206349206349204,0.05567460317460304,8.39876984126984,-0.6736468254074648,-0.022625893288038212,-0.10424603174603174,0
87,26/10/2025,14:00,Aston Villa,Man City,1,0,H,1,0,H,M Oliver,9,18,3,4,8,16,5,6,1,4,0,0,4.33,3.8,1.8,4.0,3.75,1.85,4.33,4.0,1.89,4.08,3.8,1.83,1.0,1,0.231,0.263,0.556,2025-10-26 14:00:00,1,1.6,0.8,2.2,0.8331214406946021,72.6,0.15742601742963713,10.2,6.8,0.6714285714285714,0.15999999999999998,1.2,0.10999999999999999,0.6626190476190477,617.6,63.65523809523809,19.788964265953613,0.3874957440958702,0.14388888888888887,2.4,0.4,2.6,0.8473705588469699,70.4,0.1343759999812033,13.6,9.0,0.6530094466936573,0.1557779063042221,3.8,0.2923154038943513,0.8661268556005398,769.0,66.66938500096394,15.964019299022056,0.4324892636241408,0.5601657991131676,2.142857142857143,21.857142857142858,3.7142857142857144,0.2857142857142857,0.23094688221709006,0.2631578947368421,0.5555555555555556,0.25,0.26666666666666666,0.5405405405405405,0.23094688221709006,0.25,0.5291005291005292,0.24509803921568626,0.2631578947368421,0.5464480874316939,-2.5300000000000002,1.0496603325094878,0.5292717447246527,1.0167155280762232,0.17058722109231983,0.03774917217635369,-0.7999999999999998,0.4,-0.3999999999999999,-0.014249118152367735,0.023050017448433824,-3.4000000000000004,-2.2,0.018419124734914027,0.004222093695777862,-2.5999999999999996,-0.1823154038943513,-0.20350780798149215,-3.014146905725852,3.8249449669315574,-0.04499351952827063,-0.4162769102242787,0
88,26/10/2025,14:00,Bournemouth,Nottingham Forest,2,0,H,2,0,H,S Barrott,13,8,5,4,17,7,6,4,3,1,0,0,1.8,3.8,4.33,1.8,3.75,4.2,1.81,3.95,4.6,1.79,3.79,4.29,2.0,2,0.556,0.263,0.231,2025-10-26 14:00:00,1,2.0,1.4,1.8,0.7908691119665591,92.0,0.18375326721054053,11.0,7.8,0.7058857808857809,0.19364801864801864,1.2,0.12523310023310025,0.6331585081585082,673.6,62.44353146853147,18.647546924497806,0.46320109123826947,0.29166666666666663,0.2,2.0,0.2,0.8340007689341838,85.6,0.15907257343671938,12.2,7.8,0.6722281639928698,0.011764705882352941,1.4,0.09928698752228164,0.8083957219251336,693.6,76.41885918003564,17.84449257693993,0.41972459219398794,-1.0709625668449196,5.5,23.5,2.75,0.25,0.5555555555555556,0.2631578947368421,0.23094688221709006,0.5555555555555556,0.26666666666666666,0.23809523809523808,0.5524861878453039,0.2531645569620253,0.2173913043478261,0.5586592178770949,0.2638522427440633,0.2331002331002331,2.5300000000000002,1.0496603325094878,0.5292717447246527,1.016715528076223,0.008164965809277268,0.1721433511156712,1.8,-0.6000000000000001,1.6,-0.043131656967624776,0.02468069377382115,-1.1999999999999993,0.0,0.033657616892911135,0.18188331276566572,-0.19999999999999996,0.025946112710818606,-0.1752372137666255,-13.975327711504171,0.8030543475578753,0.043476499044281525,1.3626292335115862,0
89,26/10/2025,14:00,Wolves,Burnley,2,3,A,2,2,D,T Harrington,15,11,7,7,12,7,5,3,1,0,0,0,1.95,3.3,4.2,1.98,3.3,4.0,2.0,3.4,4.25,1.97,3.3,4.06,5.0,-1,0.513,0.303,0.238,2025-10-26 14:00:00,0,0.6,1.6,0.4,0.7838066420665815,93.4,0.20600787436033818,11.2,6.2,0.5447712418300654,0.046486928104575165,0.6,0.06805555555555556,0.662091503267974,624.8,63.00882352941176,16.9746307104637,0.4337866405645535,-0.6779411764705883,1.0,1.8,0.8,0.7090037235746695,69.4,0.23452785214951383,7.0,4.8,0.606969696969697,0.21121212121212118,0.8,0.12333333333333334,0.7372727272727273,483.4,87.7390909090909,18.361107827156907,0.4607710663798345,0.042727272727272725,4.25,19.75,1.75,0.5,0.5128205128205129,0.30303030303030304,0.23809523809523808,0.5050505050505051,0.30303030303030304,0.25,0.5,0.29411764705882354,0.23529411764705882,0.5076142131979695,0.30303030303030304,0.24630541871921185,2.25,1.0539460539460541,0.48657187993680884,1.0449621562184188,0.020816659994661348,0.11701139545645411,-0.4,-0.19999999999999996,-0.4,0.07480291849191201,-0.028519977789175643,4.199999999999999,1.4000000000000004,-0.062198455139631625,-0.16472519310754602,-0.20000000000000007,-0.05527777777777777,-0.07518122400475336,-24.730267379679148,-1.3864771166932073,-0.026984425815280988,-0.720668449197861,2
