mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
0.5197027683258056,0.35755709785035955,0.007279253005981446,0.004461952406129445,0.01,{'model__alpha': 0.01},0.39473684210526316,0.39473684210526316,0.5263157894736842,0.4473684210526316,0.3157894736842105,0.41578947368421054,0.06942582083301536,8,0.4038781163434903,0.40789473684210525,0.48775785617890877,0.4067492260061919,0.28951791242812913,0.39915956955976506,0.06328841929862779,8
0.4072580337524414,0.22567340940053598,0.004648351669311523,0.0024247238211595355,0.1,{'model__alpha': 0.1},0.39473684210526316,0.5526315789473685,0.47368421052631576,0.47368421052631576,0.39473684210526316,0.45789473684210524,0.05907880084379909,3,0.4038781163434903,0.5557866999514596,0.4218237902448429,0.44429404851842524,0.35685158843053577,0.43652684869775077,0.06620197620157459,2
0.409486198425293,0.24339043995019066,0.0062119483947753905,0.002982826745403491,1.0,{'model__alpha': 1.0},0.39473684210526316,0.5526315789473685,0.5,0.5263157894736842,0.3684210526315789,0.46842105263157896,0.0733073067220217,1,0.3825910931174089,0.5492735884199883,0.46196741854636586,0.501296720061022,0.3214741659641093,0.4433205972217789,0.08181637560760388,1
0.37300262451171873,0.21817740578457107,0.0039616584777832035,0.001552602235614887,5.0,{'model__alpha': 5.0},0.42105263157894735,0.42105263157894735,0.5526315789473685,0.5263157894736842,0.2631578947368421,0.43684210526315786,0.1020564180508701,7,0.4132977370963641,0.4294827979038505,0.5149122807017544,0.501296720061022,0.1855263157894737,0.40890317031049295,0.118418370151148,6
0.3710651397705078,0.22626466099557754,0.004723548889160156,0.003042540809965052,10.0,{'model__alpha': 10.0},0.42105263157894735,0.42105263157894735,0.5526315789473685,0.5526315789473685,0.23684210526315788,0.436842105263158,0.11602846150025584,6,0.42392164622081513,0.43316542698427646,0.486651411136537,0.5204334365325077,0.17192982456140352,0.40722034908710797,0.12283338968850417,7
0.4548981189727783,0.30437870384738497,0.008046483993530274,0.006278426725334331,25.0,{'model__alpha': 25.0},0.42105263157894735,0.47368421052631576,0.5526315789473685,0.5526315789473685,0.23684210526315788,0.4473684210526316,0.1165049664272561,4,0.4272844272844273,0.4711779448621554,0.4899105471187852,0.5197994987468672,0.17192982456140352,0.41602044851472775,0.1256815796063736,3
0.4057626247406006,0.24838669950221526,0.0029035091400146486,0.0031716977919617594,50.0,{'model__alpha': 50.0},0.39473684210526316,0.5526315789473685,0.5263157894736842,0.5263157894736842,0.23684210526315788,0.4473684210526316,0.11885883990143385,4,0.3882432325156784,0.5342444457007179,0.4772993088782562,0.4822582772721276,0.17192982456140352,0.41079501778563665,0.12832360889223682,4
0.3990959167480469,0.24943267293862562,0.003465557098388672,0.0030025430388061244,100.0,{'model__alpha': 100.0},0.39473684210526316,0.5526315789473685,0.5263157894736842,0.5263157894736842,0.2894736842105263,0.4578947368421053,0.10069013931425784,2,0.37317828286642,0.5342444457007179,0.4772993088782562,0.4660664819944598,0.19845956354300387,0.4098496165965716,0.11765577903311536,5
