mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__weight_decay,param_model__patience,param_model__learning_rate,param_model__hidden_layers,param_model__epochs,param_model__dropout,param_model__batch_size,param_model__batch_norm,param_model__activation,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse
0.15578289031982423,0.05463403572718932,0.004414081573486328,0.0010657463563336002,0.0,10,0.0005,"(256, 128, 64)",100,0.0,128,False,gelu,"{'model__weight_decay': 0.0, 'model__patience': 10, 'model__learning_rate': 0.0005, 'model__hidden_layers': (256, 128, 64), 'model__epochs': 100, 'model__dropout': 0.0, 'model__batch_size': 128, 'model__batch_norm': False, 'model__activation': 'gelu'}",-0.054877081833941244,0.17088995463129875,0.054061092817074274,0.03414341534090515,0.14503496759176548,0.06985046970942048,0.08117012566631326,2,-0.6472254431746647,-0.6685584158655177,-0.6960992706752067,-0.587043138211668,-0.6648474695575209,-0.6527547474969155,0.03639595128977487,2,-0.7922247574896873,-0.8493124251520904,-0.8453822096657907,-0.7245362222864471,-0.8666633972415823,-0.8156238023671196,0.051903735705977734,2
0.37403111457824706,0.15447504840330264,0.005531597137451172,0.0028740054555408926,0.0,14,0.0005,"(128, 64, 32)",100,0.1,32,False,relu,"{'model__weight_decay': 0.0, 'model__patience': 14, 'model__learning_rate': 0.0005, 'model__hidden_layers': (128, 64, 32), 'model__epochs': 100, 'model__dropout': 0.1, 'model__batch_size': 32, 'model__batch_norm': False, 'model__activation': 'relu'}",-0.01506690794618315,0.13928424916153648,-0.04976928283390536,-0.09170226468141762,0.20002795283854558,0.036554749307715184,0.11299852571877535,6,-0.6294263906093583,-0.6897508694356176,-0.7216136035568994,-0.6499085087500164,-0.6539935992878622,-0.6689385943279509,0.03272466552610847,10,-0.7771320434264536,-0.865348936850993,-0.8905708797360269,-0.7702928834030904,-0.838327445649782,-0.8283344378132693,0.04761053513064478,6
0.3516673564910889,0.17712708675884015,0.0062920570373535155,0.002660877664876205,0.01,10,0.0003,"(64, 32)",100,0.3,128,True,relu,"{'model__weight_decay': 0.01, 'model__patience': 10, 'model__learning_rate': 0.0003, 'model__hidden_layers': (64, 32), 'model__epochs': 100, 'model__dropout': 0.3, 'model__batch_size': 128, 'model__batch_norm': True, 'model__activation': 'relu'}",0.004589748292567863,0.08123335685169675,0.13539273285502873,-0.21487510332659587,0.12065594152327819,0.02539933523919513,0.12841701699249697,9,-0.5947843722664766,-0.6774943536914284,-0.6734742584638065,-0.7038582629930055,-0.6808562867286319,-0.6660935068286697,0.03718484625334108,8,-0.7695707212280979,-0.8940545111094439,-0.8082226193064663,-0.8125864870593716,-0.8789328476582009,-0.8326734372723161,0.046670869104533094,9
0.4775082111358643,0.20235973863143708,0.0037433624267578123,0.001712392128633615,0.0,18,0.0005,"(64, 32)",80,0.1,32,True,relu,"{'model__weight_decay': 0.0, 'model__patience': 18, 'model__learning_rate': 0.0005, 'model__hidden_layers': (64, 32), 'model__epochs': 80, 'model__dropout': 0.1, 'model__batch_size': 32, 'model__batch_norm': True, 'model__activation': 'relu'}",0.009570836344617306,0.09011532556772739,0.08731462738236095,-0.13385804146203628,0.1079786275461676,0.032224275075767396,0.08969008497648565,7,-0.5931319027715783,-0.6866213321766362,-0.6932180346087564,-0.6643554162307048,-0.6935352364608766,-0.6661723844497105,0.03804356887341526,9,-0.7676428191067893,-0.8897224810683372,-0.8303899894636989,-0.7850243394659775,-0.8852458685338512,-0.8316050995277309,0.05003474623449165,7
0.15383267402648926,0.05281220182050096,0.0062844276428222655,0.0020551574556289206,0.0,14,0.002,"(64, 32)",80,0.3,128,False,gelu,"{'model__weight_decay': 0.0, 'model__patience': 14, 'model__learning_rate': 0.002, 'model__hidden_layers': (64, 32), 'model__epochs': 80, 'model__dropout': 0.3, 'model__batch_size': 128, 'model__batch_norm': False, 'model__activation': 'gelu'}",0.0029966134330039473,0.1650608206707862,0.10049545951627958,-0.1752275205233853,0.17884610026168346,0.05443429467167358,0.13055921334133497,5,-0.594532376959216,-0.6658250936656719,-0.6697123454208027,-0.6912514545684626,-0.6479294382877869,-0.653850141780388,0.0327032693426312,3,-0.7701863165435244,-0.8522927802315612,-0.8243720140552627,-0.7992170795176526,-0.8493536519024306,-0.8190843684500863,0.031089277828839725,4
0.3557797908782959,0.18369053213077022,0.004596042633056641,0.004647325657682886,0.0001,10,0.0003,"(128, 64, 32)",100,0.1,128,True,gelu,"{'model__weight_decay': 0.0001, 'model__patience': 10, 'model__learning_rate': 0.0003, 'model__hidden_layers': (128, 64, 32), 'model__epochs': 100, 'model__dropout': 0.1, 'model__batch_size': 128, 'model__batch_norm': True, 'model__activation': 'gelu'}",-0.014376749004713973,0.1278729172715456,-0.16170959445626187,-0.02167919712126043,0.09915639180600799,0.005852753699063462,0.10279967978275836,10,-0.6319482220780863,-0.6617536986309426,-0.7495923404524282,-0.6129274649045348,-0.6722128106717373,-0.6656869073475459,0.04694685697707992,7,-0.7768678067429242,-0.8710664279216945,-0.9368506187894643,-0.7451797682128654,-0.8896127103609546,-0.8439154664055806,0.07170283415434078,10
0.25124144554138184,0.10530105907069261,0.006670808792114258,0.003967956493045012,0.001,10,0.0003,"(256, 128, 64)",80,0.1,128,False,gelu,"{'model__weight_decay': 0.001, 'model__patience': 10, 'model__learning_rate': 0.0003, 'model__hidden_layers': (256, 128, 64), 'model__epochs': 80, 'model__dropout': 0.1, 'model__batch_size': 128, 'model__batch_norm': False, 'model__activation': 'gelu'}",-0.05474250238763667,0.16912353385285994,0.06720629531255717,0.010534160729829711,0.12930836258277822,0.06428597001807768,0.0803546997635779,3,-0.647190953456742,-0.665425674849525,-0.6858794867982531,-0.6019366495218877,-0.6731773763680561,-0.6547220281988928,0.02921974826340623,4,-0.7921742205258199,-0.8502166747784283,-0.839487749823352,-0.7333379875553707,-0.874597970450944,-0.817962920626783,0.05007511986533805,3
0.6278410434722901,0.2354272521356855,0.00441131591796875,0.001928834264243751,0.0,14,0.0003,"(64, 32)",100,0.3,32,False,relu,"{'model__weight_decay': 0.0, 'model__patience': 14, 'model__learning_rate': 0.0003, 'model__hidden_layers': (64, 32), 'model__epochs': 100, 'model__dropout': 0.3, 'model__batch_size': 32, 'model__batch_norm': False, 'model__activation': 'relu'}",0.012226587863752969,0.12266394388026769,0.12241575636579527,-0.06996751530031142,0.16453671994477115,0.07037509855085514,0.08647087707769799,1,-0.5930282304914549,-0.6755042702265005,-0.6706159456632799,-0.6444535250620236,-0.6595358296110271,-0.6486275602108572,0.029777659451496467,1,-0.766612943815217,-0.873663874435655,-0.8142653765174364,-0.7625864357704057,-0.856722083857891,-0.814770142879321,0.045323165968206194,1
0.16644201278686524,0.05700000036555924,0.004648256301879883,0.0006556689242625757,0.01,10,0.002,"(64, 32)",100,0.1,32,False,relu,"{'model__weight_decay': 0.01, 'model__patience': 10, 'model__learning_rate': 0.002, 'model__hidden_layers': (64, 32), 'model__epochs': 100, 'model__dropout': 0.1, 'model__batch_size': 32, 'model__batch_norm': False, 'model__activation': 'relu'}",0.006561519388979531,0.09010200119653011,0.0052528535862165215,-0.1221276762134027,0.1725477675722319,0.03046729310611107,0.09821979258020043,8,-0.594102643835205,-0.7014400305405051,-0.6981044322929965,-0.6603599254523851,-0.6561022761741097,-0.6620218616590402,0.03874678726189334,6,-0.768808136406314,-0.8897289956022845,-0.8669177813984996,-0.7809530347166516,-0.8526047435681069,-0.8318025383383713,0.04811497310005019,8
0.1889462947845459,0.07952568207574907,0.0045658588409423825,0.0027432179818576707,0.001,10,0.001,"(64, 32)",80,0.1,64,False,relu,"{'model__weight_decay': 0.001, 'model__patience': 10, 'model__learning_rate': 0.001, 'model__hidden_layers': (64, 32), 'model__epochs': 80, 'model__dropout': 0.1, 'model__batch_size': 64, 'model__batch_norm': False, 'model__activation': 'relu'}",0.006788888129061532,0.12585914439754986,0.07333888542590838,-0.0917010677084682,0.16127671228398932,0.05511251250560818,0.08999724875420179,4,-0.5946218692911474,-0.6952197022674325,-0.6827368606480703,-0.6566183098321726,-0.6549934368205773,-0.6568380357718799,0.03469352576283176,5,-0.7687201526289065,-0.872071509955473,-0.8367236210240195,-0.7702924611176254,-0.858391936625079,-0.8212399362702207,0.04372147619968113,5
